row_type,wall_time,time_s,addr,gas_ohm,temp_C,hum_pct,press_Pa,status,label
DATA,2026-01-23T09:24:24,2.537,0x76,14678.900,24.75,65.23,99571.06,0xb0,background
DATA,2026-01-23T09:24:24,2.537,0x77,105916.420,24.72,64.57,99577.73,0xb0,background
DATA,2026-01-23T09:24:24,2.768,0x76,14780.600,24.77,65.10,99572.27,0xb0,background
DATA,2026-01-23T09:24:24,2.768,0x77,107994.090,24.72,64.57,99569.69,0xb0,background
DATA,2026-01-23T09:24:24,2.998,0x76,14925.370,24.78,65.07,99573.47,0xb0,background
DATA,2026-01-23T09:24:24,2.998,0x77,108751.060,24.74,64.45,99574.80,0xb0,background
DATA,2026-01-23T09:24:24,3.229,0x76,14956.770,24.79,65.07,99573.41,0xb0,background
DATA,2026-01-23T09:24:24,3.229,0x77,110654.850,24.76,64.45,99575.96,0xb0,background
DATA,2026-01-23T09:24:24,3.460,0x76,15083.670,24.81,65.00,99574.61,0xb0,background
DATA,2026-01-23T09:24:25,3.460,0x77,111814.800,24.77,64.41,99579.92,0xb0,background
DATA,2026-01-23T09:24:25,3.690,0x76,15115.730,24.82,64.99,99575.88,0xb0,background
DATA,2026-01-23T09:24:25,3.690,0x77,112999.340,24.77,64.34,99575.84,0xb0,background
DATA,2026-01-23T09:24:25,3.921,0x76,15180.270,24.82,64.93,99574.54,0xb0,background
DATA,2026-01-23T09:24:25,3.921,0x77,113828.370,24.78,64.32,99569.07,0xb0,background
DATA,2026-01-23T09:24:25,4.153,0x76,15278.110,24.82,64.91,99573.27,0xb0,background
DATA,2026-01-23T09:24:25,4.153,0x77,115367.280,24.79,64.27,99577.00,0xb0,background
DATA,2026-01-23T09:24:25,4.384,0x76,15355.090,24.83,64.91,99571.87,0xb0,background
DATA,2026-01-23T09:24:25,4.384,0x77,115837.100,24.78,64.25,99570.35,0xb0,background
DATA,2026-01-23T09:24:26,4.616,0x76,15432.840,24.83,64.87,99569.27,0xb0,background
DATA,2026-01-23T09:24:26,4.616,0x77,116390.090,24.79,64.21,99575.59,0xb0,background
DATA,2026-01-23T09:24:26,4.849,0x76,15522.680,24.83,64.86,99569.27,0xb0,background
DATA,2026-01-23T09:24:26,4.849,0x77,117189.290,24.79,64.21,99570.23,0xb0,background
DATA,2026-01-23T09:24:26,5.080,0x76,15590.740,24.84,64.85,99577.02,0xb0,background
DATA,2026-01-23T09:24:26,5.080,0x77,117350.450,24.80,64.18,99578.16,0xb0,background
DATA,2026-01-23T09:24:26,5.311,0x76,15647.920,24.85,64.79,99569.12,0xb0,background
DATA,2026-01-23T09:24:26,5.311,0x77,118655.850,24.80,64.14,99572.79,0xb0,background
DATA,2026-01-23T09:24:27,5.542,0x76,15625.000,24.85,64.77,99571.73,0xb0,background
DATA,2026-01-23T09:24:27,5.542,0x77,118655.850,24.81,64.13,99572.66,0xb0,background
DATA,2026-01-23T09:24:27,5.772,0x76,15751.910,24.86,64.75,99571.66,0xb0,background
DATA,2026-01-23T09:24:27,5.772,0x77,119654.120,24.81,64.11,99567.30,0xb0,background
DATA,2026-01-23T09:24:27,6.005,0x76,15833.750,24.86,64.73,99576.88,0xb0,background
DATA,2026-01-23T09:24:27,6.005,0x77,119654.120,24.80,64.08,99572.79,0xb0,background
DATA,2026-01-23T09:24:27,6.237,0x76,15845.510,24.86,64.66,99576.88,0xb0,background
DATA,2026-01-23T09:24:27,6.237,0x77,120244.250,24.81,64.08,99572.66,0xb0,background
DATA,2026-01-23T09:24:27,6.470,0x76,15940.220,24.86,64.66,99567.79,0xb0,background
DATA,2026-01-23T09:24:28,6.470,0x77,120669.340,24.82,64.06,99573.95,0xb0,background
DATA,2026-01-23T09:24:28,6.702,0x76,15940.220,24.87,64.67,99575.54,0xb0,background
DATA,2026-01-23T09:24:28,6.702,0x77,121011.580,24.83,64.08,99571.14,0xb0,background
DATA,2026-01-23T09:24:28,6.932,0x76,16036.080,24.88,64.65,99575.48,0xb0,background
DATA,2026-01-23T09:24:28,6.932,0x77,121355.770,24.82,64.02,99573.95,0xb0,background
DATA,2026-01-23T09:24:28,7.165,0x76,16060.230,24.87,64.63,99571.60,0xb0,background
