row_type,wall_time,time_s,gas_ohm,temp_C,hum_pct,press_Pa,status,label
DATA,2026-01-20T11:37:29,2.116,5684.85,27.25,49.87,101202.89,0xb0,background
DATA,2026-01-20T11:37:29,2.315,5684.85,27.27,49.78,101200.16,0xb0,background
DATA,2026-01-20T11:37:29,2.516,5684.85,27.29,49.72,101197.42,0xb0,background
DATA,2026-01-20T11:37:30,2.715,5684.85,27.3,49.69,101197.36,0xb0,background
DATA,2026-01-20T11:37:30,2.915,5684.85,27.32,49.65,101194.62,0xb0,background
DATA,2026-01-20T11:37:30,3.116,5684.85,27.34,49.59,101199.75,0xb0,background
DATA,2026-01-20T11:37:30,3.315,5684.85,27.35,49.53,101195.79,0xb0,background
DATA,2026-01-20T11:37:30,3.515,5684.85,27.36,49.5,101195.73,0xb0,background
DATA,2026-01-20T11:37:31,3.716,5684.85,27.38,49.46,101199.58,0xb0,background
DATA,2026-01-20T11:37:31,3.915,5684.85,27.39,49.4,101199.52,0xb0,background
DATA,2026-01-20T11:37:31,4.115,5684.85,27.4,49.36,101194.22,0xb0,background
DATA,2026-01-20T11:37:31,4.316,5684.85,27.4,49.32,101199.46,0xb0,background
DATA,2026-01-20T11:37:31,4.515,5684.85,27.41,49.29,101195.44,0xb0,background
DATA,2026-01-20T11:37:32,4.715,5684.85,27.42,49.28,101195.38,0xb0,background
DATA,2026-01-20T11:37:32,4.916,5684.85,27.43,49.23,101194.04,0xb0,background
DATA,2026-01-20T11:37:32,5.115,5684.85,27.44,49.19,101200.56,0xb0,background
DATA,2026-01-20T11:37:32,5.315,5684.85,27.43,49.18,101191.42,0xb0,background
DATA,2026-01-20T11:37:32,5.516,5684.85,27.45,49.15,101193.92,0xb0,background
DATA,2026-01-20T11:37:33,5.715,5684.85,27.46,49.14,101201.73,0xb0,background
DATA,2026-01-20T11:37:33,5.915,5684.85,27.47,49.11,101203.01,0xb0,background
DATA,2026-01-20T11:37:33,6.115,5684.85,27.47,49.08,101197.77,0xb0,background
DATA,2026-01-20T11:37:33,6.315,5684.85,27.48,49.08,101200.33,0xb0,background
DATA,2026-01-20T11:37:33,6.518,5684.85,27.47,49.04,101196.43,0xb0,background
DATA,2026-01-20T11:37:34,6.715,5684.85,27.48,49.03,101195.09,0xb0,background
DATA,2026-01-20T11:37:34,6.915,5684.85,27.5,49.01,101205.45,0xb0,background
DATA,2026-01-20T11:37:34,7.116,5684.85,27.51,48.99,101197.53,0xb0,background
DATA,2026-01-20T11:37:34,7.315,5684.85,27.51,48.97,101200.15,0xb0,background
DATA,2026-01-20T11:37:34,7.515,5684.85,27.51,48.93,101202.77,0xb0,background
DATA,2026-01-20T11:37:35,7.716,5684.85,27.52,48.92,101200.09,0xb0,background
DATA,2026-01-20T11:37:35,7.915,5684.85,27.52,48.89,101202.71,0xb0,background
DATA,2026-01-20T11:37:35,8.115,5684.85,27.53,48.85,101201.38,0xb0,background
DATA,2026-01-20T11:37:35,8.316,5684.85,27.53,48.8,101197.41,0xb0,background
DATA,2026-01-20T11:37:35,8.515,5684.85,27.54,48.75,101199.97,0xb0,background
DATA,2026-01-20T11:37:36,8.715,5684.85,27.54,48.7,101197.35,0xb0,background
DATA,2026-01-20T11:37:36,8.916,5684.85,27.55,48.66,101196.01,0xb0,background
DATA,2026-01-20T11:37:36,9.115,5684.85,27.55,48.59,101192.05,0xb0,background
DATA,2026-01-20T11:37:36,9.315,5684.85,27.56,48.53,101193.33,0xb0,background
DATA,2026-01-20T11:37:36,9.516,5684.85,27.56,48.5,101193.33,0xb0,background
DATA,2026-01-20T11:37:37,9.715,5684.85,27.57,48.43,101198.51,0xb0,background
DATA,2026-01-20T11:37:37,9.915,5684.85,27.56,48.35,101194.61,0xb0,background
DATA,2026-01-20T11:37:37,10.115,5684.85,27.57,48.33,101195.88,0xb0,background
