row_type,wall_time,time_s,addr,gas_ohm,temp_C,hum_pct,press_Pa,status,label
DATA,2026-01-27T09:29:51,2.536,0x76,5684.850,22.94,60.60,100790.22,0xb0,background
DATA,2026-01-27T09:29:51,2.536,0x77,19196.160,22.96,59.53,100778.85,0xb0,background
DATA,2026-01-27T09:29:51,2.766,0x76,5684.850,22.94,60.54,100791.51,0xb0,background
DATA,2026-01-27T09:29:51,2.766,0x77,19565.880,22.96,59.46,100774.80,0xb0,background
DATA,2026-01-27T09:29:51,2.997,0x76,5684.850,22.97,60.48,100784.97,0xb0,background
DATA,2026-01-27T09:29:51,2.997,0x77,19968.800,22.99,59.40,100775.95,0xb0,background
DATA,2026-01-27T09:29:52,3.229,0x76,5684.850,22.99,60.41,100788.84,0xb0,background
DATA,2026-01-27T09:29:52,3.229,0x77,20466.900,23.00,59.35,100779.93,0xb0,background
DATA,2026-01-27T09:29:52,3.460,0x76,5684.850,23.00,60.37,100791.41,0xb0,background
DATA,2026-01-27T09:29:52,3.460,0x77,20826.550,23.01,59.29,100781.15,0xb0,background
DATA,2026-01-27T09:29:52,3.690,0x76,5684.850,23.01,60.35,100786.20,0xb0,background
DATA,2026-01-27T09:29:52,3.690,0x77,21199.070,23.02,59.26,100781.08,0xb0,background
DATA,2026-01-27T09:29:52,3.921,0x76,5684.850,23.01,60.29,100784.89,0xb0,background
DATA,2026-01-27T09:29:52,3.921,0x77,21628.930,23.03,59.18,100778.33,0xb0,background
DATA,2026-01-27T09:29:52,4.151,0x76,5684.850,23.03,60.24,100791.35,0xb0,background
DATA,2026-01-27T09:29:52,4.151,0x77,21940.350,23.04,59.16,100776.95,0xb0,background
DATA,2026-01-27T09:29:53,4.384,0x76,5684.850,23.04,60.20,100790.05,0xb0,background
DATA,2026-01-27T09:29:53,4.384,0x77,22191.400,23.04,59.11,100772.91,0xb0,background
DATA,2026-01-27T09:29:53,4.616,0x76,5684.850,23.04,60.13,100786.14,0xb0,background
DATA,2026-01-27T09:29:53,4.616,0x77,22735.350,23.05,59.08,100782.22,0xb0,background
DATA,2026-01-27T09:29:53,4.849,0x76,5684.850,23.05,60.10,100786.12,0xb0,background
DATA,2026-01-27T09:29:53,4.849,0x77,23054.760,23.05,59.05,100780.84,0xb0,background
DATA,2026-01-27T09:29:53,5.083,0x76,5684.850,23.05,60.07,100791.31,0xb0,background
DATA,2026-01-27T09:29:53,5.083,0x77,23633.680,23.06,59.00,100779.48,0xb0,background
DATA,2026-01-27T09:29:54,5.313,0x76,5684.850,23.06,60.03,100786.10,0xb0,background
DATA,2026-01-27T09:29:54,5.313,0x77,24019.520,23.08,58.96,100778.02,0xb0,background
DATA,2026-01-27T09:29:54,5.544,0x76,5684.850,23.07,60.02,100786.09,0xb0,background
DATA,2026-01-27T09:29:54,5.544,0x77,24390.240,23.10,58.95,100783.22,0xb0,background
DATA,2026-01-27T09:29:54,5.774,0x76,5684.850,23.09,59.99,100791.23,0xb0,background
DATA,2026-01-27T09:29:54,5.774,0x77,24700.890,23.10,58.92,100779.16,0xb0,background
DATA,2026-01-27T09:29:54,6.007,0x76,5684.850,23.09,59.96,100783.45,0xb0,background
DATA,2026-01-27T09:29:54,6.007,0x77,25034.230,23.10,58.92,100775.20,0xb0,background
DATA,2026-01-27T09:29:55,6.238,0x76,5684.850,23.09,59.93,100791.23,0xb0,background
DATA,2026-01-27T09:29:55,6.238,0x77,25331.490,23.10,58.89,100773.82,0xb0,background
DATA,2026-01-27T09:29:55,6.468,0x76,5684.850,23.11,59.89,100791.22,0xb0,background
DATA,2026-01-27T09:29:55,6.468,0x77,25513.260,23.11,58.84,100779.09,0xb0,background
DATA,2026-01-27T09:29:55,6.699,0x76,5684.850,23.11,59.85,100786.02,0xb0,background
DATA,2026-01-27T09:29:55,6.699,0x77,25916.180,23.12,58.83,100779.02,0xb0,background
DATA,2026-01-27T09:29:55,6.930,0x76,5684.850,23.12,59.83,100788.60,0xb0,background
DATA,2026-01-27T09:29:55,6.930,0x77,26348.290,23.12,58.80,100779.02,0xb0,background
DATA,2026-01-27T09:29:55,7.160,0x76,5684.850,23.12,59.79,100784.70,0xb0,background
DATA,2026-01-27T09:29:56,7.160,0x77,26627.830,23.13,58.80,100774.97,0xb0,background
DATA,2026-01-27T09:29:56,7.391,0x76,5684.850,23.12,59.78,100784.70,0xb0,background
DATA,2026-01-27T09:29:56,7.391,0x77,26913.370,23.13,58.75,100780.31,0xb0,background
DATA,2026-01-27T09:29:56,7.623,0x76,5684.850,23.13,59.76,100785.98,0xb0,background
DATA,2026-01-27T09:29:56,7.623,0x77,27257.240,23.13,58.73,100777.64,0xb0,background
DATA,2026-01-27T09:29:56,7.856,0x76,5684.850,23.13,59.75,100784.67,0xb0,background
DATA,2026-01-27T09:29:56,7.856,0x77,27556.510,23.14,58.72,100780.23,0xb0,background
DATA,2026-01-27T09:29:56,8.088,0x76,5684.850,23.13,59.75,100789.87,0xb0,background
DATA,2026-01-27T09:29:56,8.088,0x77,27789.840,23.14,58.69,100777.56,0xb0,background
DATA,2026-01-27T09:29:57,8.321,0x76,5684.850,23.13,59.72,100782.08,0xb0,background
DATA,2026-01-27T09:29:57,8.321,0x77,28119.510,23.14,58.71,100781.53,0xb0,background
DATA,2026-01-27T09:29:57,8.553,0x76,5684.850,23.13,59.71,100779.48,0xb0,background
DATA,2026-01-27T09:29:57,8.553,0x77,28495.100,23.15,58.68,100780.16,0xb0,background
DATA,2026-01-27T09:29:57,8.783,0x76,5684.850,23.15,59.63,100783.34,0xb0,background
DATA,2026-01-27T09:29:57,8.783,0x77,28764.040,23.15,58.64,100776.11,0xb0,background
DATA,2026-01-27T09:29:57,9.014,0x76,5684.850,23.16,59.62,100788.52,0xb0,background
