row_type,wall_time,time_s,addr,gas_ohm,temp_C,hum_pct,press_Pa,status,label
DATA,2026-01-23T10:34:41,2.536,0x76,23633.680,26.05,61.11,99491.66,0xb0,background
DATA,2026-01-23T10:34:41,2.536,0x77,97227.500,25.58,63.08,99564.72,0xb0,background
DATA,2026-01-23T10:34:41,2.766,0x76,23686.160,26.06,61.06,99488.97,0xb0,background
DATA,2026-01-23T10:34:41,2.766,0x77,100372.480,25.59,63.01,99560.49,0xb0,background
DATA,2026-01-23T10:34:41,2.997,0x76,23845.010,26.07,61.00,99495.38,0xb0,background
DATA,2026-01-23T10:34:41,2.997,0x77,102914.570,25.60,62.93,99561.77,0xb0,background
DATA,2026-01-23T10:34:41,3.229,0x76,23925.230,26.09,61.00,99491.34,0xb0,background
DATA,2026-01-23T10:34:41,3.229,0x77,104939.540,25.61,62.91,99569.70,0xb0,background
DATA,2026-01-23T10:34:42,3.460,0x76,24033.040,26.10,60.92,99488.64,0xb0,background
DATA,2026-01-23T10:34:42,3.460,0x77,107180.240,25.61,62.85,99557.54,0xb0,background
DATA,2026-01-23T10:34:42,3.690,0x76,24033.040,26.11,60.88,99484.68,0xb0,background
DATA,2026-01-23T10:34:42,3.690,0x77,108959.350,25.62,62.81,99545.38,0xb0,background
DATA,2026-01-23T10:34:42,3.921,0x76,24210.330,26.12,60.84,99484.59,0xb0,background
DATA,2026-01-23T10:34:42,3.921,0x77,110583.160,25.63,62.76,99576.08,0xb0,background
DATA,2026-01-23T10:34:42,4.151,0x76,24224.070,26.13,60.78,99488.39,0xb0,background
DATA,2026-01-23T10:34:42,4.151,0x77,112403.950,25.63,62.68,99562.65,0xb0,background
DATA,2026-01-23T10:34:42,4.382,0x76,24390.240,26.13,60.76,99493.62,0xb0,background
DATA,2026-01-23T10:34:43,4.382,0x77,114132.860,25.64,62.64,99563.92,0xb0,background
DATA,2026-01-23T10:34:43,4.612,0x76,24601.190,26.14,60.71,99485.70,0xb0,background
DATA,2026-01-23T10:34:43,4.612,0x77,115133.800,25.65,62.60,99563.79,0xb0,background
DATA,2026-01-23T10:34:43,4.843,0x76,24558.710,26.14,60.68,99483.09,0xb0,background
