row_type,wall_time,time_s,addr,gas_ohm,temp_C,hum_pct,press_Pa,status,label
DATA,2026-01-23T10:11:58,2.536,0x76,16873.190,25.06,63.79,99520.90,0xb0,background\
DATA,2026-01-23T10:11:58,2.536,0x77,64581.230,24.94,64.47,99592.63,0xb0,background\
DATA,2026-01-23T10:11:58,2.767,0x76,16926.740,25.07,63.72,99516.88,0xb0,background\
DATA,2026-01-23T10:11:58,2.767,0x77,67653.270,24.96,64.41,99588.42,0xb0,background\
DATA,2026-01-23T10:11:58,2.998,0x76,17007.710,25.10,63.65,99520.62,0xb0,background\
DATA,2026-01-23T10:11:58,2.998,0x77,71032.190,24.97,64.32,99582.93,0xb0,background\
DATA,2026-01-23T10:11:58,3.228,0x76,17103.150,25.10,63.59,99519.28,0xb0,background\
DATA,2026-01-23T10:11:58,3.228,0x77,73478.760,24.98,64.31,99584.09,0xb0,background\
DATA,2026-01-23T10:11:58,3.459,0x76,17171.990,25.13,63.52,99519.13,0xb0,background\
DATA,2026-01-23T10:11:59,3.459,0x77,76440.730,24.99,64.22,99571.95,0xb0,background\
DATA,2026-01-23T10:11:59,3.689,0x76,17199.680,25.14,63.54,99519.06,0xb0,background\
DATA,2026-01-23T10:11:59,3.689,0x77,78842.010,25.00,64.16,99582.55,0xb0,background\
DATA,2026-01-23T10:11:59,3.923,0x76,17269.290,25.13,63.41,99515.19,0xb0,background\
DATA,2026-01-23T10:11:59,3.923,0x77,81089.640,25.01,64.09,99574.38,0xb0,background\
DATA,2026-01-23T10:11:59,4.154,0x76,17311.330,25.15,63.40,99515.05,0xb0,background\
DATA,2026-01-23T10:11:59,4.154,0x77,83469.190,25.01,64.05,99578.34,0xb0,background\
DATA,2026-01-23T10:11:59,4.384,0x76,17452.960,25.16,63.33,99514.98,0xb0,background\
DATA,2026-01-23T10:11:59,4.384,0x77,85134.690,25.03,64.00,99568.77,0xb0,background\
DATA,2026-01-23T10:12:00,4.615,0x76,17452.960,25.17,63.27,99517.51,0xb0,background\
DATA,2026-01-23T10:12:00,4.615,0x77,87223.170,25.03,63.93,99566.08,0xb0,background\
DATA,2026-01-23T10:12:00,4.845,0x76,17567.940,25.18,63.26,99518.78,0xb0,background\
DATA,2026-01-23T10:12:00,4.845,0x77,89043.480,25.04,63.88,99584.73,0xb0,background\
DATA,2026-01-23T10:12:00,5.076,0x76,17655.170,25.19,63.21,99512.23,0xb0,background\
DATA,2026-01-23T10:12:00,5.076,0x77,91624.910,25.05,63.86,99563.14,0xb0,background\
DATA,2026-01-23T10:12:00,5.307,0x76,17699.120,25.19,63.15,99510.88,0xb0,background\
DATA,2026-01-23T10:12:00,5.307,0x77,94273.620,25.05,63.82,99568.51,0xb0,background\
DATA,2026-01-23T10:12:01,5.537,0x76,17817.370,25.20,63.16,99513.42,0xb0,background\
DATA,2026-01-23T10:12:01,5.537,0x77,96132.180,25.06,63.79,99583.20,0xb0,background\
DATA,2026-01-23T10:12:01,5.768,0x76,17862.130,25.20,63.10,99516.02,0xb0,background\
DATA,2026-01-23T10:12:01,5.768,0x77,98009.190,25.07,63.76,99591.13,0xb0,background\
DATA,2026-01-23T10:12:01,5.998,0x76,17997.750,25.21,63.08,99514.69,0xb0,background\
DATA,2026-01-23T10:12:01,5.998,0x77,98975.450,25.06,63.73,99576.44,0xb0,background\
DATA,2026-01-23T10:12:01,6.229,0x76,18104.670,25.22,63.03,99509.40,0xb0,background\
DATA,2026-01-23T10:12:01,6.229,0x77,100727.910,25.08,63.72,99564.16,0xb0,background\
DATA,2026-01-23T10:12:01,6.459,0x76,18181.820,25.23,63.00,99518.42,0xb0,background\
DATA,2026-01-23T10:12:02,6.459,0x77,101567.150,25.08,63.69,99584.23,0xb0,background\
DATA,2026-01-23T10:12:02,6.690,0x76,18259.630,25.24,62.99,99514.47,0xb0,background\
DATA,2026-01-23T10:12:02,6.690,0x77,102666.940,25.08,63.67,99568.13,0xb0,background\
DATA,2026-01-23T10:12:02,6.921,0x76,18322.360,25.24,62.94,99519.69,0xb0,background\
DATA,2026-01-23T10:12:02,6.921,0x77,104553.800,25.08,63.67,99573.50,0xb0,background\
DATA,2026-01-23T10:12:02,7.151,0x76,18338.110,25.25,62.95,99514.40,0xb0,background\
DATA,2026-01-23T10:12:02,7.151,0x77,105523.490,25.09,63.64,99584.11,0xb0,background\
DATA,2026-01-23T10:12:02,7.382,0x76,18433.180,25.25,62.87,99513.05,0xb0,background\
DATA,2026-01-23T10:12:02,7.382,0x77,106312.290,25.10,63.60,99569.28,0xb0,background\
DATA,2026-01-23T10:12:03,7.615,0x76,18642.590,25.25,62.87,99511.79,0xb0,background\
DATA,2026-01-23T10:12:03,7.615,0x77,107180.240,25.10,63.60,99582.70,0xb0,background\
DATA,2026-01-23T10:12:03,7.849,0x76,18642.590,25.25,62.86,99514.40,0xb0,background\
DATA,2026-01-23T10:12:03,7.849,0x77,108062.480,25.10,63.55,99575.93,0xb0,background\
DATA,2026-01-23T10:12:03,8.080,0x76,18724.400,25.26,62.84,99514.32,0xb0,background\
DATA,2026-01-23T10:12:03,8.080,0x77,109659.450,25.09,63.53,99559.95,0xb0,background\
DATA,2026-01-23T10:12:03,8.310,0x76,18840.150,25.27,62.81,99515.59,0xb0,background\
DATA,2026-01-23T10:12:03,8.310,0x77,110297.290,25.11,63.52,99579.89,0xb0,background\
DATA,2026-01-23T10:12:04,8.541,0x76,19008.020,25.28,62.79,99515.52,0xb0,background\
DATA,2026-01-23T10:12:04,8.541,0x77,110942.580,25.11,63.50,99570.43,0xb0,background\
DATA,2026-01-23T10:12:04,8.771,0x76,19008.020,25.28,62.76,99512.91,0xb0,background\
DATA,2026-01-23T10:12:04,8.771,0x77,112035.010,25.12,63.50,99582.45,0xb0,background\
DATA,2026-01-23T10:12:04,9.002,0x76,19178.900,25.29,62.74,99518.05,0xb0,background\
DATA,2026-01-23T10:12:04,9.002,0x77,113450.030,25.12,63.47,99586.41,0xb0,background\
DATA,2026-01-23T10:12:04,9.233,0x76,19127.320,25.29,62.70,99519.32,0xb0,background\
DATA,2026-01-23T10:12:04,9.233,0x77,114362.300,25.13,63.45,99580.91,0xb0,background\
DATA,2026-01-23T10:12:04,9.463,0x76,19300.360,25.29,62.68,99519.32,0xb0,background\
DATA,2026-01-23T10:12:05,9.463,0x77,114823.950,25.13,63.43,99574.27,0xb0,background\
DATA,2026-01-23T10:12:05,9.694,0x76,19352.890,25.29,62.66,99514.10,0xb0,background\
DATA,2026-01-23T10:12:05,9.694,0x77,114746.750,25.13,63.41,99567.49,0xb0,background\
DATA,2026-01-23T10:12:05,9.924,0x76,19405.700,25.30,62.62,99508.81,0xb0,background\
DATA,2026-01-23T10:12:05,9.924,0x77,116469.520,25.14,63.41,99582.20,0xb0,background\
DATA,2026-01-23T10:12:05,10.155,0x76,19512.200,25.31,62.59,99512.69,0xb0,background\
DATA,2026-01-23T10:12:05,10.155,0x77,116390.090,25.13,63.40,99556.76,0xb0,background\
DATA,2026-01-23T10:12:05,10.385,0x76,19674.150,25.30,62.59,99514.03,0xb0,background\
DATA,2026-01-23T10:12:05,10.385,0x77,117836.590,25.14,63.38,99575.42,0xb0,background\
DATA,2026-01-23T10:12:06,10.616,0x76,19674.150,25.31,62.59,99511.35,0xb0,background\
DATA,2026-01-23T10:12:06,10.616,0x77,117999.540,25.16,63.37,99580.66,0xb0,background\
DATA,2026-01-23T10:12:06,10.847,0x76,19801.980,25.31,62.57,99512.69,0xb0,background\
DATA,2026-01-23T10:12:06,10.847,0x77,118081.180,25.15,63.35,99565.96,0xb0,background\
DATA,2026-01-23T10:12:06,11.079,0x76,19857.280,25.32,62.54,99512.62,0xb0,background\
DATA,2026-01-23T10:12:06,11.079,0x77,118408.880,25.15,63.37,99582.06,0xb0,background\
DATA,2026-01-23T10:12:06,11.312,0x76,19931.490,25.32,62.51,99515.23,0xb0,background\
DATA,2026-01-23T10:12:06,11.312,0x77,119738.070,25.15,63.35,99563.27,0xb0,background\
DATA,2026-01-23T10:12:07,11.543,0x76,20043.850,25.32,62.46,99508.66,0xb0,background\
DATA,2026-01-23T10:12:07,11.543,0x77,120159.590,25.15,63.35,99568.65,0xb0,background\
DATA,2026-01-23T10:12:07,11.774,0x76,20081.580,25.32,62.48,99510.01,0xb0,background\
DATA,2026-01-23T10:12:07,11.774,0x77,120754.720,25.16,63.32,99576.57,0xb0,background\
DATA,2026-01-23T10:12:07,12.007,0x76,20138.450,25.34,62.46,99513.81,0xb0,background\
DATA,2026-01-23T10:12:07,12.007,0x77,121615.200,25.16,63.33,99584.62,0xb0,background\
DATA,2026-01-23T10:12:07,12.239,0x76,20253.160,25.33,62.47,99509.94,0xb0,background\
DATA,2026-01-23T10:12:07,12.239,0x77,121183.430,25.16,63.32,99576.57,0xb0,background\
DATA,2026-01-23T10:12:07,12.473,0x76,20388.660,25.34,62.44,99511.20,0xb0,background\
DATA,2026-01-23T10:12:08,12.473,0x77,122576.010,25.16,63.29,99583.34,0xb0,background\
DATA,2026-01-23T10:12:08,12.706,0x76,20408.160,25.34,62.42,99511.20,0xb0,background\
DATA,2026-01-23T10:12:08,12.706,0x77,121962.840,25.16,63.29,99575.29,0xb0,background\
