row_type,wall_time,time_s,addr,gas_ohm,temp_C,hum_pct,press_Pa,status,label
DATA,2026-02-03T12:10:29,2.536,0x76,5684.850,27.00,61.70,100841.49,0xb0,background
DATA,2026-02-03T12:10:29,2.536,0x77,17862.130,26.77,58.25,100840.62,0xb0,background
DATA,2026-02-03T12:10:29,2.766,0x76,5684.850,27.01,61.64,100832.23,0xb0,background
DATA,2026-02-03T12:10:29,2.766,0x77,20176.540,26.79,58.15,100837.69,0xb0,background
DATA,2026-02-03T12:10:29,3.002,0x76,5684.850,27.03,61.54,100837.35,0xb0,background
DATA,2026-02-03T12:10:29,3.002,0x77,22284.120,26.81,58.08,100836.16,0xb0,background
DATA,2026-02-03T12:10:30,3.235,0x76,5684.850,27.04,61.45,100834.67,0xb0,background
DATA,2026-02-03T12:10:30,3.235,0x77,24772.600,26.81,58.11,100837.45,0xb0,background
DATA,2026-02-03T12:10:30,3.465,0x76,5684.850,27.05,61.37,100833.33,0xb0,background
DATA,2026-02-03T12:10:30,3.465,0x77,26778.240,26.84,58.17,100839.91,0xb0,background
DATA,2026-02-03T12:10:30,3.696,0x76,5684.850,27.08,61.32,100842.34,0xb0,background
DATA,2026-02-03T12:10:30,3.696,0x77,28880.870,26.85,58.27,100843.77,0xb0,background
DATA,2026-02-03T12:10:30,3.927,0x76,5684.850,27.09,61.30,100837.04,0xb0,background
DATA,2026-02-03T12:10:30,3.927,0x77,30798.850,26.86,58.37,100838.27,0xb0,background
DATA,2026-02-03T12:10:30,4.157,0x76,5727.580,27.09,61.21,100833.08,0xb0,background
DATA,2026-02-03T12:10:31,4.157,0x77,32736.570,26.87,58.47,100836.86,0xb0,background
DATA,2026-02-03T12:10:31,4.388,0x76,6032.050,27.09,61.22,100829.18,0xb0,background
DATA,2026-02-03T12:10:31,4.388,0x77,34594.590,26.88,58.54,100835.34,0xb0,background
DATA,2026-02-03T12:10:31,4.618,0x76,6150.300,27.10,61.12,100827.77,0xb0,background
DATA,2026-02-03T12:10:31,4.618,0x77,36363.640,26.90,58.56,100839.20,0xb0,background
DATA,2026-02-03T12:10:31,4.849,0x76,6385.950,27.10,61.05,100827.77,0xb0,background
DATA,2026-02-03T12:10:31,4.849,0x77,38220.360,26.91,58.56,100843.06,0xb0,background
DATA,2026-02-03T12:10:31,5.082,0x76,6619.780,27.11,61.05,100823.81,0xb0,background
DATA,2026-02-03T12:10:31,5.082,0x77,39900.250,26.91,58.53,100841.77,0xb0,background
DATA,2026-02-03T12:10:32,5.314,0x76,6858.120,27.11,60.99,100829.05,0xb0,background
DATA,2026-02-03T12:10:32,5.314,0x77,41531.470,26.91,58.52,100837.67,0xb0,background
DATA,2026-02-03T12:10:32,5.548,0x76,7081.210,27.12,60.98,100831.61,0xb0,background
DATA,2026-02-03T12:10:32,5.548,0x77,43039.680,26.92,58.47,100841.66,0xb0,background
DATA,2026-02-03T12:10:32,5.779,0x76,7344.500,27.13,60.90,100828.92,0xb0,background
DATA,2026-02-03T12:10:32,5.779,0x77,44755.250,26.92,58.38,100837.55,0xb0,background
DATA,2026-02-03T12:10:32,6.009,0x76,7552.510,27.14,60.86,100821.00,0xb0,background
DATA,2026-02-03T12:10:32,6.009,0x77,46309.700,26.94,58.26,100833.33,0xb0,background
DATA,2026-02-03T12:10:33,6.240,0x76,7783.990,27.16,60.84,100832.70,0xb0,background
DATA,2026-02-03T12:10:33,6.240,0x77,48586.070,26.96,58.19,100841.18,0xb0,background
DATA,2026-02-03T12:10:33,6.471,0x76,8036.160,27.16,60.80,100822.21,0xb0,background
DATA,2026-02-03T12:10:33,6.471,0x77,50215.770,26.95,58.10,100837.31,0xb0,background
DATA,2026-02-03T12:10:33,6.701,0x76,8260.200,27.17,60.75,100823.43,0xb0,background
DATA,2026-02-03T12:10:33,6.701,0x77,51738.070,26.97,58.04,100831.69,0xb0,background
DATA,2026-02-03T12:10:33,6.932,0x76,8456.660,27.18,60.67,100832.56,0xb0,background
DATA,2026-02-03T12:10:33,6.932,0x77,53322.220,26.96,57.95,100833.09,0xb0,background
DATA,2026-02-03T12:10:33,7.162,0x76,8690.930,27.18,60.70,100823.37,0xb0,background
DATA,2026-02-03T12:10:34,7.162,0x77,54410.200,26.98,57.87,100834.26,0xb0,background
DATA,2026-02-03T12:10:34,7.393,0x76,8864.270,27.19,60.63,100828.54,0xb0,background
DATA,2026-02-03T12:10:34,7.393,0x77,56201.980,26.98,57.76,100838.24,0xb0,background
DATA,2026-02-03T12:10:34,7.625,0x76,9098.660,27.19,60.66,100828.54,0xb0,background
DATA,2026-02-03T12:10:34,7.625,0x77,57181.150,26.98,57.60,100835.55,0xb0,background
DATA,2026-02-03T12:10:34,7.858,0x76,9329.450,27.21,60.64,100832.37,0xb0,background
DATA,2026-02-03T12:10:34,7.858,0x77,58554.440,26.98,57.49,100840.94,0xb0,background
DATA,2026-02-03T12:10:34,8.091,0x76,9520.980,27.21,60.55,100831.09,0xb0,background
DATA,2026-02-03T12:10:34,8.091,0x77,59576.450,26.99,57.39,100839.53,0xb0,background
DATA,2026-02-03T12:10:35,8.323,0x76,9738.280,27.21,60.55,100829.75,0xb0,background
DATA,2026-02-03T12:10:35,8.323,0x77,61200.090,26.99,57.31,100832.73,0xb0,background
DATA,2026-02-03T12:10:35,8.554,0x76,9919.410,27.22,60.55,100829.69,0xb0,background
DATA,2026-02-03T12:10:35,8.554,0x77,62317.430,27.00,57.22,100836.72,0xb0,background
DATA,2026-02-03T12:10:35,8.786,0x76,10116.980,27.23,60.56,100830.96,0xb0,background
DATA,2026-02-03T12:10:35,8.786,0x77,63429.140,26.99,57.15,100830.04,0xb0,background
DATA,2026-02-03T12:10:35,9.017,0x76,10342.600,27.23,60.52,100832.24,0xb0,background
DATA,2026-02-03T12:10:35,9.017,0x77,64679.130,27.02,57.07,100839.17,0xb0,background
DATA,2026-02-03T12:10:36,9.248,0x76,10505.580,27.24,60.51,100829.55,0xb0,background
DATA,2026-02-03T12:10:36,9.248,0x77,65624.200,27.02,56.99,100840.46,0xb0,background
DATA,2026-02-03T12:10:36,9.479,0x76,10716.680,27.25,60.49,100834.73,0xb0,background
DATA,2026-02-03T12:10:36,9.479,0x77,66493.510,27.02,56.98,100837.77,0xb0,background
DATA,2026-02-03T12:10:36,9.709,0x76,10936.430,27.25,60.52,100830.84,0xb0,background
DATA,2026-02-03T12:10:36,9.709,0x77,67173.970,27.03,56.92,100836.35,0xb0,background
DATA,2026-02-03T12:10:36,9.942,0x76,11049.720,27.25,60.50,100826.88,0xb0,background
DATA,2026-02-03T12:10:36,9.942,0x77,68357.810,27.03,56.88,100830.96,0xb0,background
DATA,2026-02-03T12:10:37,10.175,0x76,11247.800,27.27,60.47,100835.95,0xb0,background
DATA,2026-02-03T12:10:37,10.175,0x77,69133.130,27.03,56.87,100830.96,0xb0,background
DATA,2026-02-03T12:10:37,10.407,0x76,11416.340,27.27,60.40,100831.98,0xb0,background
DATA,2026-02-03T12:10:37,10.407,0x77,69697.800,27.04,56.92,100836.23,0xb0,background
DATA,2026-02-03T12:10:37,10.637,0x76,11602.610,27.27,60.40,100826.74,0xb0,background
DATA,2026-02-03T12:10:37,10.637,0x77,70855.240,27.05,56.96,100832.13,0xb0,background
DATA,2026-02-03T12:10:37,10.868,0x76,12003.000,27.27,60.43,100829.36,0xb0,background
DATA,2026-02-03T12:10:37,10.868,0x77,71448.510,27.06,57.00,100834.70,0xb0,background
DATA,2026-02-03T12:10:37,11.099,0x76,12202.100,27.28,60.42,100828.02,0xb0,background
DATA,2026-02-03T12:10:37,11.099,0x77,72051.790,27.06,57.03,100834.70,0xb0,background
DATA,2026-02-03T12:10:38,11.329,0x76,12300.600,27.30,60.35,100833.12,0xb0,background
DATA,2026-02-03T12:10:38,11.329,0x77,73101.090,27.06,57.02,100835.99,0xb0,background
DATA,2026-02-03T12:10:38,11.562,0x76,12487.800,27.30,60.32,100831.85,0xb0,background
DATA,2026-02-03T12:10:38,11.562,0x77,73860.360,27.06,57.01,100834.70,0xb0,background
DATA,2026-02-03T12:10:38,11.795,0x76,12643.220,27.30,60.35,100831.85,0xb0,background
DATA,2026-02-03T12:10:38,11.795,0x77,74181.400,27.06,56.98,100835.99,0xb0,background
DATA,2026-02-03T12:10:38,12.027,0x76,12841.090,27.31,60.30,100826.55,0xb0,background
DATA,2026-02-03T12:10:38,12.027,0x77,75294.120,27.07,56.93,100833.17,0xb0,background
DATA,2026-02-03T12:10:39,12.257,0x76,12981.740,27.31,60.28,100826.55,0xb0,background
DATA,2026-02-03T12:10:39,12.257,0x77,76167.800,27.08,56.95,100834.46,0xb0,background
DATA,2026-02-03T12:10:39,12.490,0x76,13198.600,27.32,60.30,100826.48,0xb0,background
DATA,2026-02-03T12:10:39,12.490,0x77,76577.920,27.07,56.90,100835.87,0xb0,background
DATA,2026-02-03T12:10:39,12.723,0x76,13289.040,27.31,60.28,100823.92,0xb0,background
DATA,2026-02-03T12:10:39,12.723,0x77,77201.450,27.08,56.82,100838.45,0xb0,background
DATA,2026-02-03T12:10:39,12.953,0x76,13516.370,27.32,60.28,100830.38,0xb0,background
DATA,2026-02-03T12:10:39,12.953,0x77,77835.210,27.09,56.78,100837.04,0xb0,background
DATA,2026-02-03T12:10:40,13.186,0x76,13637.330,27.33,60.23,100834.27,0xb0,background
DATA,2026-02-03T12:10:40,13.186,0x77,78842.010,27.09,56.71,100834.34,0xb0,background
DATA,2026-02-03T12:10:40,13.416,0x76,13778.260,27.32,60.23,100827.76,0xb0,background
DATA,2026-02-03T12:10:40,13.416,0x77,79355.240,27.10,56.69,100834.22,0xb0,background
DATA,2026-02-03T12:10:40,13.649,0x76,13922.120,27.32,60.22,100825.13,0xb0,background
DATA,2026-02-03T12:10:40,13.649,0x77,79950.030,27.10,56.63,100831.52,0xb0,background
DATA,2026-02-03T12:10:40,13.882,0x76,14096.920,27.33,60.19,100829.03,0xb0,background
DATA,2026-02-03T12:10:40,13.882,0x77,80402.010,27.10,56.61,100834.22,0xb0,background
DATA,2026-02-03T12:10:40,14.116,0x76,14238.040,27.32,60.21,100827.76,0xb0,background
DATA,2026-02-03T12:10:41,14.116,0x77,80859.120,27.10,56.57,100836.91,0xb0,background
DATA,2026-02-03T12:10:41,14.346,0x76,14333.710,27.34,60.19,100831.59,0xb0,background
DATA,2026-02-03T12:10:41,14.346,0x77,81710.820,27.11,56.54,100836.80,0xb0,background
DATA,2026-02-03T12:10:41,14.577,0x76,14528.940,27.35,60.18,100828.90,0xb0,background
DATA,2026-02-03T12:10:41,14.577,0x77,82262.210,27.11,56.52,100836.80,0xb0,background
DATA,2026-02-03T12:10:41,14.807,0x76,14638.610,27.36,60.16,100827.55,0xb0,background
DATA,2026-02-03T12:10:41,14.807,0x77,83062.950,27.11,56.49,100838.08,0xb0,background
DATA,2026-02-03T12:10:41,15.039,0x76,14770.370,27.36,60.14,100834.08,0xb0,background
DATA,2026-02-03T12:10:41,15.039,0x77,83469.190,27.12,56.46,100835.27,0xb0,background
DATA,2026-02-03T12:10:42,15.270,0x76,14904.520,27.36,60.14,100828.84,0xb0,background
DATA,2026-02-03T12:10:42,15.270,0x77,84127.510,27.12,56.45,100835.27,0xb0,background
DATA,2026-02-03T12:10:42,15.500,0x76,14998.830,27.37,60.09,100831.39,0xb0,background
DATA,2026-02-03T12:10:42,15.500,0x77,84796.290,27.13,56.42,100839.25,0xb0,background
DATA,2026-02-03T12:10:42,15.733,0x76,15126.450,27.37,60.11,100828.77,0xb0,background
DATA,2026-02-03T12:10:42,15.733,0x77,85049.840,27.13,56.42,100828.46,0xb0,background
DATA,2026-02-03T12:10:42,15.967,0x76,15234.470,27.37,60.09,100832.73,0xb0,background
DATA,2026-02-03T12:10:42,15.967,0x77,85134.690,27.12,56.39,100837.96,0xb0,background
DATA,2026-02-03T12:10:43,16.197,0x76,15355.090,27.38,60.08,100830.05,0xb0,background
DATA,2026-02-03T12:10:43,16.197,0x77,86166.270,27.13,56.37,100833.85,0xb0,background
