row_type,wall_time,time_s,addr,gas_ohm,temp_C,hum_pct,press_Pa,status,label
DATA,2026-02-10T14:52:23,2.536,0x76,5684.850,27.45,58.97,102161.29,0xb0,background
DATA,2026-02-10T14:52:23,2.536,0x77,14489.470,28.35,53.28,102215.45,0xb0,background
DATA,2026-02-10T14:52:23,2.767,0x76,5684.850,27.46,58.86,102153.38,0xb0,background
DATA,2026-02-10T14:52:23,2.767,0x77,16846.540,28.37,53.28,102228.76,0xb0,background
DATA,2026-02-10T14:52:23,2.997,0x76,5684.850,27.48,58.84,102154.64,0xb0,background
DATA,2026-02-10T14:52:23,2.997,0x77,19265.500,28.38,53.31,102213.73,0xb0,background
DATA,2026-02-10T14:52:24,3.228,0x76,5684.850,27.51,58.73,102155.85,0xb0,background
DATA,2026-02-10T14:52:24,3.228,0x77,21761.310,28.38,53.34,102211.02,0xb0,background
DATA,2026-02-10T14:52:24,3.459,0x76,5684.850,27.53,58.69,102155.77,0xb0,background
DATA,2026-02-10T14:52:24,3.459,0x77,24715.200,28.40,53.43,102216.22,0xb0,background
DATA,2026-02-10T14:52:24,3.689,0x76,5684.850,27.53,58.61,102157.07,0xb0,background
DATA,2026-02-10T14:52:24,3.689,0x77,27187.770,28.41,53.42,102213.41,0xb0,background
DATA,2026-02-10T14:52:24,3.920,0x76,5866.180,27.54,58.54,102159.65,0xb0,background
DATA,2026-02-10T14:52:24,3.920,0x77,29850.750,28.42,53.41,102226.83,0xb0,background
DATA,2026-02-10T14:52:24,4.151,0x76,6021.830,27.52,58.48,102149.24,0xb0,background
DATA,2026-02-10T14:52:24,4.151,0x77,32586.560,28.44,53.37,102215.91,0xb0,background
DATA,2026-02-10T14:52:25,4.381,0x76,6295.490,27.53,58.42,102146.58,0xb0,background
DATA,2026-02-10T14:52:25,4.381,0x77,35339.590,28.44,53.30,102225.31,0xb0,background
DATA,2026-02-10T14:52:25,4.612,0x76,6583.010,27.55,58.39,102147.83,0xb0,background
DATA,2026-02-10T14:52:25,4.612,0x77,37948.410,28.45,53.23,102214.39,0xb0,background
DATA,2026-02-10T14:52:25,4.842,0x76,6858.120,27.55,58.35,102149.12,0xb0,background
DATA,2026-02-10T14:52:25,4.842,0x77,40699.520,28.46,53.20,102219.70,0xb0,background
DATA,2026-02-10T14:52:25,5.075,0x76,7119.020,27.56,58.30,102153.04,0xb0,background
DATA,2026-02-10T14:52:25,5.075,0x77,43214.040,28.46,53.16,102226.51,0xb0,background
DATA,2026-02-10T14:52:26,5.306,0x76,7421.150,27.56,58.24,102151.70,0xb0,background
DATA,2026-02-10T14:52:26,5.306,0x77,45911.050,28.46,53.12,102216.99,0xb0,background
DATA,2026-02-10T14:52:26,5.536,0x76,7677.540,27.57,58.21,102146.42,0xb0,background
DATA,2026-02-10T14:52:26,5.536,0x77,49202.380,28.48,53.10,102212.77,0xb0,background
DATA,2026-02-10T14:52:26,5.767,0x76,7988.020,27.59,58.17,102149.01,0xb0,background
DATA,2026-02-10T14:52:26,5.767,0x77,51863.860,28.47,53.08,102225.00,0xb0,background
DATA,2026-02-10T14:52:26,5.997,0x76,8260.200,27.59,58.13,102147.67,0xb0,background
DATA,2026-02-10T14:52:26,5.997,0x77,54759.360,28.48,53.01,102214.07,0xb0,background
DATA,2026-02-10T14:52:27,6.228,0x76,8531.060,27.61,58.08,102151.55,0xb0,background
