row_type,wall_time,time_s,addr,gas_ohm,temp_C,hum_pct,press_Pa,status,label
DATA,2026-02-11T09:42:41,2.536,0x76,24643.820,25.86,59.27,101888.56,0xb0,background
DATA,2026-02-11T09:42:41,2.536,0x77,194123.220,25.80,61.04,101966.84,0xb0,background
DATA,2026-02-11T09:42:41,2.767,0x76,25620.500,25.88,59.20,101887.20,0xb0,background
DATA,2026-02-11T09:42:41,2.767,0x77,204840.970,25.81,60.97,101972.14,0xb0,background
DATA,2026-02-11T09:42:41,2.999,0x76,26561.530,25.90,59.18,101898.91,0xb0,background
DATA,2026-02-11T09:42:41,2.999,0x77,213555.780,25.83,60.92,101958.53,0xb0,background
DATA,2026-02-11T09:42:41,3.233,0x76,27610.010,25.90,59.12,101888.46,0xb0,background
DATA,2026-02-11T09:42:41,3.233,0x77,221885.160,25.83,60.87,101955.84,0xb0,background
DATA,2026-02-11T09:42:42,3.464,0x76,28419.180,25.91,59.03,101887.12,0xb0,background
DATA,2026-02-11T09:42:42,3.464,0x77,230890.640,25.86,60.80,101977.20,0xb0,background
DATA,2026-02-11T09:42:42,3.695,0x76,29157.180,25.93,58.97,101888.38,0xb0,background
DATA,2026-02-11T09:42:42,3.695,0x77,238305.800,25.86,60.74,101967.74,0xb0,background
DATA,2026-02-11T09:42:42,3.925,0x76,30146.020,25.94,58.92,101890.97,0xb0,background
DATA,2026-02-11T09:42:42,3.925,0x77,243230.410,25.87,60.69,101966.36,0xb0,background
DATA,2026-02-11T09:42:42,4.156,0x76,30932.820,25.96,58.88,101894.85,0xb0,background
DATA,2026-02-11T09:42:42,4.156,0x77,248724.800,25.89,60.65,101971.57,0xb0,background
DATA,2026-02-11T09:42:43,4.386,0x76,31644.010,25.96,58.80,101888.30,0xb0,background
DATA,2026-02-11T09:42:43,4.386,0x77,254663.020,25.89,60.60,101968.88,0xb0,background
DATA,2026-02-11T09:42:43,4.617,0x76,32437.910,25.97,58.76,101884.37,0xb0,background
DATA,2026-02-11T09:42:43,4.617,0x77,260294.860,25.90,60.57,101963.42,0xb0,background
DATA,2026-02-11T09:42:43,4.848,0x76,33040.790,25.98,58.71,101892.18,0xb0,background
DATA,2026-02-11T09:42:43,4.848,0x77,262698.810,25.91,60.52,101972.71,0xb0,background
DATA,2026-02-11T09:42:43,5.078,0x76,33693.080,25.98,58.68,101886.95,0xb0,background
DATA,2026-02-11T09:42:43,5.078,0x77,266597.250,25.91,60.49,101961.95,0xb0,background
DATA,2026-02-11T09:42:43,5.309,0x76,34371.640,25.99,58.65,101892.16,0xb0,background
DATA,2026-02-11T09:42:44,5.309,0x77,271042.880,25.92,60.46,101955.19,0xb0,background
DATA,2026-02-11T09:42:44,5.540,0x76,34905.920,25.99,58.63,101896.06,0xb0,background
DATA,2026-02-11T09:42:44,5.540,0x77,272775.720,25.91,60.44,101959.27,0xb0,background
DATA,2026-02-11T09:42:44,5.771,0x76,35605.010,25.99,58.62,101882.99,0xb0,background
DATA,2026-02-11T09:42:44,5.771,0x77,277431.590,25.93,60.38,101953.72,0xb0,background
DATA,2026-02-11T09:42:44,6.001,0x76,36086.830,26.01,58.56,101892.10,0xb0,background
DATA,2026-02-11T09:42:44,6.001,0x77,279247.340,25.93,60.35,101960.48,0xb0,background
DATA,2026-02-11T09:42:44,6.232,0x76,36676.220,26.02,58.53,101902.52,0xb0,background
DATA,2026-02-11T09:42:44,6.232,0x77,282015.970,25.95,60.32,101967.09,0xb0,background
DATA,2026-02-11T09:42:45,6.462,0x76,37122.970,26.02,58.50,101888.16,0xb0,background
DATA,2026-02-11T09:42:45,6.462,0x77,282951.090,25.95,60.32,101980.54,0xb0,background
DATA,2026-02-11T09:42:45,6.693,0x76,37680.300,26.03,58.49,101890.75,0xb0,background
DATA,2026-02-11T09:42:45,6.693,0x77,284840.060,25.95,60.28,101963.01,0xb0,background
DATA,2026-02-11T09:42:45,6.925,0x76,37881.030,26.03,58.46,101893.37,0xb0,background
DATA,2026-02-11T09:42:45,6.925,0x77,286033.530,25.95,60.27,101964.40,0xb0,background
DATA,2026-02-11T09:42:45,7.156,0x76,38426.900,26.03,58.46,101894.66,0xb0,background
DATA,2026-02-11T09:42:45,7.156,0x77,287478.940,25.95,60.24,101961.70,0xb0,background
DATA,2026-02-11T09:42:46,7.386,0x76,38811.400,26.03,58.42,101889.43,0xb0,background
DATA,2026-02-11T09:42:46,7.386,0x77,288450.720,25.95,60.24,101954.94,0xb0,background
DATA,2026-02-11T09:42:46,7.617,0x76,39493.980,26.04,58.38,101888.11,0xb0,background
DATA,2026-02-11T09:42:46,7.617,0x77,291405.810,25.95,60.20,101965.70,0xb0,background
DATA,2026-02-11T09:42:46,7.848,0x76,39530.570,26.04,58.36,101889.40,0xb0,background
DATA,2026-02-11T09:42:46,7.848,0x77,293662.190,25.97,60.18,101966.92,0xb0,background
DATA,2026-02-11T09:42:46,8.078,0x76,39900.250,26.05,58.34,101890.70,0xb0,background
DATA,2026-02-11T09:42:46,8.078,0x77,292906.190,25.97,60.17,101960.16,0xb0,background
DATA,2026-02-11T09:42:46,8.309,0x76,40314.960,26.05,58.36,101889.38,0xb0,background
DATA,2026-02-11T09:42:47,8.309,0x77,291405.810,25.98,60.14,101964.15,0xb0,background
DATA,2026-02-11T09:42:47,8.540,0x76,40777.320,26.05,58.33,101884.15,0xb0,background
DATA,2026-02-11T09:42:47,8.540,0x77,292906.190,25.97,60.12,101957.46,0xb0,background
DATA,2026-02-11T09:42:47,8.770,0x76,40894.570,26.06,58.32,101890.66,0xb0,background
DATA,2026-02-11T09:42:47,8.770,0x77,295697.380,25.97,60.11,101960.16,0xb0,background
DATA,2026-02-11T09:42:47,9.001,0x76,41250.400,26.07,58.28,101893.25,0xb0,background
DATA,2026-02-11T09:42:47,9.001,0x77,295441.440,25.97,60.10,101960.16,0xb0,background
DATA,2026-02-11T09:42:47,9.231,0x76,41571.940,26.07,58.25,101897.16,0xb0,background
DATA,2026-02-11T09:42:47,9.231,0x77,296983.750,25.97,60.06,101965.53,0xb0,background
DATA,2026-02-11T09:42:48,9.462,0x76,41734.590,26.07,58.26,101893.25,0xb0,background
DATA,2026-02-11T09:42:48,9.462,0x77,294930.880,25.99,60.06,101961.38,0xb0,background
DATA,2026-02-11T09:42:48,9.693,0x76,42063.750,26.07,58.22,101888.02,0xb0,background
DATA,2026-02-11T09:42:48,9.693,0x77,298020.970,25.99,60.08,101965.37,0xb0,background
DATA,2026-02-11T09:42:48,9.925,0x76,42230.290,26.07,58.22,101890.64,0xb0,background
DATA,2026-02-11T09:42:48,9.925,0x77,299065.410,25.98,60.05,101966.84,0xb0,background
DATA,2026-02-11T09:42:48,10.156,0x76,42440.320,26.07,58.21,101884.09,0xb0,background
DATA,2026-02-11T09:42:48,10.156,0x77,299853.590,25.99,60.05,101954.61,0xb0,background
DATA,2026-02-11T09:42:49,10.386,0x76,42652.450,26.08,58.24,101885.38,0xb0,background
DATA,2026-02-11T09:42:49,10.386,0x77,299853.590,25.99,60.04,101965.37,0xb0,background
DATA,2026-02-11T09:42:49,10.617,0x76,42823.690,26.08,58.18,101893.23,0xb0,background
DATA,2026-02-11T09:42:49,10.617,0x77,300645.910,26.00,60.01,101969.36,0xb0,background
DATA,2026-02-11T09:42:49,10.848,0x76,43257.860,26.10,58.15,101891.88,0xb0,background
DATA,2026-02-11T09:42:49,10.848,0x77,301176.470,26.00,59.98,101958.60,0xb0,background
DATA,2026-02-11T09:42:49,11.078,0x76,43126.680,26.09,58.14,101887.97,0xb0,background
DATA,2026-02-11T09:42:49,11.078,0x77,301442.440,26.00,59.98,101963.98,0xb0,background
DATA,2026-02-11T09:42:49,11.309,0x76,43434.000,26.10,58.14,101897.10,0xb0,background
DATA,2026-02-11T09:42:50,11.309,0x77,302779.410,26.00,59.99,101953.22,0xb0,background
DATA,2026-02-11T09:42:50,11.540,0x76,43700.920,26.10,58.12,101887.94,0xb0,background
DATA,2026-02-11T09:42:50,11.540,0x77,301708.910,26.01,59.97,101961.20,0xb0,background
DATA,2026-02-11T09:42:50,11.770,0x76,43790.620,26.10,58.13,101889.26,0xb0,background
DATA,2026-02-11T09:42:50,11.770,0x77,301975.810,26.00,59.96,101961.29,0xb0,background
DATA,2026-02-11T09:42:50,12.001,0x76,44061.960,26.11,58.08,101891.84,0xb0,background
DATA,2026-02-11T09:42:50,12.001,0x77,303317.530,26.01,59.96,101973.27,0xb0,background
DATA,2026-02-11T09:42:50,12.232,0x76,44016.510,26.11,58.07,101893.14,0xb0,background
DATA,2026-02-11T09:42:50,12.232,0x77,303048.250,26.01,59.93,101957.12,0xb0,background
DATA,2026-02-11T09:42:51,12.462,0x76,44244.730,26.11,58.08,101886.62,0xb0,background
DATA,2026-02-11T09:42:51,12.462,0x77,304399.530,26.02,59.93,101974.58,0xb0,background
DATA,2026-02-11T09:42:51,12.693,0x76,44336.680,26.11,58.09,101893.14,0xb0,background
DATA,2026-02-11T09:42:51,12.693,0x77,303587.310,26.01,59.91,101950.45,0xb0,background
DATA,2026-02-11T09:42:51,12.924,0x76,44568.250,26.12,58.09,101894.43,0xb0,background
DATA,2026-02-11T09:42:51,12.924,0x77,303857.560,26.02,59.89,101979.95,0xb0,background
DATA,2026-02-11T09:42:51,13.154,0x76,44661.550,26.12,58.07,101889.20,0xb0,background
DATA,2026-02-11T09:42:51,13.154,0x77,302779.410,26.02,59.87,101963.81,0xb0,background
DATA,2026-02-11T09:42:52,13.385,0x76,44896.530,26.12,58.06,101889.20,0xb0,background
DATA,2026-02-11T09:42:52,13.385,0x77,305762.910,26.02,59.85,101963.81,0xb0,background
DATA,2026-02-11T09:42:52,13.615,0x76,45181.790,26.12,58.05,101893.11,0xb0,background
DATA,2026-02-11T09:42:52,13.615,0x77,306311.690,26.03,59.85,101961.04,0xb0,background
DATA,2026-02-11T09:42:52,13.846,0x76,45181.790,26.12,58.03,101887.88,0xb0,background
DATA,2026-02-11T09:42:52,13.846,0x77,307415.190,26.02,59.84,101971.88,0xb0,background
DATA,2026-02-11T09:42:52,14.077,0x76,45277.680,26.13,58.01,101890.47,0xb0,background
DATA,2026-02-11T09:42:52,14.077,0x77,307692.310,26.02,59.85,101955.74,0xb0,background
DATA,2026-02-11T09:42:52,14.307,0x76,45229.680,26.13,58.04,101889.17,0xb0,background
DATA,2026-02-11T09:42:53,14.307,0x77,309085.410,26.03,59.84,101966.42,0xb0,background
DATA,2026-02-11T09:42:53,14.538,0x76,45422.290,26.13,58.02,101891.79,0xb0,background
DATA,2026-02-11T09:42:53,14.538,0x77,311340.840,26.02,59.85,101953.05,0xb0,background
DATA,2026-02-11T09:42:53,14.769,0x76,45470.690,26.13,58.02,101890.47,0xb0,background
DATA,2026-02-11T09:42:53,14.769,0x77,311340.840,26.03,59.84,101969.11,0xb0,background
DATA,2026-02-11T09:42:53,14.999,0x76,45714.290,26.14,58.01,101893.05,0xb0,background
DATA,2026-02-11T09:42:53,14.999,0x77,309927.380,26.03,59.83,101958.35,0xb0,background
DATA,2026-02-11T09:42:53,15.230,0x76,45763.320,26.14,58.00,101889.15,0xb0,background
DATA,2026-02-11T09:42:53,15.230,0x77,311057.090,26.03,59.81,101956.96,0xb0,background
DATA,2026-02-11T09:42:54,15.461,0x76,45714.290,26.14,57.99,101889.15,0xb0,background
DATA,2026-02-11T09:42:54,15.461,0x77,310491.220,26.03,59.81,101952.97,0xb0,background
DATA,2026-02-11T09:42:54,15.691,0x76,45812.460,26.14,57.96,101891.76,0xb0,background
DATA,2026-02-11T09:42:54,15.691,0x77,311057.090,26.03,59.80,101954.27,0xb0,background
DATA,2026-02-11T09:42:54,15.922,0x76,45812.460,26.15,57.94,101896.96,0xb0,background
DATA,2026-02-11T09:42:54,15.922,0x77,310209.030,26.04,59.78,101963.65,0xb0,background
DATA,2026-02-11T09:42:54,16.153,0x76,46059.730,26.14,57.95,101891.76,0xb0,background
DATA,2026-02-11T09:42:54,16.153,0x77,310209.030,26.03,59.78,101959.65,0xb0,background
DATA,2026-02-11T09:42:55,16.383,0x76,46209.390,26.14,57.92,101893.05,0xb0,background
DATA,2026-02-11T09:42:55,16.383,0x77,312195.120,26.05,59.76,101967.64,0xb0,background
DATA,2026-02-11T09:42:55,16.614,0x76,46209.390,26.15,57.92,101896.96,0xb0,background
