row_type,wall_time,time_s,addr,gas_ohm,temp_C,hum_pct,press_Pa,status,label
DATA,2026-02-11T13:24:47,2.536,0x76,5684.850,27.66,58.12,101760.54,0xb0,background
DATA,2026-02-11T13:24:47,2.536,0x77,21783.530,27.51,57.02,101753.67,0xb0,background
DATA,2026-02-11T13:24:48,2.767,0x76,5684.850,27.69,58.02,101764.35,0xb0,background
DATA,2026-02-11T13:24:48,2.767,0x77,25391.790,27.55,56.95,101760.05,0xb0,background
DATA,2026-02-11T13:24:48,2.997,0x76,5684.850,27.70,57.95,101757.72,0xb0,background
DATA,2026-02-11T13:24:48,2.997,0x77,28783.450,27.57,56.85,101753.14,0xb0,background
DATA,2026-02-11T13:24:48,3.228,0x76,5684.850,27.72,57.88,101764.20,0xb0,background
DATA,2026-02-11T13:24:48,3.228,0x77,32193.160,27.57,56.81,101757.14,0xb0,background
DATA,2026-02-11T13:24:48,3.459,0x76,5684.850,27.73,57.84,101756.29,0xb0,background
DATA,2026-02-11T13:24:48,3.459,0x77,35664.530,27.59,56.77,101758.33,0xb0,background
DATA,2026-02-11T13:24:48,3.689,0x76,5730.660,27.75,57.81,101760.15,0xb0,background
DATA,2026-02-11T13:24:49,3.689,0x77,39095.910,27.61,56.70,101760.81,0xb0,background
DATA,2026-02-11T13:24:49,3.920,0x76,6049.150,27.74,57.69,101752.33,0xb0,background
DATA,2026-02-11T13:24:49,3.920,0x77,42524.920,27.62,56.65,101758.01,0xb0,background
DATA,2026-02-11T13:24:49,4.150,0x76,6207.570,27.74,57.71,101750.99,0xb0,background
DATA,2026-02-11T13:24:49,4.150,0x77,45861.700,27.64,56.61,101756.50,0xb0,background
DATA,2026-02-11T13:24:49,4.381,0x76,6479.040,27.75,57.64,101752.28,0xb0,background
DATA,2026-02-11T13:24:49,4.381,0x77,49892.810,27.63,56.53,101752.51,0xb0,background
DATA,2026-02-11T13:24:49,4.612,0x76,6749.630,27.76,57.53,101750.89,0xb0,background
DATA,2026-02-11T13:24:49,4.612,0x77,53388.950,27.65,56.51,101757.69,0xb0,background
DATA,2026-02-11T13:24:50,4.842,0x76,7034.510,27.77,57.53,101752.18,0xb0,background
DATA,2026-02-11T13:24:50,4.842,0x77,56876.250,27.66,56.47,101760.28,0xb0,background
DATA,2026-02-11T13:24:50,5.073,0x76,7319.300,27.78,57.52,101745.55,0xb0,background
DATA,2026-02-11T13:24:50,5.073,0x77,60079.790,27.67,56.40,101757.48,0xb0,background
DATA,2026-02-11T13:24:50,5.304,0x76,7568.590,27.79,57.46,101749.45,0xb0,background
DATA,2026-02-11T13:24:50,5.304,0x77,63241.110,27.67,56.37,101757.48,0xb0,background
DATA,2026-02-11T13:24:50,5.534,0x76,7870.140,27.79,57.39,101748.12,0xb0,background
DATA,2026-02-11T13:24:50,5.534,0x77,66338.430,27.69,56.34,101758.66,0xb0,background
DATA,2026-02-11T13:24:51,5.765,0x76,8159.100,27.81,57.35,101751.98,0xb0,background
DATA,2026-02-11T13:24:51,5.765,0x77,69189.190,27.69,56.29,101757.26,0xb0,background
DATA,2026-02-11T13:24:51,5.995,0x76,8416.620,27.82,57.30,101745.39,0xb0,background
DATA,2026-02-11T13:24:51,5.995,0x77,72051.790,27.70,56.26,101758.55,0xb0,background
DATA,2026-02-11T13:24:51,6.226,0x76,8690.930,27.82,57.28,101746.68,0xb0,background
DATA,2026-02-11T13:24:51,6.226,0x77,74766.350,27.70,56.23,101754.45,0xb0,background
DATA,2026-02-11T13:24:51,6.457,0x76,8968.610,27.84,57.24,101754.45,0xb0,background
DATA,2026-02-11T13:24:51,6.457,0x77,77622.800,27.71,56.20,101759.74,0xb0,background
DATA,2026-02-11T13:24:51,6.687,0x76,9232.540,27.84,57.22,101747.91,0xb0,background
DATA,2026-02-11T13:24:52,6.687,0x77,80250.780,27.72,56.16,101759.64,0xb0,background
DATA,2026-02-11T13:24:52,6.918,0x76,9529.480,27.85,57.16,101749.15,0xb0,background
DATA,2026-02-11T13:24:52,6.918,0x77,82660.640,27.74,56.13,101759.53,0xb0,background
DATA,2026-02-11T13:24:52,7.149,0x76,9773.980,27.85,57.13,101742.62,0xb0,background
DATA,2026-02-11T13:24:52,7.149,0x77,85304.900,27.74,56.10,101760.83,0xb0,background
DATA,2026-02-11T13:24:52,7.379,0x76,10097.820,27.86,57.06,101750.44,0xb0,background
DATA,2026-02-11T13:24:52,7.379,0x77,87851.750,27.75,56.10,101756.72,0xb0,background
DATA,2026-02-11T13:24:52,7.610,0x76,10342.600,27.86,57.06,101749.09,0xb0,background
DATA,2026-02-11T13:24:52,7.610,0x77,90172.590,27.74,56.05,101754.13,0xb0,background
DATA,2026-02-11T13:24:53,7.841,0x76,10631.230,27.87,57.04,101749.05,0xb0,background
DATA,2026-02-11T13:24:53,7.841,0x77,93807.260,27.75,56.05,101755.32,0xb0,background
DATA,2026-02-11T13:24:53,8.071,0x76,10914.050,27.88,57.00,101755.58,0xb0,background
DATA,2026-02-11T13:24:53,8.071,0x77,95970.010,27.75,56.01,101755.32,0xb0,background
DATA,2026-02-11T13:24:53,8.302,0x76,11165.390,27.89,56.99,101751.62,0xb0,background
DATA,2026-02-11T13:24:53,8.302,0x77,98348.060,27.76,55.97,101757.91,0xb0,background
DATA,2026-02-11T13:24:53,8.532,0x76,11428.570,27.89,56.94,101748.99,0xb0,background
DATA,2026-02-11T13:24:53,8.532,0x77,100668.500,27.78,55.97,101764.50,0xb0,background
DATA,2026-02-11T13:24:54,8.763,0x76,11653.310,27.90,56.94,101751.57,0xb0,background
DATA,2026-02-11T13:24:54,8.763,0x77,102420.480,27.78,55.94,101756.40,0xb0,background
DATA,2026-02-11T13:24:54,8.994,0x76,12132.700,27.90,56.92,101750.23,0xb0,background
DATA,2026-02-11T13:24:54,8.994,0x77,104298.230,27.78,55.94,101757.70,0xb0,background
DATA,2026-02-11T13:24:54,9.224,0x76,12487.800,27.91,56.89,101750.18,0xb0,background
DATA,2026-02-11T13:24:54,9.224,0x77,106644.450,27.79,55.89,101758.99,0xb0,background
DATA,2026-02-11T13:24:54,9.455,0x76,12665.740,27.91,56.85,101747.55,0xb0,background
DATA,2026-02-11T13:24:54,9.455,0x77,108268.130,27.80,55.88,101761.58,0xb0,background
DATA,2026-02-11T13:24:54,9.686,0x76,13005.490,27.92,56.83,101750.12,0xb0,background
DATA,2026-02-11T13:24:55,9.686,0x77,110012.890,27.80,55.86,101748.08,0xb0,background
DATA,2026-02-11T13:24:55,9.916,0x76,13289.040,27.92,56.81,101744.88,0xb0,background
DATA,2026-02-11T13:24:55,9.916,0x77,112403.950,27.81,55.85,101756.07,0xb0,background
DATA,2026-02-11T13:24:55,10.147,0x76,13499.260,27.93,56.79,101748.79,0xb0,background
DATA,2026-02-11T13:24:55,10.147,0x77,113676.730,27.81,55.82,101757.37,0xb0,background
DATA,2026-02-11T13:24:55,10.378,0x76,13849.820,27.93,56.76,101744.83,0xb0,background
DATA,2026-02-11T13:24:55,10.378,0x77,115367.280,27.81,55.81,101758.77,0xb0,background
DATA,2026-02-11T13:24:55,10.608,0x76,14041.250,27.93,56.72,101747.45,0xb0,background
DATA,2026-02-11T13:24:55,10.608,0x77,117350.450,27.81,55.77,101757.37,0xb0,background
DATA,2026-02-11T13:24:56,10.839,0x76,14257.070,27.96,56.71,101749.97,0xb0,background
DATA,2026-02-11T13:24:56,10.839,0x77,118821.070,27.82,55.76,101755.96,0xb0,background
DATA,2026-02-11T13:24:56,11.069,0x76,14558.690,27.95,56.70,101748.68,0xb0,background
DATA,2026-02-11T13:24:56,11.069,0x77,120754.720,27.82,55.77,101759.96,0xb0,background
DATA,2026-02-11T13:24:56,11.301,0x76,14801.110,27.96,56.68,101748.63,0xb0,background
DATA,2026-02-11T13:24:56,11.301,0x77,121701.920,27.82,55.66,101799.17,0xb0,background
DATA,2026-02-11T13:24:56,11.532,0x76,14998.830,27.96,56.73,101752.59,0xb0,background
DATA,2026-02-11T13:24:56,11.532,0x77,123462.740,27.82,55.37,101791.07,0xb0,background
DATA,2026-02-11T13:24:57,11.762,0x76,15245.350,27.96,56.88,101747.34,0xb0,background
DATA,2026-02-11T13:24:57,11.762,0x77,125736.740,27.81,55.20,101811.38,0xb0,background
DATA,2026-02-11T13:24:57,11.993,0x76,15410.550,27.96,56.98,101746.01,0xb0,background
DATA,2026-02-11T13:24:57,11.993,0x77,127904.070,27.80,55.09,101789.88,0xb0,background
DATA,2026-02-11T13:24:57,12.224,0x76,15693.970,27.96,57.06,101751.26,0xb0,background
DATA,2026-02-11T13:24:57,12.224,0x77,130545.640,27.80,55.08,101799.39,0xb0,background
DATA,2026-02-11T13:24:57,12.454,0x76,15892.720,27.97,57.06,101747.29,0xb0,background
DATA,2026-02-11T13:24:57,12.454,0x77,132780.080,27.80,55.08,101797.98,0xb0,background
DATA,2026-02-11T13:24:57,12.685,0x76,16072.330,27.97,57.03,101753.83,0xb0,background
DATA,2026-02-11T13:24:58,12.685,0x77,135629.140,27.79,55.08,101789.99,0xb0,background
DATA,2026-02-11T13:24:58,12.916,0x76,16256.030,27.98,56.99,101749.87,0xb0,background
DATA,2026-02-11T13:24:58,12.916,0x77,137375.910,27.80,55.11,101791.29,0xb0,background
DATA,2026-02-11T13:24:58,13.146,0x76,16584.610,27.98,56.93,101752.49,0xb0,background
DATA,2026-02-11T13:24:58,13.146,0x77,139852.500,27.78,55.11,101788.80,0xb0,background
DATA,2026-02-11T13:24:58,13.377,0x76,16780.280,27.98,56.91,101747.24,0xb0,background
DATA,2026-02-11T13:24:58,13.377,0x77,141710.480,27.78,55.12,101798.20,0xb0,background
DATA,2026-02-11T13:24:58,13.608,0x76,16994.160,27.98,56.86,101745.90,0xb0,background
DATA,2026-02-11T13:24:58,13.608,0x77,143860.640,27.78,55.15,101795.50,0xb0,background
DATA,2026-02-11T13:24:59,13.838,0x76,17199.680,27.99,56.83,101753.72,0xb0,background
DATA,2026-02-11T13:24:59,13.838,0x77,145578.620,27.79,55.15,101804.90,0xb0,background
DATA,2026-02-11T13:24:59,14.069,0x76,17381.860,27.99,56.77,101752.44,0xb0,background
DATA,2026-02-11T13:24:59,14.069,0x77,146957.520,27.78,55.19,101806.30,0xb0,background
DATA,2026-02-11T13:24:59,14.299,0x76,17596.920,28.00,56.75,101753.67,0xb0,background
DATA,2026-02-11T13:24:59,14.299,0x77,148750.720,27.79,55.18,101795.39,0xb0,background
DATA,2026-02-11T13:24:59,14.530,0x76,17817.370,28.00,56.70,101744.51,0xb0,background
DATA,2026-02-11T13:24:59,14.530,0x77,150322.950,27.78,55.23,101795.50,0xb0,background
DATA,2026-02-11T13:25:00,14.761,0x76,18073.990,28.00,56.66,101747.13,0xb0,background
DATA,2026-02-11T13:25:00,14.761,0x77,150190.670,27.80,55.55,101799.39,0xb0,background
DATA,2026-02-11T13:25:00,14.992,0x76,18290.940,28.00,56.63,101751.05,0xb0,background
DATA,2026-02-11T13:25:00,14.992,0x77,149926.800,27.79,55.98,101811.60,0xb0,background
DATA,2026-02-11T13:25:00,15.222,0x76,18497.110,28.00,56.63,101751.05,0xb0,background
DATA,2026-02-11T13:25:00,15.222,0x77,150588.230,27.79,56.33,101791.40,0xb0,background
DATA,2026-02-11T13:25:00,15.453,0x76,18675.230,28.01,56.64,101748.37,0xb0,background
DATA,2026-02-11T13:25:00,15.453,0x77,150987.910,27.79,56.59,101800.80,0xb0,background
DATA,2026-02-11T13:25:00,15.683,0x76,18790.370,28.02,56.69,101747.03,0xb0,background
DATA,2026-02-11T13:25:01,15.683,0x77,151255.550,27.79,56.84,101808.90,0xb0,background
DATA,2026-02-11T13:25:01,15.914,0x76,18974.210,28.02,56.78,101749.66,0xb0,background
DATA,2026-02-11T13:25:01,15.914,0x77,151524.120,27.80,57.13,101802.09,0xb0,background
DATA,2026-02-11T13:25:01,16.145,0x76,19213.450,28.02,56.90,101750.94,0xb0,background
