row_type,wall_time,time_s,addr,gas_ohm,temp_C,hum_pct,press_Pa,status,label
DATA,2026-02-10T15:59:45,2.536,0x76,5684.850,27.15,58.52,102100.73,0xb0,cinnamon
DATA,2026-02-10T15:59:45,2.536,0x77,14489.470,27.03,57.11,102090.05,0xb0,cinnamon
DATA,2026-02-10T15:59:46,2.766,0x76,5684.850,27.17,58.43,102096.71,0xb0,cinnamon
DATA,2026-02-10T15:59:46,2.766,0x77,16846.540,27.05,57.04,102089.86,0xb0,cinnamon
DATA,2026-02-10T15:59:46,2.999,0x76,5684.850,27.19,58.36,102092.73,0xb0,cinnamon
DATA,2026-02-10T15:59:46,2.999,0x77,19230.770,27.07,56.97,102093.77,0xb0,cinnamon
DATA,2026-02-10T15:59:46,3.231,0x76,5684.850,27.20,58.25,102090.07,0xb0,cinnamon
DATA,2026-02-10T15:59:46,3.231,0x77,21672.880,27.08,56.90,102093.68,0xb0,cinnamon
DATA,2026-02-10T15:59:46,3.462,0x76,5684.850,27.22,58.21,102097.86,0xb0,cinnamon
DATA,2026-02-10T15:59:46,3.462,0x77,24376.310,27.10,56.84,102097.49,0xb0,cinnamon
DATA,2026-02-10T15:59:47,3.693,0x76,5684.850,27.23,58.13,102096.53,0xb0,cinnamon
DATA,2026-02-10T15:59:47,3.693,0x77,26845.640,27.11,56.81,102092.00,0xb0,cinnamon
DATA,2026-02-10T15:59:47,3.923,0x76,5684.850,27.25,58.11,102096.46,0xb0,cinnamon
DATA,2026-02-10T15:59:47,3.923,0x77,29297.320,27.12,56.76,102094.61,0xb0,cinnamon
DATA,2026-02-10T15:59:47,4.154,0x76,5684.850,27.25,58.06,102092.51,0xb0,cinnamon
DATA,2026-02-10T15:59:47,4.154,0x77,31832.880,27.13,56.70,102101.30,0xb0,cinnamon
DATA,2026-02-10T15:59:47,4.384,0x76,5967.920,27.23,58.00,102087.34,0xb0,cinnamon
DATA,2026-02-10T15:59:47,4.384,0x77,34343.980,27.15,56.65,102089.02,0xb0,cinnamon
DATA,2026-02-10T15:59:48,4.615,0x76,6101.050,27.25,57.92,102088.59,0xb0,cinnamon
DATA,2026-02-10T15:59:48,4.615,0x77,36930.180,27.16,56.61,102095.62,0xb0,cinnamon
DATA,2026-02-10T15:59:48,4.846,0x76,6363.090,27.25,57.90,102084.65,0xb0,cinnamon
DATA,2026-02-10T15:59:48,4.846,0x77,39312.040,27.17,56.57,102096.93,0xb0,cinnamon
DATA,2026-02-10T15:59:48,5.076,0x76,6628.000,27.26,57.86,102088.56,0xb0,cinnamon
DATA,2026-02-10T15:59:48,5.076,0x77,41775.460,27.17,56.54,102095.53,0xb0,cinnamon
DATA,2026-02-10T15:59:48,5.307,0x76,6889.130,27.28,57.80,102091.11,0xb0,cinnamon
DATA,2026-02-10T15:59:48,5.307,0x77,43971.140,27.18,56.52,102088.74,0xb0,cinnamon
DATA,2026-02-10T15:59:48,5.537,0x76,7157.240,27.28,57.78,102091.11,0xb0,cinnamon
DATA,2026-02-10T15:59:49,5.537,0x77,46410.440,27.19,56.47,102096.74,0xb0,cinnamon
DATA,2026-02-10T15:59:49,5.768,0x76,7452.260,27.30,57.76,102089.74,0xb0,cinnamon
DATA,2026-02-10T15:59:49,5.768,0x77,49545.190,27.20,56.44,102088.55,0xb0,cinnamon
DATA,2026-02-10T15:59:49,5.999,0x76,7722.010,27.31,57.75,102089.70,0xb0,cinnamon
DATA,2026-02-10T15:59:49,5.999,0x77,51926.980,27.20,56.40,102097.95,0xb0,cinnamon
DATA,2026-02-10T15:59:49,6.229,0x76,7934.540,27.31,57.67,102093.62,0xb0,cinnamon
DATA,2026-02-10T15:59:49,6.229,0x77,54237.290,27.20,56.41,102095.25,0xb0,cinnamon
DATA,2026-02-10T15:59:49,6.460,0x76,8228.340,27.31,57.62,102093.62,0xb0,cinnamon
DATA,2026-02-10T15:59:49,6.460,0x77,56762.750,27.23,56.34,102101.76,0xb0,cinnamon
DATA,2026-02-10T15:59:50,6.691,0x76,8476.820,27.32,57.55,102090.96,0xb0,cinnamon
DATA,2026-02-10T15:59:50,6.691,0x77,59040.590,27.23,56.31,102093.66,0xb0,cinnamon
DATA,2026-02-10T15:59:50,6.921,0x76,8740.780,27.33,57.52,102087.01,0xb0,cinnamon
DATA,2026-02-10T15:59:50,6.921,0x77,60981.420,27.24,56.29,102097.66,0xb0,cinnamon
DATA,2026-02-10T15:59:50,7.152,0x76,8983.720,27.34,57.52,102092.21,0xb0,cinnamon
DATA,2026-02-10T15:59:50,7.152,0x77,63429.140,27.25,56.27,102089.48,0xb0,cinnamon
DATA,2026-02-10T15:59:50,7.382,0x76,9224.560,27.34,57.49,102090.88,0xb0,cinnamon
DATA,2026-02-10T15:59:50,7.382,0x77,65624.200,27.26,56.26,102097.48,0xb0,cinnamon
DATA,2026-02-10T15:59:51,7.614,0x76,9512.490,27.36,57.48,102089.52,0xb0,cinnamon
DATA,2026-02-10T15:59:51,7.614,0x77,67653.270,27.26,56.21,102092.08,0xb0,cinnamon
DATA,2026-02-10T15:59:51,7.847,0x76,9738.280,27.35,57.46,102092.17,0xb0,cinnamon
DATA,2026-02-10T15:59:51,7.847,0x77,69470.830,27.26,56.19,102092.08,0xb0,cinnamon
DATA,2026-02-10T15:59:51,8.078,0x76,10003.130,27.37,57.41,102093.43,0xb0,cinnamon
DATA,2026-02-10T15:59:51,8.078,0x77,71628.430,27.26,56.16,102093.38,0xb0,cinnamon
DATA,2026-02-10T15:59:51,8.308,0x76,10282.780,27.37,57.40,102092.09,0xb0,cinnamon
DATA,2026-02-10T15:59:51,8.308,0x77,73542.090,27.27,56.15,102098.68,0xb0,cinnamon
DATA,2026-02-10T15:59:51,8.539,0x76,10536.710,27.37,57.36,102085.56,0xb0,cinnamon
DATA,2026-02-10T15:59:52,8.539,0x77,75427.230,27.28,56.11,102094.59,0xb0,cinnamon
DATA,2026-02-10T15:59:52,8.769,0x76,10770.780,27.38,57.33,102088.15,0xb0,cinnamon
DATA,2026-02-10T15:59:52,8.769,0x77,77341.390,27.29,56.10,102099.89,0xb0,cinnamon
DATA,2026-02-10T15:59:52,9.000,0x76,10981.470,27.38,57.33,102086.81,0xb0,cinnamon
DATA,2026-02-10T15:59:52,9.000,0x77,79134.470,27.29,56.07,102098.49,0xb0,cinnamon
DATA,2026-02-10T15:59:52,9.231,0x76,11235.960,27.38,57.30,102094.68,0xb0,cinnamon
DATA,2026-02-10T15:59:52,9.231,0x77,80859.120,27.30,56.02,102099.80,0xb0,cinnamon
DATA,2026-02-10T15:59:52,9.461,0x76,11514.930,27.39,57.26,102089.40,0xb0,cinnamon
DATA,2026-02-10T15:59:52,9.461,0x77,82821.090,27.31,56.03,102094.30,0xb0,cinnamon
