row_type,wall_time,time_s,addr,gas_ohm,temp_C,hum_pct,press_Pa,status,label
DATA,2026-01-28T10:04:34,2.535,0x76,11391.950,24.75,60.17,101761.56,0xb0,background
DATA,2026-01-28T10:04:34,2.535,0x77,56725.020,24.20,61.23,101780.77,0xb0,background
DATA,2026-01-28T10:04:34,2.766,0x76,12444.100,24.77,60.09,101758.93,0xb0,background
DATA,2026-01-28T10:04:34,2.766,0x77,62090.710,24.22,61.17,101780.64,0xb0,background
DATA,2026-01-28T10:04:34,2.997,0x76,13264.250,24.78,59.99,101757.59,0xb0,background
DATA,2026-01-28T10:04:34,2.997,0x77,66858.190,24.23,61.07,101776.52,0xb0,background
DATA,2026-01-28T10:04:34,3.229,0x76,14078.310,24.79,59.95,101762.80,0xb0,background
DATA,2026-01-28T10:04:34,3.229,0x77,70855.240,24.24,60.99,101781.81,0xb0,background
DATA,2026-01-28T10:04:35,3.459,0x76,14935.820,24.81,59.87,101761.47,0xb0,background
DATA,2026-01-28T10:04:35,3.459,0x77,74897.600,24.25,60.91,101779.06,0xb0,background
DATA,2026-01-28T10:04:35,3.690,0x76,15763.550,24.83,59.84,101761.43,0xb0,background
DATA,2026-01-28T10:04:35,3.690,0x77,78696.590,24.27,60.86,101777.62,0xb0,background
DATA,2026-01-28T10:04:35,3.920,0x76,16520.390,24.84,59.72,101760.12,0xb0,background
DATA,2026-01-28T10:04:35,3.920,0x77,82341.590,24.29,60.79,101776.18,0xb0,background
DATA,2026-01-28T10:04:35,4.151,0x76,17158.180,24.85,59.68,101760.10,0xb0,background
DATA,2026-01-28T10:04:35,4.151,0x77,85475.800,24.29,60.76,101780.16,0xb0,background
DATA,2026-01-28T10:04:35,4.381,0x76,18058.690,24.86,59.64,101763.98,0xb0,background
DATA,2026-01-28T10:04:36,4.381,0x77,88306.310,24.31,60.68,101778.73,0xb0,background
DATA,2026-01-28T10:04:36,4.612,0x76,18529.240,24.87,59.57,101762.67,0xb0,background
DATA,2026-01-28T10:04:36,4.612,0x77,91135.630,24.32,60.66,101779.96,0xb0,background
DATA,2026-01-28T10:04:36,4.842,0x76,19441.070,24.88,59.50,101757.44,0xb0,background
DATA,2026-01-28T10:04:36,4.842,0x77,95220.380,24.32,60.60,101779.96,0xb0,background
DATA,2026-01-28T10:04:36,5.073,0x76,20119.460,24.89,59.50,101758.73,0xb0,background
DATA,2026-01-28T10:04:36,5.073,0x77,97672.640,24.33,60.56,101781.27,0xb0,background
DATA,2026-01-28T10:04:36,5.304,0x76,20625.200,24.89,59.45,101762.64,0xb0,background
DATA,2026-01-28T10:04:36,5.304,0x77,100078.190,24.34,60.48,101775.84,0xb0,background
DATA,2026-01-28T10:04:37,5.534,0x76,21304.930,24.91,59.40,101762.60,0xb0,background
DATA,2026-01-28T10:04:37,5.534,0x77,102236.420,24.34,60.46,101778.52,0xb0,background
DATA,2026-01-28T10:04:37,5.765,0x76,21805.790,24.91,59.34,101762.60,0xb0,background
DATA,2026-01-28T10:04:37,5.765,0x77,104234.530,24.35,60.45,101778.45,0xb0,background
DATA,2026-01-28T10:04:37,5.995,0x76,22354.170,24.92,59.37,101759.98,0xb0,background
DATA,2026-01-28T10:04:37,5.995,0x77,105719.590,24.36,60.45,101783.74,0xb0,background
DATA,2026-01-28T10:04:37,6.226,0x76,22832.680,24.92,59.31,101762.59,0xb0,background
DATA,2026-01-28T10:04:37,6.226,0x77,107653.490,24.36,60.39,101778.38,0xb0,background
DATA,2026-01-28T10:04:38,6.457,0x76,23778.560,24.94,59.29,101766.47,0xb0,background
DATA,2026-01-28T10:04:38,6.457,0x77,109378.340,24.37,60.36,101777.01,0xb0,background
DATA,2026-01-28T10:04:38,6.689,0x76,24210.330,24.94,59.21,101762.55,0xb0,background
DATA,2026-01-28T10:04:38,6.689,0x77,110726.640,24.37,60.32,101777.01,0xb0,background
DATA,2026-01-28T10:04:38,6.919,0x76,24700.890,24.95,59.20,101761.23,0xb0,background
DATA,2026-01-28T10:04:38,6.919,0x77,112999.340,24.38,60.31,101783.61,0xb0,background
DATA,2026-01-28T10:04:38,7.152,0x76,25211.740,24.94,59.15,101762.55,0xb0,background
DATA,2026-01-28T10:04:38,7.152,0x77,113525.500,24.38,60.28,101783.61,0xb0,background
DATA,2026-01-28T10:04:38,7.386,0x76,25559.110,24.96,59.12,101761.21,0xb0,background
DATA,2026-01-28T10:04:39,7.386,0x77,114669.660,24.38,60.25,101776.94,0xb0,background
DATA,2026-01-28T10:04:39,7.617,0x76,25806.450,24.97,59.08,101762.51,0xb0,background
DATA,2026-01-28T10:04:39,7.617,0x77,116152.450,24.39,60.23,101784.91,0xb0,background
DATA,2026-01-28T10:04:39,7.847,0x76,26528.500,24.98,59.08,101762.49,0xb0,background
DATA,2026-01-28T10:04:39,7.847,0x77,117755.290,24.40,60.22,101778.11,0xb0,background
DATA,2026-01-28T10:04:39,8.078,0x76,26795.060,24.98,59.06,101765.10,0xb0,background
DATA,2026-01-28T10:04:39,8.078,0x77,118655.850,24.41,60.19,101782.09,0xb0,background
DATA,2026-01-28T10:04:39,8.308,0x76,27344.580,24.99,59.01,101765.08,0xb0,background
DATA,2026-01-28T10:04:39,8.308,0x77,119654.120,24.41,60.15,101779.41,0xb0,background
DATA,2026-01-28T10:04:40,8.539,0x76,27627.890,24.99,59.02,101765.08,0xb0,background
DATA,2026-01-28T10:04:40,8.539,0x77,121097.450,24.41,60.12,101786.09,0xb0,background
DATA,2026-01-28T10:04:40,8.769,0x76,27844.250,24.99,58.96,101755.94,0xb0,background
DATA,2026-01-28T10:04:40,8.769,0x77,121269.540,24.42,60.09,101779.34,0xb0,background
DATA,2026-01-28T10:04:40,9.000,0x76,28362.510,25.00,58.97,101763.75,0xb0,background
DATA,2026-01-28T10:04:40,9.000,0x77,122752.340,24.42,60.08,101780.65,0xb0,background
DATA,2026-01-28T10:04:40,9.230,0x76,28667.410,25.01,58.95,101762.43,0xb0,background
DATA,2026-01-28T10:04:40,9.230,0x77,124091.130,24.42,60.05,101780.65,0xb0,background
DATA,2026-01-28T10:04:41,9.461,0x76,28998.640,25.01,58.89,101763.73,0xb0,background
DATA,2026-01-28T10:04:41,9.461,0x77,124181.420,24.44,60.01,101781.89,0xb0,background
DATA,2026-01-28T10:04:41,9.693,0x76,29418.530,25.01,58.86,101761.12,0xb0,background
DATA,2026-01-28T10:04:41,9.693,0x77,125275.270,24.43,59.98,101776.59,0xb0,background
DATA,2026-01-28T10:04:41,9.925,0x76,29520.290,25.01,58.87,101763.73,0xb0,background
DATA,2026-01-28T10:04:41,9.925,0x77,125736.740,24.42,59.98,101775.29,0xb0,background
DATA,2026-01-28T10:04:41,10.156,0x76,29829.880,25.02,58.79,101762.41,0xb0,background
DATA,2026-01-28T10:04:41,10.156,0x77,126201.620,24.45,59.97,101776.45,0xb0,background
DATA,2026-01-28T10:04:41,10.386,0x76,30231.460,25.02,58.79,101761.10,0xb0,background
DATA,2026-01-28T10:04:42,10.386,0x77,127426.580,24.44,59.95,101780.52,0xb0,background
DATA,2026-01-28T10:04:42,10.620,0x76,30124.730,25.04,58.80,101761.08,0xb0,background
