row_type,wall_time,time_s,addr,gas_ohm,temp_C,hum_pct,press_Pa,status,label
DATA,2026-01-23T09:49:03,2.535,0x76,17669.790,25.07,63.67,99539.08,0xb0,air
DATA,2026-01-23T09:49:03,2.535,0x77,81789.140,24.77,63.82,99587.97,0xb0,air
DATA,2026-01-23T09:49:03,2.766,0x76,17802.500,25.08,63.57,99539.01,0xb0,air
DATA,2026-01-23T09:49:03,2.766,0x77,84712.110,24.78,63.78,99603.94,0xb0,air
DATA,2026-01-23T09:49:04,2.997,0x76,17922.150,25.11,63.54,99549.23,0xb0,air
DATA,2026-01-23T09:49:04,2.997,0x77,88673.370,24.79,63.72,99607.78,0xb0,air
DATA,2026-01-23T09:49:04,3.229,0x76,17997.750,25.12,63.53,99542.68,0xb0,air
DATA,2026-01-23T09:49:04,3.229,0x77,92119.470,24.81,63.62,99614.30,0xb0,air
DATA,2026-01-23T09:49:04,3.460,0x76,18197.330,25.13,63.41,99543.88,0xb0,air
DATA,2026-01-23T09:49:04,3.460,0x77,96403.690,24.82,63.55,99600.77,0xb0,air
DATA,2026-01-23T09:49:04,3.690,0x76,18338.110,25.14,63.37,99541.20,0xb0,air
DATA,2026-01-23T09:49:04,3.690,0x77,99727.300,24.82,63.52,99595.41,0xb0,air
DATA,2026-01-23T09:49:05,3.921,0x76,18385.520,25.15,63.33,99535.91,0xb0,air
DATA,2026-01-23T09:49:05,3.921,0x77,102605.210,24.83,63.50,99615.34,0xb0,air
DATA,2026-01-23T09:49:05,4.151,0x76,18610.060,25.16,63.29,99541.05,0xb0,air
DATA,2026-01-23T09:49:05,4.151,0x77,105654.150,24.83,63.39,99607.29,0xb0,air
DATA,2026-01-23T09:49:05,4.382,0x76,18691.590,25.17,63.22,99534.50,0xb0,air
DATA,2026-01-23T09:49:05,4.382,0x77,108199.490,24.85,63.35,99608.45,0xb0,air
DATA,2026-01-23T09:49:05,4.612,0x76,18773.830,25.19,63.15,99540.91,0xb0,air
DATA,2026-01-23T09:49:05,4.612,0x77,110726.640,24.86,63.30,99602.95,0xb0,air
DATA,2026-01-23T09:49:06,4.843,0x76,18991.100,25.18,63.14,99534.43,0xb0,air
DATA,2026-01-23T09:49:06,4.843,0x77,112478.030,24.86,63.25,99608.32,0xb0,air
DATA,2026-01-23T09:49:06,5.074,0x76,19024.970,25.19,63.04,99533.09,0xb0,air
DATA,2026-01-23T09:49:06,5.074,0x77,114515.770,24.87,63.21,99596.19,0xb0,air
DATA,2026-01-23T09:49:06,5.306,0x76,19213.450,25.20,63.00,99535.62,0xb0,air
DATA,2026-01-23T09:49:06,5.306,0x77,116549.050,24.88,63.16,99601.43,0xb0,air
