row_type,wall_time,time_s,gas1_ohm,gas2_ohm,temp_C,hum_pct,press_Pa,status,label
DATA,2026-01-21T14:18:27,2.539,0x76,6788.290,23.90,69.67,100594.29,0xb0,background
DATA,2026-01-21T14:18:27,2.539,0x77,22735.350,23.85,68.68,100603.36,0xb0,background
DATA,2026-01-21T14:18:27,2.770,0x76,6745.360,23.92,69.64,100602.02,0xb0,background
DATA,2026-01-21T14:18:27,2.770,0x77,24155.500,23.88,68.63,100604.48,0xb0,background
DATA,2026-01-21T14:18:27,3.003,0x76,6724.100,23.94,69.59,100599.36,0xb0,background
DATA,2026-01-21T14:18:27,3.003,0x77,25152.290,23.89,68.56,100599.03,0xb0,background
DATA,2026-01-21T14:18:27,3.236,0x76,6702.970,23.94,69.53,100598.07,0xb0,background
DATA,2026-01-21T14:18:27,3.236,0x77,26267.190,23.91,68.50,100600.23,0xb0,background
DATA,2026-01-21T14:18:27,3.468,0x76,6694.560,23.96,69.50,100595.41,0xb0,background
DATA,2026-01-21T14:18:28,3.468,0x77,27257.240,23.90,68.45,100598.95,0xb0,background
DATA,2026-01-21T14:18:28,3.699,0x76,6686.170,23.97,69.39,100597.97,0xb0,background
DATA,2026-01-21T14:18:28,3.699,0x77,28175.210,23.93,68.41,100602.73,0xb0,background
DATA,2026-01-21T14:18:28,3.930,0x76,6707.190,23.98,69.37,100594.02,0xb0,background
DATA,2026-01-21T14:18:28,3.930,0x77,29277.220,23.94,68.35,100599.97,0xb0,background
DATA,2026-01-21T14:18:28,4.161,0x76,6715.630,23.99,69.29,100592.70,0xb0,background
DATA,2026-01-21T14:18:28,4.161,0x77,30231.460,23.94,68.30,100601.26,0xb0,background
DATA,2026-01-21T14:18:28,4.392,0x76,6728.340,24.01,69.26,100601.76,0xb0,background
DATA,2026-01-21T14:18:28,4.392,0x77,31181.490,23.96,68.27,100599.78,0xb0,background
DATA,2026-01-21T14:18:29,4.622,0x76,6745.360,24.02,69.22,100596.52,0xb0,background
DATA,2026-01-21T14:18:29,4.622,0x77,32072.160,23.97,68.23,100606.44,0xb0,background
DATA,2026-01-21T14:18:29,4.853,0x76,6783.970,24.03,69.20,100593.88,0xb0,background
DATA,2026-01-21T14:18:29,4.853,0x77,33117.720,23.98,68.18,100600.98,0xb0,background
DATA,2026-01-21T14:18:29,5.084,0x76,6801.280,24.03,69.15,100600.37,0xb0,background
DATA,2026-01-21T14:18:29,5.084,0x77,33934.250,23.98,68.13,100604.96,0xb0,background
DATA,2026-01-21T14:18:29,5.314,0x76,6823.030,24.04,69.10,100599.05,0xb0,background
DATA,2026-01-21T14:18:29,5.314,0x77,34905.920,23.99,68.10,100602.19,0xb0,background
DATA,2026-01-21T14:18:30,5.546,0x76,6866.950,24.05,69.09,100593.81,0xb0,background
DATA,2026-01-21T14:18:30,5.546,0x77,35634.740,24.00,68.07,100600.80,0xb0,background
DATA,2026-01-21T14:18:30,5.779,0x76,6898.040,24.06,69.05,100601.58,0xb0,background
DATA,2026-01-21T14:18:30,5.779,0x77,36550.540,24.00,68.01,100600.80,0xb0,background
DATA,2026-01-21T14:18:30,6.010,0x76,6938.420,24.07,69.00,100604.15,0xb0,background
DATA,2026-01-21T14:18:30,6.010,0x77,37415.960,24.00,67.99,100602.10,0xb0,background
DATA,2026-01-21T14:18:30,6.241,0x76,6993.010,24.08,68.99,100600.23,0xb0,background
DATA,2026-01-21T14:18:30,6.241,0x77,38186.160,24.02,67.99,100608.66,0xb0,background
DATA,2026-01-21T14:18:30,6.472,0x76,7039.160,24.08,68.94,100601.51,0xb0,background
DATA,2026-01-21T14:18:30,6.472,0x77,38846.740,24.04,67.93,100603.12,0xb0,background
DATA,2026-01-21T14:18:31,6.703,0x76,7085.920,24.10,68.91,100607.96,0xb0,background
DATA,2026-01-21T14:18:31,6.703,0x77,39825.760,24.04,67.92,100608.48,0xb0,background
DATA,2026-01-21T14:18:31,6.933,0x76,7133.300,24.09,68.88,100600.20,0xb0,background
DATA,2026-01-21T14:18:31,6.933,0x77,40506.330,24.04,67.86,100604.41,0xb0,background
DATA,2026-01-21T14:18:31,7.165,0x76,7162.040,24.10,68.85,100600.16,0xb0,background
DATA,2026-01-21T14:18:31,7.165,0x77,41131.110,24.05,67.85,100603.03,0xb0,background
DATA,2026-01-21T14:18:31,7.397,0x76,7234.910,24.11,68.86,100600.12,0xb0,background
DATA,2026-01-21T14:18:31,7.397,0x77,41857.420,24.05,67.83,100603.03,0xb0,background
DATA,2026-01-21T14:18:32,7.629,0x76,7269.420,24.11,68.84,100604.01,0xb0,background
DATA,2026-01-21T14:18:32,7.629,0x77,42737.900,24.06,67.83,100608.29,0xb0,background
DATA,2026-01-21T14:18:32,7.861,0x76,7329.360,24.11,68.78,100597.52,0xb0,background
DATA,2026-01-21T14:18:32,7.861,0x77,43257.860,24.07,67.81,100602.84,0xb0,background
DATA,2026-01-21T14:18:32,8.092,0x76,7369.880,24.12,68.79,100597.48,0xb0,background
DATA,2026-01-21T14:18:32,8.092,0x77,43971.140,24.07,67.77,100602.84,0xb0,background
DATA,2026-01-21T14:18:32,8.323,0x76,7431.490,24.13,68.70,100600.05,0xb0,background
DATA,2026-01-21T14:18:32,8.323,0x77,44708.350,24.07,67.74,100600.16,0xb0,background
DATA,2026-01-21T14:18:33,8.553,0x76,7483.630,24.13,68.69,100597.45,0xb0,background
DATA,2026-01-21T14:18:33,8.553,0x77,45325.780,24.08,67.71,100598.78,0xb0,background
DATA,2026-01-21T14:18:33,8.785,0x76,7552.510,24.13,68.68,100598.73,0xb0,background
DATA,2026-01-21T14:18:33,8.785,0x77,45960.500,24.09,67.69,100605.34,0xb0,background
DATA,2026-01-21T14:18:33,9.015,0x76,7600.950,24.14,68.63,100597.41,0xb0,background
DATA,2026-01-21T14:18:33,9.015,0x77,46613.250,24.09,67.67,100606.73,0xb0,background
DATA,2026-01-21T14:18:33,9.246,0x76,7644.530,24.15,68.64,100597.38,0xb0,background
DATA,2026-01-21T14:18:33,9.246,0x77,47850.470,24.10,67.65,100602.57,0xb0,background
DATA,2026-01-21T14:18:33,9.477,0x76,7710.840,24.16,68.57,100594.73,0xb0,background
DATA,2026-01-21T14:18:33,9.477,0x77,48503.220,24.11,67.64,100606.54,0xb0,background
DATA,2026-01-21T14:18:34,9.708,0x76,7761.340,24.16,68.55,100594.73,0xb0,background
DATA,2026-01-21T14:18:34,9.708,0x77,49060.940,24.11,67.61,100605.16,0xb0,background
DATA,2026-01-21T14:18:34,9.938,0x76,7818.230,24.17,68.52,100599.91,0xb0,background
DATA,2026-01-21T14:18:34,9.938,0x77,49718.390,24.11,67.56,100602.48,0xb0,background
DATA,2026-01-21T14:18:34,10.169,0x76,7881.770,24.17,68.50,100597.30,0xb0,background
DATA,2026-01-21T14:18:34,10.169,0x77,50245.340,24.11,67.54,100597.12,0xb0,background
DATA,2026-01-21T14:18:34,10.400,0x76,7928.640,24.18,68.50,100602.47,0xb0,background
DATA,2026-01-21T14:18:34,10.400,0x77,50844.090,24.12,67.50,100601.09,0xb0,background
