row_type,wall_time,time_s,addr,gas_ohm,temp_C,hum_pct,press_Pa,status,label
DATA,2026-01-27T11:21:11,2.537,0x76,16533.200,25.05,56.73,100797.33,0xb0,background
DATA,2026-01-27T11:21:11,2.537,0x77,89510.490,25.91,52.74,100954.72,0xb0,background
DATA,2026-01-27T11:21:11,2.768,0x76,16980.630,25.07,56.68,100802.46,0xb0,background
DATA,2026-01-27T11:21:11,2.768,0x77,91822.090,25.93,52.56,100945.05,0xb0,background
DATA,2026-01-27T11:21:11,3.002,0x76,17467.250,25.10,56.61,100808.88,0xb0,background
DATA,2026-01-27T11:21:11,3.002,0x77,94692.060,25.92,52.31,100942.46,0xb0,background
DATA,2026-01-27T11:21:12,3.237,0x76,18012.950,25.10,56.51,100804.95,0xb0,background
DATA,2026-01-27T11:21:12,3.237,0x77,97227.500,25.95,52.07,100953.01,0xb0,background
DATA,2026-01-27T11:21:12,3.467,0x76,18658.890,25.12,56.44,100807.52,0xb0,background
DATA,2026-01-27T11:21:12,3.467,0x77,98234.840,25.96,51.89,100956.88,0xb0,background
DATA,2026-01-27T11:21:12,3.698,0x76,19058.960,25.13,56.36,100803.54,0xb0,background
DATA,2026-01-27T11:21:12,3.698,0x77,99843.990,25.98,51.81,100960.76,0xb0,background
DATA,2026-01-27T11:21:12,3.928,0x76,19547.950,25.15,56.30,100799.56,0xb0,background
DATA,2026-01-27T11:21:12,3.928,0x77,101446.410,25.98,51.74,100944.62,0xb0,background
DATA,2026-01-27T11:21:13,4.161,0x76,20062.700,25.15,56.22,100799.56,0xb0,background
DATA,2026-01-27T11:21:13,4.161,0x77,102359.050,25.98,51.59,100947.31,0xb0,background
DATA,2026-01-27T11:21:13,4.396,0x76,20506.250,25.15,56.17,100808.67,0xb0,background
DATA,2026-01-27T11:21:13,4.396,0x77,103225.800,25.98,51.43,100940.53,0xb0,background
DATA,2026-01-27T11:21:13,4.627,0x76,20765.740,25.16,56.08,100800.80,0xb0,background
DATA,2026-01-27T11:21:13,4.627,0x77,104553.800,26.00,51.29,100944.41,0xb0,background
DATA,2026-01-27T11:21:13,4.860,0x76,21347.560,25.17,56.03,100800.76,0xb0,background
DATA,2026-01-27T11:21:13,4.860,0x77,105328.120,26.00,51.15,100943.01,0xb0,background
DATA,2026-01-27T11:21:13,5.092,0x76,21672.880,25.17,55.94,100800.76,0xb0,background
DATA,2026-01-27T11:21:14,5.092,0x77,105719.590,26.00,51.05,100943.01,0xb0,background
DATA,2026-01-27T11:21:14,5.325,0x76,22008.250,25.19,55.87,100798.11,0xb0,background
DATA,2026-01-27T11:21:14,5.325,0x77,106644.450,26.01,50.97,100948.28,0xb0,background
DATA,2026-01-27T11:21:14,5.556,0x76,22567.000,25.20,55.80,100805.89,0xb0,background
DATA,2026-01-27T11:21:14,5.556,0x77,107315.030,26.01,50.94,100948.28,0xb0,background
DATA,2026-01-27T11:21:14,5.788,0x76,22906.230,25.20,55.74,100799.34,0xb0,background
DATA,2026-01-27T11:21:14,5.788,0x77,108130.940,26.02,50.93,100942.80,0xb0,background
DATA,2026-01-27T11:21:14,6.020,0x76,23646.780,25.21,55.67,100798.02,0xb0,background
DATA,2026-01-27T11:21:14,6.020,0x77,108681.800,26.02,51.08,100945.49,0xb0,background
DATA,2026-01-27T11:21:15,6.253,0x76,23992.500,25.21,55.60,100801.91,0xb0,background
DATA,2026-01-27T11:21:15,6.253,0x77,109028.960,26.04,51.25,100946.67,0xb0,background
DATA,2026-01-27T11:21:15,6.483,0x76,24265.400,25.23,55.53,100800.54,0xb0,background
DATA,2026-01-27T11:21:15,6.483,0x77,109659.450,26.03,51.19,100942.70,0xb0,background
DATA,2026-01-27T11:21:15,6.716,0x76,24772.600,25.22,55.44,100803.20,0xb0,background
DATA,2026-01-27T11:21:15,6.716,0x77,110297.290,26.05,51.10,100947.97,0xb0,background
DATA,2026-01-27T11:21:15,6.949,0x76,25004.880,25.23,55.39,100795.33,0xb0,background
DATA,2026-01-27T11:21:15,6.949,0x77,111231.800,26.05,51.01,100950.66,0xb0,background
DATA,2026-01-27T11:21:16,7.181,0x76,25331.490,25.24,55.37,100803.11,0xb0,background
DATA,2026-01-27T11:21:16,7.181,0x77,111741.590,26.05,50.92,100938.50,0xb0,background
DATA,2026-01-27T11:21:16,7.413,0x76,25574.430,25.24,55.30,100800.50,0xb0,background
DATA,2026-01-27T11:21:16,7.413,0x77,111888.110,26.05,50.87,100946.57,0xb0,background
DATA,2026-01-27T11:21:16,7.644,0x76,25931.930,25.25,55.26,100801.73,0xb0,background
DATA,2026-01-27T11:21:16,7.644,0x77,111741.590,26.05,50.76,100938.50,0xb0,background
DATA,2026-01-27T11:21:16,7.875,0x76,26186.580,25.26,55.20,100803.02,0xb0,background
DATA,2026-01-27T11:21:16,7.875,0x77,113299.410,26.07,50.69,100938.28,0xb0,background
DATA,2026-01-27T11:21:16,8.105,0x76,26644.460,25.25,55.18,100796.52,0xb0,background
DATA,2026-01-27T11:21:17,8.105,0x77,112775.330,26.08,50.66,100939.57,0xb0,background
DATA,2026-01-27T11:21:17,8.336,0x76,26845.640,25.27,55.13,100799.09,0xb0,background
DATA,2026-01-27T11:21:17,8.336,0x77,113224.230,26.08,50.66,100946.25,0xb0,background
DATA,2026-01-27T11:21:17,8.568,0x76,27118.640,25.26,55.07,100803.02,0xb0,background
DATA,2026-01-27T11:21:17,8.568,0x77,113676.730,26.08,50.68,100944.95,0xb0,background
DATA,2026-01-27T11:21:17,8.800,0x76,27379.680,25.27,55.06,100804.30,0xb0,background
DATA,2026-01-27T11:21:17,8.800,0x77,114362.300,26.08,50.76,100947.65,0xb0,background
DATA,2026-01-27T11:21:17,9.030,0x76,27663.710,25.27,55.01,100795.15,0xb0,background
DATA,2026-01-27T11:21:17,9.030,0x77,114823.950,26.08,50.79,100940.87,0xb0,background
DATA,2026-01-27T11:21:18,9.261,0x76,27917.120,25.28,54.96,100800.32,0xb0,background
DATA,2026-01-27T11:21:18,9.261,0x77,114362.300,26.09,50.82,100943.45,0xb0,background
DATA,2026-01-27T11:21:18,9.492,0x76,28287.290,25.28,54.94,100800.32,0xb0,background
DATA,2026-01-27T11:21:18,9.492,0x77,115680.070,26.09,50.85,100944.84,0xb0,background
DATA,2026-01-27T11:21:18,9.725,0x76,28324.850,25.28,54.90,100799.04,0xb0,background
DATA,2026-01-27T11:21:18,9.725,0x77,116231.550,26.09,50.81,100942.16,0xb0,background
DATA,2026-01-27T11:21:18,9.955,0x76,28648.160,25.29,54.82,100802.89,0xb0,background
DATA,2026-01-27T11:21:18,9.955,0x77,115837.100,26.09,50.80,100942.16,0xb0,background
DATA,2026-01-27T11:21:19,10.188,0x76,28900.430,25.29,54.79,100796.39,0xb0,background
DATA,2026-01-27T11:21:19,10.188,0x77,116310.770,26.09,50.77,100950.23,0xb0,background
DATA,2026-01-27T11:21:19,10.420,0x76,29077.690,25.29,54.74,100808.11,0xb0,background
DATA,2026-01-27T11:21:19,10.420,0x77,116310.770,26.09,50.73,100954.21,0xb0,background
DATA,2026-01-27T11:21:19,10.653,0x76,29418.530,25.30,54.74,100796.34,0xb0,background
DATA,2026-01-27T11:21:19,10.653,0x77,116708.450,26.10,50.68,100937.96,0xb0,background
DATA,2026-01-27T11:21:19,10.886,0x76,29459.150,25.30,54.71,100797.62,0xb0,background
DATA,2026-01-27T11:21:19,10.886,0x77,116868.300,26.10,50.60,100943.34,0xb0,background
DATA,2026-01-27T11:21:19,11.117,0x76,29746.690,25.30,54.71,100798.95,0xb0,background
DATA,2026-01-27T11:21:20,11.117,0x77,117189.290,26.10,50.53,100946.03,0xb0,background
DATA,2026-01-27T11:21:20,11.348,0x76,29829.880,25.31,54.67,100805.41,0xb0,background
DATA,2026-01-27T11:21:20,11.348,0x77,117269.810,26.11,50.51,100945.92,0xb0,background
DATA,2026-01-27T11:21:20,11.579,0x76,30274.360,25.31,54.66,100800.19,0xb0,background
DATA,2026-01-27T11:21:20,11.579,0x77,117431.200,26.11,50.47,100941.95,0xb0,background
DATA,2026-01-27T11:21:20,11.812,0x76,30382.150,25.30,54.60,100800.23,0xb0,background
DATA,2026-01-27T11:21:20,11.812,0x77,118738.410,26.11,50.44,100944.63,0xb0,background
DATA,2026-01-27T11:21:20,12.042,0x76,30644.000,25.31,54.59,100802.80,0xb0,background
DATA,2026-01-27T11:21:20,12.042,0x77,118655.850,26.11,50.49,100941.95,0xb0,background
DATA,2026-01-27T11:21:21,12.274,0x76,30776.630,25.32,54.61,100804.09,0xb0,background
DATA,2026-01-27T11:21:21,12.274,0x77,118326.790,26.11,50.46,100943.23,0xb0,background
DATA,2026-01-27T11:21:21,12.505,0x76,30977.730,25.32,54.56,100800.15,0xb0,background
DATA,2026-01-27T11:21:21,12.505,0x77,118491.090,26.12,50.48,100944.52,0xb0,background
DATA,2026-01-27T11:21:21,12.738,0x76,31181.490,25.32,54.56,100802.76,0xb0,background
DATA,2026-01-27T11:21:21,12.738,0x77,118738.410,26.12,50.45,100949.91,0xb0,background
DATA,2026-01-27T11:21:21,12.969,0x76,31411.040,25.33,54.52,100804.04,0xb0,background
DATA,2026-01-27T11:21:21,12.969,0x77,119486.580,26.12,50.40,100953.89,0xb0,background
DATA,2026-01-27T11:21:22,13.199,0x76,31434.190,25.34,54.48,100797.49,0xb0,background
DATA,2026-01-27T11:21:22,13.199,0x77,119570.300,26.12,50.32,100948.51,0xb0,background
DATA,2026-01-27T11:21:22,13.432,0x76,31738.160,25.32,54.43,100802.76,0xb0,background
DATA,2026-01-27T11:21:22,13.432,0x77,120159.590,26.13,50.24,100955.18,0xb0,background
DATA,2026-01-27T11:21:22,13.664,0x76,31904.290,25.33,54.46,100798.82,0xb0,background
DATA,2026-01-27T11:21:22,13.664,0x77,119990.620,26.11,50.21,100940.55,0xb0,background
DATA,2026-01-27T11:21:22,13.895,0x76,32193.160,25.34,54.45,100801.38,0xb0,background
DATA,2026-01-27T11:21:22,13.895,0x77,119738.070,26.12,50.14,100944.52,0xb0,background
DATA,2026-01-27T11:21:23,14.128,0x76,32364.100,25.34,54.38,100798.77,0xb0,background
DATA,2026-01-27T11:21:23,14.128,0x77,120329.020,26.12,50.10,100940.44,0xb0,background
DATA,2026-01-27T11:21:23,14.359,0x76,32462.590,25.34,54.34,100797.49,0xb0,background
DATA,2026-01-27T11:21:23,14.359,0x77,120498.940,26.13,50.04,100947.11,0xb0,background
DATA,2026-01-27T11:21:23,14.589,0x76,32661.390,25.34,54.32,100797.49,0xb0,background
DATA,2026-01-27T11:21:23,14.589,0x77,120498.940,26.14,50.01,100944.31,0xb0,background
DATA,2026-01-27T11:21:23,14.820,0x76,32862.640,25.35,54.30,100801.34,0xb0,background
DATA,2026-01-27T11:21:23,14.820,0x77,120413.920,26.13,49.98,100945.71,0xb0,background
DATA,2026-01-27T11:21:23,15.051,0x76,32989.690,25.35,54.26,100803.95,0xb0,background
DATA,2026-01-27T11:21:23,15.051,0x77,121097.450,26.15,49.94,100948.29,0xb0,background
DATA,2026-01-27T11:21:24,15.281,0x76,33117.720,25.36,54.26,100802.62,0xb0,background
DATA,2026-01-27T11:21:24,15.281,0x77,121269.540,26.14,49.90,100952.38,0xb0,background
DATA,2026-01-27T11:21:24,15.512,0x76,33376.790,25.36,54.24,100801.30,0xb0,background
DATA,2026-01-27T11:21:24,15.512,0x77,121701.920,26.13,49.89,100943.02,0xb0,background
DATA,2026-01-27T11:21:24,15.743,0x76,33560.570,25.37,54.19,100807.80,0xb0,background
DATA,2026-01-27T11:21:24,15.743,0x77,121615.200,26.14,49.82,100938.93,0xb0,background
DATA,2026-01-27T11:21:24,15.974,0x76,33746.380,25.36,54.16,100801.30,0xb0,background
DATA,2026-01-27T11:21:24,15.974,0x77,121875.740,26.15,49.86,100952.27,0xb0,background
DATA,2026-01-27T11:21:25,16.204,0x76,33853.480,25.36,54.12,100798.69,0xb0,background
DATA,2026-01-27T11:21:25,16.204,0x77,122050.060,26.15,49.85,100946.89,0xb0,background
DATA,2026-01-27T11:21:25,16.435,0x76,33799.840,25.36,54.12,100801.30,0xb0,background
DATA,2026-01-27T11:21:25,16.435,0x77,121701.920,26.15,49.83,100944.20,0xb0,background
DATA,2026-01-27T11:21:25,16.665,0x76,34261.240,25.37,54.09,100802.58,0xb0,background
DATA,2026-01-27T11:21:25,16.665,0x77,122664.110,26.16,49.82,100948.18,0xb0,background
DATA,2026-01-27T11:21:25,16.897,0x76,34371.640,25.37,54.08,100799.97,0xb0,background
DATA,2026-01-27T11:21:25,16.897,0x77,122488.040,26.16,49.83,100945.49,0xb0,background
DATA,2026-01-27T11:21:26,17.129,0x76,34482.760,25.36,54.03,100802.62,0xb0,background
DATA,2026-01-27T11:21:26,17.129,0x77,122050.060,26.15,49.81,100944.20,0xb0,background
DATA,2026-01-27T11:21:26,17.360,0x76,34735.410,25.38,53.99,100805.14,0xb0,background
DATA,2026-01-27T11:21:26,17.360,0x77,122664.110,26.15,49.79,100941.51,0xb0,background
DATA,2026-01-27T11:21:26,17.590,0x76,34735.410,25.37,53.97,100798.64,0xb0,background
DATA,2026-01-27T11:21:26,17.590,0x77,122840.690,26.15,49.78,100950.98,0xb0,background
DATA,2026-01-27T11:21:26,17.823,0x76,34848.900,25.37,53.96,100803.86,0xb0,background
DATA,2026-01-27T11:21:26,17.823,0x77,122312.470,26.15,49.76,100944.20,0xb0,background
DATA,2026-01-27T11:21:26,18.055,0x76,34905.920,25.36,53.94,100803.91,0xb0,background
DATA,2026-01-27T11:21:27,18.055,0x77,121962.840,26.16,49.76,100942.80,0xb0,background
DATA,2026-01-27T11:21:27,18.288,0x76,35135.880,25.37,53.91,100799.97,0xb0,background
DATA,2026-01-27T11:21:27,18.288,0x77,122664.110,26.16,49.71,100942.80,0xb0,background
DATA,2026-01-27T11:21:27,18.520,0x76,35193.840,25.38,53.91,100803.81,0xb0,background
DATA,2026-01-27T11:21:27,18.520,0x77,122488.040,26.16,49.70,100942.80,0xb0,background
DATA,2026-01-27T11:21:27,18.753,0x76,35339.590,25.37,53.88,100806.47,0xb0,background
DATA,2026-01-27T11:21:27,18.753,0x77,123284.380,26.15,49.68,100946.89,0xb0,background
DATA,2026-01-27T11:21:27,18.984,0x76,35545.680,25.38,53.85,100801.20,0xb0,background
DATA,2026-01-27T11:21:27,18.984,0x77,123106.520,26.16,49.66,100944.09,0xb0,background
DATA,2026-01-27T11:21:28,19.215,0x76,35694.370,25.38,53.83,100801.20,0xb0,background
DATA,2026-01-27T11:21:28,19.215,0x77,123821.040,26.16,49.63,100946.78,0xb0,background
DATA,2026-01-27T11:21:28,19.447,0x76,35724.250,25.39,53.78,100799.88,0xb0,background
DATA,2026-01-27T11:21:28,19.447,0x77,123552.120,26.16,49.63,100944.09,0xb0,background
DATA,2026-01-27T11:21:28,19.679,0x76,36025.890,25.40,53.80,100807.66,0xb0,background
DATA,2026-01-27T11:21:28,19.679,0x77,123731.270,26.17,49.62,100952.05,0xb0,background
DATA,2026-01-27T11:21:28,19.910,0x76,36117.380,25.39,53.80,100808.99,0xb0,background
DATA,2026-01-27T11:21:28,19.910,0x77,123641.630,26.16,49.58,100944.09,0xb0,background
DATA,2026-01-27T11:21:29,20.141,0x76,36301.760,25.40,53.76,100805.05,0xb0,background
DATA,2026-01-27T11:21:29,20.141,0x77,124362.400,26.17,49.58,100946.68,0xb0,background
DATA,2026-01-27T11:21:29,20.373,0x76,36550.540,25.39,53.74,100803.77,0xb0,background
DATA,2026-01-27T11:21:29,20.373,0x77,124091.130,26.17,49.55,100945.38,0xb0,background
DATA,2026-01-27T11:21:29,20.604,0x76,36332.670,25.39,53.71,100803.77,0xb0,background
DATA,2026-01-27T11:21:29,20.604,0x77,124362.400,26.18,49.55,100942.59,0xb0,background
DATA,2026-01-27T11:21:29,20.834,0x76,36739.380,25.40,53.69,100807.66,0xb0,background
DATA,2026-01-27T11:21:29,20.834,0x77,124000.970,26.18,49.54,100946.57,0xb0,background
DATA,2026-01-27T11:21:29,21.065,0x76,36802.760,25.39,53.69,100801.16,0xb0,background
DATA,2026-01-27T11:21:30,21.065,0x77,124091.130,26.18,49.54,100950.66,0xb0,background
DATA,2026-01-27T11:21:30,21.296,0x76,36834.530,25.41,53.65,100807.62,0xb0,background
DATA,2026-01-27T11:21:30,21.296,0x77,124453.090,26.18,49.53,100941.19,0xb0,background
DATA,2026-01-27T11:21:30,21.527,0x76,37155.300,25.40,53.67,100798.51,0xb0,background
DATA,2026-01-27T11:21:30,21.527,0x77,124362.400,26.19,49.49,100945.16,0xb0,background
DATA,2026-01-27T11:21:30,21.757,0x76,37252.620,25.40,53.60,100798.51,0xb0,background
DATA,2026-01-27T11:21:30,21.757,0x77,124634.860,26.18,49.51,100939.89,0xb0,background
DATA,2026-01-27T11:21:30,21.988,0x76,37090.700,25.41,53.59,100805.01,0xb0,background
DATA,2026-01-27T11:21:30,21.988,0x77,125091.620,26.18,49.49,100941.19,0xb0,background
DATA,2026-01-27T11:21:31,22.219,0x76,37317.790,25.42,53.57,100807.57,0xb0,background
DATA,2026-01-27T11:21:31,22.219,0x77,124543.910,26.18,49.46,100946.57,0xb0,background
