row_type,wall_time,time_s,addr,gas_ohm,temp_C,hum_pct,press_Pa,status,label
DATA,2026-01-28T09:52:26,2.536,0x76,10392.980,24.43,59.98,101785.44,0xb0,background
DATA,2026-01-28T09:52:26,2.536,0x77,46259.490,23.94,60.68,101801.09,0xb0,background
DATA,2026-01-28T09:52:26,2.766,0x76,11084.170,24.46,59.90,101785.41,0xb0,background
DATA,2026-01-28T09:52:26,2.766,0x77,51026.510,23.95,60.62,101806.38,0xb0,background
DATA,2026-01-28T09:52:26,2.997,0x76,12009.760,24.48,59.80,101787.99,0xb0,background
DATA,2026-01-28T09:52:26,2.997,0x77,56239.020,23.97,60.57,101799.59,0xb0,background
DATA,2026-01-28T09:52:26,3.227,0x76,12688.340,24.48,59.75,101789.29,0xb0,background
DATA,2026-01-28T09:52:26,3.227,0x77,59869.040,23.99,60.47,101802.13,0xb0,background
DATA,2026-01-28T09:52:26,3.458,0x76,13533.520,24.50,59.67,101781.45,0xb0,background
DATA,2026-01-28T09:52:27,3.458,0x77,62500.000,23.99,60.41,101799.46,0xb0,background
DATA,2026-01-28T09:52:27,3.688,0x76,14276.150,24.52,59.59,101782.73,0xb0,background
DATA,2026-01-28T09:52:27,3.688,0x77,67121.130,24.01,60.31,101800.70,0xb0,background
DATA,2026-01-28T09:52:27,3.919,0x76,15051.740,24.54,59.55,101789.22,0xb0,background
DATA,2026-01-28T09:52:27,3.919,0x77,69021.300,24.01,60.28,101796.65,0xb0,background
DATA,2026-01-28T09:52:27,4.150,0x76,15590.740,24.54,59.47,101784.01,0xb0,background
DATA,2026-01-28T09:52:27,4.150,0x77,73163.760,24.03,60.21,101797.89,0xb0,background
DATA,2026-01-28T09:52:27,4.380,0x76,16355.740,24.56,59.43,101783.98,0xb0,background
DATA,2026-01-28T09:52:27,4.380,0x77,74310.590,24.04,60.19,101797.83,0xb0,background
DATA,2026-01-28T09:52:28,4.611,0x76,16846.540,24.56,59.42,101786.59,0xb0,background
DATA,2026-01-28T09:52:28,4.611,0x77,77622.800,24.05,60.14,101799.07,0xb0,background
DATA,2026-01-28T09:52:28,4.844,0x76,17495.900,24.56,59.36,101787.88,0xb0,background
DATA,2026-01-28T09:52:28,4.844,0x77,80477.840,24.05,60.10,101796.39,0xb0,background
DATA,2026-01-28T09:52:28,5.076,0x76,17877.100,24.57,59.32,101782.66,0xb0,background
DATA,2026-01-28T09:52:28,5.076,0x77,82182.980,24.07,60.04,101799.01,0xb0,background
DATA,2026-01-28T09:52:28,5.309,0x76,18642.590,24.58,59.26,101783.95,0xb0,background
DATA,2026-01-28T09:52:28,5.309,0x77,84377.060,24.07,59.98,101796.33,0xb0,background
DATA,2026-01-28T09:52:29,5.540,0x76,19282.920,24.59,59.27,101781.34,0xb0,background
DATA,2026-01-28T09:52:29,5.540,0x77,86166.270,24.09,59.93,101802.87,0xb0,background
DATA,2026-01-28T09:52:29,5.771,0x76,19547.950,24.61,59.16,101787.83,0xb0,background
DATA,2026-01-28T09:52:29,5.771,0x77,88673.370,24.10,59.91,101804.17,0xb0,background
DATA,2026-01-28T09:52:29,6.001,0x76,20100.500,24.62,59.13,101789.11,0xb0,background
DATA,2026-01-28T09:52:29,6.001,0x77,89793.050,24.10,59.86,101802.80,0xb0,background
DATA,2026-01-28T09:52:29,6.232,0x76,20928.710,24.62,59.07,101786.51,0xb0,background
DATA,2026-01-28T09:52:29,6.232,0x77,91723.400,24.12,59.85,101799.99,0xb0,background
DATA,2026-01-28T09:52:29,6.462,0x76,21157.030,24.62,59.07,101789.11,0xb0,background
DATA,2026-01-28T09:52:30,6.462,0x77,91723.400,24.12,59.83,101801.36,0xb0,background
DATA,2026-01-28T09:52:30,6.693,0x76,21828.100,24.64,59.03,101782.57,0xb0,background
DATA,2026-01-28T09:52:30,6.693,0x77,94902.690,24.12,59.77,101802.67,0xb0,background
DATA,2026-01-28T09:52:30,6.923,0x76,22008.250,24.65,59.00,101792.98,0xb0,background
DATA,2026-01-28T09:52:30,6.923,0x77,97061.610,24.13,59.74,101803.98,0xb0,background
DATA,2026-01-28T09:52:30,7.154,0x76,22662.890,24.65,58.97,101783.85,0xb0,background
DATA,2026-01-28T09:52:30,7.154,0x77,98518.380,24.13,59.72,101798.62,0xb0,background
DATA,2026-01-28T09:52:30,7.386,0x76,22857.140,24.65,58.92,101786.46,0xb0,background
DATA,2026-01-28T09:52:30,7.386,0x77,99960.950,24.13,59.67,101802.60,0xb0,background
DATA,2026-01-28T09:52:31,7.616,0x76,23952.100,24.67,58.87,101792.95,0xb0,background
DATA,2026-01-28T09:52:31,7.616,0x77,100846.950,24.14,59.64,101799.86,0xb0,background
DATA,2026-01-28T09:52:31,7.849,0x76,24019.520,24.65,58.86,101783.85,0xb0,background
DATA,2026-01-28T09:52:31,7.849,0x77,101809.510,24.14,59.62,101802.54,0xb0,background
DATA,2026-01-28T09:52:31,8.081,0x76,24615.380,24.66,58.83,101782.55,0xb0,background
DATA,2026-01-28T09:52:31,8.081,0x77,101809.510,24.15,59.59,101801.16,0xb0,background
DATA,2026-01-28T09:52:31,8.314,0x76,24946.400,24.68,58.80,101789.04,0xb0,background
DATA,2026-01-28T09:52:31,8.314,0x77,104298.230,24.15,59.57,101799.80,0xb0,background
DATA,2026-01-28T09:52:32,8.546,0x76,25063.640,24.68,58.80,101789.04,0xb0,background
DATA,2026-01-28T09:52:32,8.546,0x77,105133.470,24.15,59.52,101797.12,0xb0,background
DATA,2026-01-28T09:52:32,8.776,0x76,25666.730,24.69,58.80,101789.02,0xb0,background
DATA,2026-01-28T09:52:32,8.776,0x77,106180.010,24.17,59.52,101809.08,0xb0,background
DATA,2026-01-28T09:52:32,9.009,0x76,25947.700,24.69,58.75,101787.71,0xb0,background
DATA,2026-01-28T09:52:32,9.009,0x77,105850.730,24.17,59.48,101803.71,0xb0,background
DATA,2026-01-28T09:52:32,9.241,0x76,26042.730,24.70,58.72,101786.40,0xb0,background
DATA,2026-01-28T09:52:32,9.241,0x77,107180.240,24.17,59.48,101801.03,0xb0,background
DATA,2026-01-28T09:52:32,9.475,0x76,26512.010,24.69,58.68,101787.71,0xb0,background
DATA,2026-01-28T09:52:33,9.475,0x77,107994.090,24.18,59.42,101803.65,0xb0,background
DATA,2026-01-28T09:52:33,9.706,0x76,26828.760,24.70,58.69,101787.70,0xb0,background
DATA,2026-01-28T09:52:33,9.706,0x77,109028.960,24.18,59.41,101800.97,0xb0,background
DATA,2026-01-28T09:52:33,9.938,0x76,26778.240,24.72,58.63,101791.59,0xb0,background
DATA,2026-01-28T09:52:33,9.938,0x77,108751.060,24.19,59.39,101804.95,0xb0,background
DATA,2026-01-28T09:52:33,10.168,0x76,27379.680,24.72,58.67,101792.88,0xb0,background
DATA,2026-01-28T09:52:33,10.168,0x77,111087.000,24.20,59.35,101798.16,0xb0,background
DATA,2026-01-28T09:52:33,10.401,0x76,27699.630,24.72,58.61,101788.98,0xb0,background
DATA,2026-01-28T09:52:33,10.401,0x77,110654.850,24.19,59.34,101800.91,0xb0,background
DATA,2026-01-28T09:52:34,10.635,0x76,27862.430,24.72,58.58,101788.98,0xb0,background
DATA,2026-01-28T09:52:34,10.635,0x77,111376.980,24.20,59.32,101795.48,0xb0,background
DATA,2026-01-28T09:52:34,10.865,0x76,28138.050,24.72,58.55,101782.45,0xb0,background
DATA,2026-01-28T09:52:34,10.865,0x77,112256.090,24.21,59.31,101807.51,0xb0,background
DATA,2026-01-28T09:52:34,11.099,0x76,28476.080,24.72,58.51,101782.45,0xb0,background
DATA,2026-01-28T09:52:34,11.099,0x77,113074.200,24.20,59.29,101803.52,0xb0,background
DATA,2026-01-28T09:52:34,11.330,0x76,28362.510,24.74,58.52,101782.44,0xb0,background
DATA,2026-01-28T09:52:34,11.330,0x77,113224.230,24.21,59.29,101796.78,0xb0,background
DATA,2026-01-28T09:52:35,11.561,0x76,28628.940,24.75,58.49,101787.63,0xb0,background
DATA,2026-01-28T09:52:35,11.561,0x77,114209.230,24.22,59.27,101800.70,0xb0,background
DATA,2026-01-28T09:52:35,11.794,0x76,29137.260,24.75,58.44,101792.84,0xb0,background
DATA,2026-01-28T09:52:35,11.794,0x77,115211.520,24.22,59.24,101796.72,0xb0,background
DATA,2026-01-28T09:52:35,12.026,0x76,29137.260,24.75,58.44,101783.72,0xb0,background
DATA,2026-01-28T09:52:35,12.026,0x77,115367.280,24.22,59.21,101792.66,0xb0,background
DATA,2026-01-28T09:52:35,12.258,0x76,29829.880,24.76,58.44,101788.91,0xb0,background
DATA,2026-01-28T09:52:35,12.258,0x77,116152.450,24.23,59.20,101799.33,0xb0,background
DATA,2026-01-28T09:52:36,12.490,0x76,29663.960,24.76,58.40,101787.62,0xb0,background
DATA,2026-01-28T09:52:36,12.490,0x77,115994.560,24.23,59.19,101799.33,0xb0,background
DATA,2026-01-28T09:52:36,12.720,0x76,30039.900,24.77,58.40,101787.60,0xb0,background
DATA,2026-01-28T09:52:36,12.720,0x77,115915.780,24.24,59.14,101804.62,0xb0,background
DATA,2026-01-28T09:52:36,12.954,0x76,30274.360,24.77,58.40,101787.60,0xb0,background
DATA,2026-01-28T09:52:36,12.954,0x77,116073.450,24.23,59.13,101806.00,0xb0,background
DATA,2026-01-28T09:52:36,13.186,0x76,30534.350,24.76,58.36,101786.30,0xb0,background
DATA,2026-01-28T09:52:36,13.186,0x77,116868.300,24.24,59.12,101797.89,0xb0,background
DATA,2026-01-28T09:52:36,13.416,0x76,30468.940,24.77,58.36,101788.90,0xb0,background
DATA,2026-01-28T09:52:36,13.416,0x77,116788.320,24.24,59.12,101800.57,0xb0,background
DATA,2026-01-28T09:52:37,13.649,0x76,30447.190,24.77,58.32,101775.86,0xb0,background
DATA,2026-01-28T09:52:37,13.649,0x77,118162.940,24.25,59.09,101793.84,0xb0,background
DATA,2026-01-28T09:52:37,13.883,0x76,31022.780,24.78,58.30,101779.77,0xb0,background
DATA,2026-01-28T09:52:37,13.883,0x77,118903.850,24.25,59.10,101801.88,0xb0,background
DATA,2026-01-28T09:52:37,14.113,0x76,31204.290,24.79,58.30,101784.96,0xb0,background
