row_type,wall_time,time_s,addr,gas_ohm,temp_C,hum_pct,press_Pa,status,label
DATA,2026-02-02T11:55:08,2.536,0x76,11627.910,26.78,58.48,101062.59,0xb0,background
DATA,2026-02-02T11:55:08,2.536,0x77,50453.290,26.56,55.50,101067.88,0xb0,background
DATA,2026-02-02T11:55:08,2.766,0x76,12407.910,26.81,58.39,101063.76,0xb0,background
DATA,2026-02-02T11:55:08,2.766,0x77,54134.070,26.57,55.44,101062.38,0xb0,background
DATA,2026-02-02T11:55:08,2.999,0x76,13117.440,26.82,58.39,101062.37,0xb0,background
DATA,2026-02-02T11:55:08,2.999,0x77,57257.880,26.58,55.37,101071.64,0xb0,background
DATA,2026-02-02T11:55:08,3.231,0x76,13716.250,26.84,58.27,101063.59,0xb0,background
DATA,2026-02-02T11:55:08,3.231,0x77,60548.720,26.60,55.29,101059.35,0xb0,background
DATA,2026-02-02T11:55:09,3.462,0x76,14285.710,26.85,58.18,101063.53,0xb0,background
DATA,2026-02-02T11:55:09,3.462,0x77,63054.190,26.62,55.19,101069.91,0xb0,background
DATA,2026-02-02T11:55:09,3.693,0x76,14894.110,26.87,58.15,101063.42,0xb0,background
DATA,2026-02-02T11:55:09,3.693,0x77,65222.930,26.62,55.17,101065.81,0xb0,background
DATA,2026-02-02T11:55:09,3.923,0x76,15410.550,26.88,58.08,101064.70,0xb0,background
DATA,2026-02-02T11:55:09,3.923,0x77,67279.900,26.64,55.11,101069.69,0xb0,background
DATA,2026-02-02T11:55:09,4.155,0x76,16024.040,26.89,58.00,101064.65,0xb0,background
DATA,2026-02-02T11:55:09,4.155,0x77,68798.710,26.65,55.06,101072.27,0xb0,background
DATA,2026-02-02T11:55:09,4.385,0x76,16418.680,26.89,57.97,101058.08,0xb0,background
DATA,2026-02-02T11:55:09,4.385,0x77,70855.240,26.66,55.00,101066.77,0xb0,background
DATA,2026-02-02T11:55:10,4.618,0x76,16953.640,26.91,57.92,101065.88,0xb0,background
DATA,2026-02-02T11:55:10,4.618,0x77,72234.770,26.66,54.97,101066.77,0xb0,background
DATA,2026-02-02T11:55:10,4.851,0x76,17381.860,26.91,57.90,101061.92,0xb0,background
DATA,2026-02-02T11:55:10,4.851,0x77,73605.520,26.68,54.92,101073.34,0xb0,background
DATA,2026-02-02T11:55:10,5.084,0x76,17937.220,26.92,57.82,101061.86,0xb0,background
DATA,2026-02-02T11:55:10,5.084,0x77,74570.340,26.68,54.86,101065.26,0xb0,background
DATA,2026-02-02T11:55:10,5.315,0x76,18290.940,26.92,57.81,101061.86,0xb0,background
DATA,2026-02-02T11:55:10,5.315,0x77,76032.080,26.69,54.85,101062.45,0xb0,background
DATA,2026-02-02T11:55:11,5.545,0x76,18757.330,26.94,57.74,101060.47,0xb0,background
DATA,2026-02-02T11:55:11,5.545,0x77,77271.350,26.70,54.83,101067.73,0xb0,background
DATA,2026-02-02T11:55:11,5.776,0x76,19076.010,26.96,57.70,101072.11,0xb0,background
DATA,2026-02-02T11:55:11,5.776,0x77,78048.780,26.70,54.76,101065.03,0xb0,background
DATA,2026-02-02T11:55:11,6.007,0x76,19530.060,26.96,57.71,101061.63,0xb0,background
DATA,2026-02-02T11:55:11,6.007,0x77,78987.970,26.71,54.75,101067.62,0xb0,background
DATA,2026-02-02T11:55:11,6.237,0x76,19894.310,26.96,57.66,101064.26,0xb0,background
DATA,2026-02-02T11:55:11,6.237,0x77,79800.500,26.71,54.72,101062.23,0xb0,background
DATA,2026-02-02T11:55:12,6.468,0x76,20311.010,26.97,57.65,101060.30,0xb0,background
DATA,2026-02-02T11:55:12,6.468,0x77,80782.580,26.74,54.72,101068.68,0xb0,background
DATA,2026-02-02T11:55:12,6.698,0x76,20525.980,26.99,57.65,101054.95,0xb0,background
DATA,2026-02-02T11:55:12,6.698,0x77,81399.050,26.74,54.69,101065.99,0xb0,background
DATA,2026-02-02T11:55:12,6.929,0x76,20846.910,26.99,57.56,101054.95,0xb0,background
DATA,2026-02-02T11:55:12,6.929,0x77,82103.910,26.74,54.65,101061.89,0xb0,background
DATA,2026-02-02T11:55:12,7.159,0x76,21262.460,26.99,57.56,101060.19,0xb0,background
DATA,2026-02-02T11:55:12,7.159,0x77,82901.550,26.74,54.62,101065.99,0xb0,background
DATA,2026-02-02T11:55:12,7.391,0x76,21498.150,27.00,57.51,101058.84,0xb0,background
DATA,2026-02-02T11:55:12,7.391,0x77,83306.220,26.76,54.59,101068.46,0xb0,background
DATA,2026-02-02T11:55:13,7.621,0x76,21850.460,27.01,57.47,101058.79,0xb0,background
DATA,2026-02-02T11:55:13,7.621,0x77,84127.510,26.76,54.59,101069.75,0xb0,background
DATA,2026-02-02T11:55:13,7.854,0x76,22008.250,27.01,57.45,101058.79,0xb0,background
DATA,2026-02-02T11:55:13,7.854,0x77,84293.710,26.76,54.54,101060.38,0xb0,background
DATA,2026-02-02T11:55:13,8.087,0x76,22284.120,27.02,57.41,101066.59,0xb0,background
DATA,2026-02-02T11:55:13,8.087,0x77,85219.710,26.76,54.53,101064.36,0xb0,background
DATA,2026-02-02T11:55:13,8.319,0x76,22662.890,27.02,57.40,101061.35,0xb0,background
DATA,2026-02-02T11:55:13,8.319,0x77,85049.840,26.76,54.53,101060.38,0xb0,background
DATA,2026-02-02T11:55:14,8.549,0x76,22832.680,27.03,57.36,101059.95,0xb0,background
DATA,2026-02-02T11:55:14,8.549,0x77,85906.040,26.77,54.50,101066.95,0xb0,background
DATA,2026-02-02T11:55:14,8.782,0x76,23029.870,27.03,57.35,101063.91,0xb0,background
DATA,2026-02-02T11:55:14,8.782,0x77,86166.270,26.77,54.46,101069.64,0xb0,background
DATA,2026-02-02T11:55:14,9.015,0x76,23581.430,27.04,57.34,101063.85,0xb0,background
DATA,2026-02-02T11:55:14,9.015,0x77,86166.270,26.78,54.46,101068.23,0xb0,background
DATA,2026-02-02T11:55:14,9.247,0x76,23805.100,27.03,57.34,101067.81,0xb0,background
DATA,2026-02-02T11:55:14,9.247,0x77,86868.000,26.78,54.42,101066.83,0xb0,background
DATA,2026-02-02T11:55:15,9.479,0x76,23992.500,27.04,57.29,101061.23,0xb0,background
DATA,2026-02-02T11:55:15,9.479,0x77,87223.170,26.78,54.40,101057.45,0xb0,background
DATA,2026-02-02T11:55:15,9.709,0x76,24293.040,27.06,57.25,101059.84,0xb0,background
DATA,2026-02-02T11:55:15,9.709,0x77,88123.920,26.79,54.42,101066.72,0xb0,background
DATA,2026-02-02T11:55:15,9.942,0x76,24334.600,27.04,57.22,101054.66,0xb0,background
DATA,2026-02-02T11:55:15,9.942,0x77,87761.400,26.78,54.37,101066.83,0xb0,background
DATA,2026-02-02T11:55:15,10.175,0x76,24658.060,27.06,57.21,101057.22,0xb0,background
DATA,2026-02-02T11:55:15,10.175,0x77,88215.020,26.80,54.39,101068.01,0xb0,background
DATA,2026-02-02T11:55:15,10.407,0x76,24672.320,27.06,57.21,101059.84,0xb0,background
DATA,2026-02-02T11:55:16,10.407,0x77,88397.790,26.80,54.37,101062.62,0xb0,background
DATA,2026-02-02T11:55:16,10.637,0x76,24961.000,27.07,57.24,101059.78,0xb0,background
DATA,2026-02-02T11:55:16,10.637,0x77,89136.490,26.80,54.35,101063.91,0xb0,background
DATA,2026-02-02T11:55:16,10.870,0x76,25078.370,27.07,57.21,101059.78,0xb0,background
DATA,2026-02-02T11:55:16,10.870,0x77,89416.700,26.81,54.29,101062.51,0xb0,background
DATA,2026-02-02T11:55:16,11.103,0x76,25301.440,27.07,57.19,101051.92,0xb0,background
