row_type,wall_time,time_s,addr,gas_ohm,temp_C,hum_pct,press_Pa,status,label
DATA,2026-02-02T15:45:06,2.536,0x76,5684.850,27.16,57.35,100886.36,0xb0,background
DATA,2026-02-02T15:45:06,2.536,0x77,14925.370,26.90,57.43,100893.10,0xb0,background
DATA,2026-02-02T15:45:06,2.766,0x76,5684.850,27.19,57.29,100892.75,0xb0,background
DATA,2026-02-02T15:45:06,2.766,0x77,16940.180,26.92,57.37,100887.48,0xb0,background
DATA,2026-02-02T15:45:06,2.999,0x76,5684.850,27.22,57.17,100893.91,0xb0,background
DATA,2026-02-02T15:45:06,2.999,0x77,18856.810,26.92,57.30,100883.38,0xb0,background
DATA,2026-02-02T15:45:06,3.230,0x76,5684.850,27.22,57.12,100889.95,0xb0,background
DATA,2026-02-02T15:45:06,3.230,0x77,20887.730,26.95,57.21,100885.83,0xb0,background
DATA,2026-02-02T15:45:07,3.460,0x76,5684.850,27.24,57.07,100896.40,0xb0,background
DATA,2026-02-02T15:45:07,3.460,0x77,22857.140,26.97,57.15,100888.29,0xb0,background
DATA,2026-02-02T15:45:07,3.691,0x76,5684.850,27.26,57.02,100891.03,0xb0,background
DATA,2026-02-02T15:45:07,3.691,0x77,24946.400,26.98,57.09,100896.26,0xb0,background
DATA,2026-02-02T15:45:07,3.921,0x76,5684.850,27.26,56.94,100892.30,0xb0,background
DATA,2026-02-02T15:45:07,3.921,0x77,26828.760,26.98,57.02,100892.16,0xb0,background
DATA,2026-02-02T15:45:07,4.152,0x76,5684.850,27.27,56.86,100894.87,0xb0,background
DATA,2026-02-02T15:45:07,4.152,0x77,28571.430,27.00,56.95,100889.22,0xb0,background
DATA,2026-02-02T15:45:07,4.383,0x76,5774.090,27.29,56.84,100892.18,0xb0,background
DATA,2026-02-02T15:45:08,4.383,0x77,30425.480,27.01,56.93,100889.10,0xb0,background
DATA,2026-02-02T15:45:08,4.613,0x76,6069.800,27.26,56.77,100884.45,0xb0,background
DATA,2026-02-02T15:45:08,4.613,0x77,32144.650,27.02,56.89,100885.00,0xb0,background
DATA,2026-02-02T15:45:08,4.844,0x76,6207.570,27.27,56.69,100881.77,0xb0,background
DATA,2026-02-02T15:45:08,4.844,0x77,33826.640,27.04,56.90,100890.15,0xb0,background
DATA,2026-02-02T15:45:08,5.076,0x76,6459.430,27.28,56.67,100883.04,0xb0,background
DATA,2026-02-02T15:45:08,5.076,0x77,35634.740,27.04,56.86,100894.26,0xb0,background
DATA,2026-02-02T15:45:08,5.307,0x76,6702.970,27.29,56.61,100882.98,0xb0,background
DATA,2026-02-02T15:45:08,5.307,0x77,37155.300,27.05,56.87,100892.73,0xb0,background
DATA,2026-02-02T15:45:09,5.537,0x76,6974.720,27.31,56.61,100886.81,0xb0,background
DATA,2026-02-02T15:45:09,5.537,0x77,38776.130,27.06,56.85,100894.02,0xb0,background
DATA,2026-02-02T15:45:09,5.769,0x76,7225.110,27.31,56.59,100882.85,0xb0,background
DATA,2026-02-02T15:45:09,5.769,0x77,40391.290,27.06,56.87,100889.91,0xb0,background
DATA,2026-02-02T15:45:09,6.001,0x76,7499.410,27.31,56.53,100878.95,0xb0,background
DATA,2026-02-02T15:45:09,6.001,0x77,41653.110,27.07,56.85,100887.09,0xb0,background
DATA,2026-02-02T15:45:09,6.235,0x76,7750.060,27.32,56.49,100882.78,0xb0,background
DATA,2026-02-02T15:45:09,6.235,0x77,42909.820,27.07,56.85,100888.50,0xb0,background
DATA,2026-02-02T15:45:10,6.467,0x76,7958.220,27.32,56.48,100874.92,0xb0,background
DATA,2026-02-02T15:45:10,6.467,0x77,44475.330,27.08,56.84,100888.38,0xb0,background
DATA,2026-02-02T15:45:10,6.697,0x76,8228.340,27.33,56.40,100880.10,0xb0,background
DATA,2026-02-02T15:45:10,6.697,0x77,45960.500,27.09,56.84,100894.95,0xb0,background
DATA,2026-02-02T15:45:10,6.930,0x76,8463.370,27.34,56.37,100885.27,0xb0,background
DATA,2026-02-02T15:45:10,6.930,0x77,47850.470,27.09,56.81,100890.96,0xb0,background
DATA,2026-02-02T15:45:10,7.164,0x76,8705.110,27.35,56.36,100886.55,0xb0,background
DATA,2026-02-02T15:45:10,7.164,0x77,49316.120,27.09,56.79,100893.66,0xb0,background
DATA,2026-02-02T15:45:10,7.397,0x76,8953.550,27.37,56.35,100887.77,0xb0,background
DATA,2026-02-02T15:45:11,7.397,0x77,50513.020,27.10,56.74,100892.12,0xb0,background
DATA,2026-02-02T15:45:11,7.631,0x76,9216.590,27.35,56.31,100881.31,0xb0,background
DATA,2026-02-02T15:45:11,7.631,0x77,51832.360,27.11,56.67,100893.41,0xb0,background
DATA,2026-02-02T15:45:11,7.861,0x76,9470.260,27.37,56.27,100878.56,0xb0,background
DATA,2026-02-02T15:45:11,7.861,0x77,53355.570,27.11,56.62,100889.31,0xb0,background
DATA,2026-02-02T15:45:11,8.092,0x76,9694.030,27.38,56.24,100878.49,0xb0,background
DATA,2026-02-02T15:45:11,8.092,0x77,54479.680,27.12,56.56,100897.28,0xb0,background
DATA,2026-02-02T15:45:11,8.322,0x76,9956.440,27.39,56.24,100882.39,0xb0,background
DATA,2026-02-02T15:45:11,8.322,0x77,55652.180,27.14,56.49,100891.77,0xb0,background
DATA,2026-02-02T15:45:12,8.553,0x76,10155.510,27.39,56.20,100881.05,0xb0,background
DATA,2026-02-02T15:45:12,8.553,0x77,56990.200,27.14,56.46,100889.07,0xb0,background
DATA,2026-02-02T15:45:12,8.784,0x76,10382.870,27.40,56.20,100883.60,0xb0,background
DATA,2026-02-02T15:45:12,8.784,0x77,58155.380,27.14,56.41,100890.36,0xb0,background
DATA,2026-02-02T15:45:12,9.014,0x76,10610.080,27.40,56.18,100882.33,0xb0,background
DATA,2026-02-02T15:45:12,9.014,0x77,59369.200,27.15,56.38,100890.23,0xb0,background
DATA,2026-02-02T15:45:12,9.245,0x76,10847.460,27.41,56.09,100883.54,0xb0,background
DATA,2026-02-02T15:45:12,9.245,0x77,60164.510,27.15,56.36,100892.94,0xb0,background
DATA,2026-02-02T15:45:13,9.475,0x76,11061.180,27.42,56.04,100887.44,0xb0,background
DATA,2026-02-02T15:45:13,9.475,0x77,61288.000,27.16,56.36,100892.81,0xb0,background
DATA,2026-02-02T15:45:13,9.706,0x76,11283.500,27.43,56.11,100882.13,0xb0,background
DATA,2026-02-02T15:45:13,9.706,0x77,62591.690,27.17,56.32,100888.71,0xb0,background
DATA,2026-02-02T15:45:13,9.938,0x76,11527.380,27.42,56.00,100883.48,0xb0,background
DATA,2026-02-02T15:45:13,9.938,0x77,63476.320,27.16,56.31,100884.73,0xb0,background
DATA,2026-02-02T15:45:13,10.171,0x76,11969.330,27.42,56.02,100878.23,0xb0,background
DATA,2026-02-02T15:45:13,10.171,0x77,64434.940,27.16,56.28,100887.42,0xb0,background
DATA,2026-02-02T15:45:13,10.401,0x76,12153.440,27.44,56.02,100880.79,0xb0,background
DATA,2026-02-02T15:45:14,10.401,0x77,65272.820,27.18,56.28,100887.18,0xb0,background
DATA,2026-02-02T15:45:14,10.634,0x76,12357.600,27.44,55.99,100882.06,0xb0,background
DATA,2026-02-02T15:45:14,10.634,0x77,65624.200,27.18,56.27,100885.89,0xb0,background
DATA,2026-02-02T15:45:14,10.867,0x76,12576.140,27.44,55.97,100889.93,0xb0,background
DATA,2026-02-02T15:45:14,10.867,0x77,66805.840,27.18,56.27,100884.48,0xb0,background
DATA,2026-02-02T15:45:14,11.099,0x76,12825.650,27.45,55.90,100887.24,0xb0,background
DATA,2026-02-02T15:45:14,11.099,0x77,67868.510,27.18,56.27,100889.88,0xb0,background
DATA,2026-02-02T15:45:14,11.329,0x76,12973.850,27.45,55.90,100887.24,0xb0,background
DATA,2026-02-02T15:45:14,11.329,0x77,68412.620,27.19,56.27,100893.86,0xb0,background
DATA,2026-02-02T15:45:15,11.562,0x76,13214.950,27.46,55.91,100887.17,0xb0,background
DATA,2026-02-02T15:45:15,11.562,0x77,69077.170,27.19,56.28,100888.47,0xb0,background
DATA,2026-02-02T15:45:15,11.795,0x76,13363.960,27.46,55.91,100879.31,0xb0,background
DATA,2026-02-02T15:45:15,11.795,0x77,69811.840,27.19,56.29,100887.05,0xb0,background
DATA,2026-02-02T15:45:15,12.027,0x76,13619.920,27.46,55.83,100879.31,0xb0,background
DATA,2026-02-02T15:45:15,12.027,0x77,70796.460,27.21,56.31,100888.23,0xb0,background
DATA,2026-02-02T15:45:15,12.259,0x76,13831.860,27.47,55.80,100884.48,0xb0,background
DATA,2026-02-02T15:45:15,12.259,0x77,71448.510,27.21,56.30,100889.51,0xb0,background
DATA,2026-02-02T15:45:16,12.489,0x76,14087.610,27.47,55.81,100880.59,0xb0,background
DATA,2026-02-02T15:45:16,12.489,0x77,72051.790,27.21,56.34,100884.12,0xb0,background
DATA,2026-02-02T15:45:16,12.723,0x76,14181.250,27.48,55.78,100883.14,0xb0,background
DATA,2026-02-02T15:45:16,12.723,0x77,73038.520,27.21,56.34,100886.81,0xb0,background
DATA,2026-02-02T15:45:16,12.954,0x76,14372.330,27.49,55.80,100880.45,0xb0,background
DATA,2026-02-02T15:45:16,12.954,0x77,73605.520,27.24,56.32,100894.66,0xb0,background
DATA,2026-02-02T15:45:16,13.184,0x76,14668.810,27.49,55.75,100883.08,0xb0,background
DATA,2026-02-02T15:45:16,13.184,0x77,74766.350,27.24,56.29,100894.66,0xb0,background
DATA,2026-02-02T15:45:16,13.417,0x76,14749.940,27.49,55.75,100886.98,0xb0,background
