row_type,wall_time,time_s,addr,gas_ohm,temp_C,hum_pct,press_Pa,status,label
DATA,2026-02-03T11:17:02,2.536,0x76,16169.780,28.06,61.48,100841.29,0xb0,background
DATA,2026-02-03T11:17:02,2.536,0x77,89982.420,27.70,60.62,100848.70,0xb0,background
DATA,2026-02-03T11:17:03,2.767,0x76,16714.550,28.09,61.42,100837.16,0xb0,background
DATA,2026-02-03T11:17:03,2.767,0x77,95008.350,27.72,60.51,100848.44,0xb0,background
DATA,2026-02-03T11:17:03,3.003,0x76,17283.280,28.09,61.34,100838.44,0xb0,background
DATA,2026-02-03T11:17:03,3.003,0x77,98518.380,27.72,60.41,100841.62,0xb0,background
DATA,2026-02-03T11:17:03,3.234,0x76,17728.530,28.10,61.28,100839.71,0xb0,background
DATA,2026-02-03T11:17:03,3.234,0x77,101145.790,27.73,60.30,100845.61,0xb0,background
DATA,2026-02-03T11:17:03,3.465,0x76,18181.820,28.12,61.25,100840.91,0xb0,background
DATA,2026-02-03T11:17:03,3.465,0x77,103980.500,27.75,60.22,100849.47,0xb0,background
DATA,2026-02-03T11:17:03,3.695,0x76,18626.310,28.13,61.16,100839.49,0xb0,background
DATA,2026-02-03T11:17:03,3.695,0x77,106378.550,27.76,60.15,100849.34,0xb0,background
DATA,2026-02-03T11:17:04,3.926,0x76,19041.950,28.15,61.11,100840.69,0xb0,background
DATA,2026-02-03T11:17:04,3.926,0x77,108268.130,27.76,60.13,100850.62,0xb0,background
DATA,2026-02-03T11:17:04,4.156,0x76,19530.060,28.16,61.08,100837.99,0xb0,background
DATA,2026-02-03T11:17:04,4.156,0x77,110012.890,27.77,60.10,100843.81,0xb0,background
DATA,2026-02-03T11:17:04,4.387,0x76,19820.380,28.16,61.04,100836.64,0xb0,background
DATA,2026-02-03T11:17:04,4.387,0x77,111304.350,27.78,60.07,100847.67,0xb0,background
DATA,2026-02-03T11:17:04,4.617,0x76,20176.540,28.17,60.94,100836.56,0xb0,background
DATA,2026-02-03T11:17:04,4.617,0x77,112775.330,27.78,60.00,100847.67,0xb0,background
DATA,2026-02-03T11:17:05,4.848,0x76,20525.980,28.18,60.95,100837.84,0xb0,background
DATA,2026-02-03T11:17:05,4.848,0x77,113752.500,27.80,59.96,100846.12,0xb0,background
DATA,2026-02-03T11:17:05,5.079,0x76,20887.730,28.19,60.90,100839.12,0xb0,background
DATA,2026-02-03T11:17:05,5.079,0x77,114978.660,27.80,59.90,100851.52,0xb0,background
DATA,2026-02-03T11:17:05,5.311,0x76,21073.430,28.19,60.86,100836.49,0xb0,background
DATA,2026-02-03T11:17:05,5.311,0x77,115758.530,27.80,59.83,100847.41,0xb0,background
DATA,2026-02-03T11:17:05,5.541,0x76,21476.510,28.20,60.78,100839.04,0xb0,background
DATA,2026-02-03T11:17:05,5.541,0x77,116788.320,27.80,59.79,100850.11,0xb0,background
DATA,2026-02-03T11:17:06,5.772,0x76,21717.000,28.20,60.78,100836.41,0xb0,background
DATA,2026-02-03T11:17:06,5.772,0x77,117189.290,27.80,59.77,100844.71,0xb0,background
DATA,2026-02-03T11:17:06,6.002,0x76,21985.570,28.22,60.74,100838.89,0xb0,background
DATA,2026-02-03T11:17:06,6.002,0x77,117918.010,27.82,59.75,100848.57,0xb0,background
DATA,2026-02-03T11:17:06,6.233,0x76,22237.670,28.21,60.74,100842.87,0xb0,background
DATA,2026-02-03T11:17:06,6.233,0x77,118491.090,27.82,59.77,100848.57,0xb0,background
DATA,2026-02-03T11:17:06,6.466,0x76,22471.910,28.22,60.68,100836.27,0xb0,background
DATA,2026-02-03T11:17:06,6.466,0x77,118986.750,27.82,59.78,100848.57,0xb0,background
DATA,2026-02-03T11:17:06,6.698,0x76,22543.150,28.21,60.61,100840.24,0xb0,background
DATA,2026-02-03T11:17:06,6.698,0x77,119654.120,27.82,59.75,100849.85,0xb0,background
DATA,2026-02-03T11:17:07,6.931,0x76,22832.680,28.23,60.62,100841.44,0xb0,background
DATA,2026-02-03T11:17:07,6.931,0x77,119570.300,27.82,59.77,100849.85,0xb0,background
DATA,2026-02-03T11:17:07,7.163,0x76,23054.760,28.22,60.62,100833.64,0xb0,background
DATA,2026-02-03T11:17:07,7.163,0x77,120075.050,27.83,59.79,100853.84,0xb0,background
DATA,2026-02-03T11:17:07,7.393,0x76,23568.400,28.23,60.55,100838.81,0xb0,background
DATA,2026-02-03T11:17:07,7.393,0x77,120669.340,27.82,59.83,100839.05,0xb0,background
DATA,2026-02-03T11:17:07,7.626,0x76,23646.780,28.23,60.57,100841.44,0xb0,background
DATA,2026-02-03T11:17:07,7.626,0x77,121183.430,27.83,59.83,100840.34,0xb0,background
DATA,2026-02-03T11:17:08,7.859,0x76,23831.690,28.23,60.52,100841.44,0xb0,background
DATA,2026-02-03T11:17:08,7.859,0x77,121011.580,27.82,59.82,100839.05,0xb0,background
DATA,2026-02-03T11:17:08,8.091,0x76,23938.660,28.23,60.52,100837.46,0xb0,background
DATA,2026-02-03T11:17:08,8.091,0x77,121269.540,27.83,59.86,100843.04,0xb0,background
