row_type,wall_time,time_s,addr,gas_ohm,temp_C,hum_pct,press_Pa,status,label
DATA,2026-02-03T13:44:52,2.536,0x76,5684.850,26.97,68.35,100839.00,0xb0,background
DATA,2026-02-03T13:44:52,2.536,0x77,25697.650,26.76,74.27,100843.43,0xb0,background
DATA,2026-02-03T13:44:52,2.766,0x76,5684.850,26.99,68.32,100836.32,0xb0,background
DATA,2026-02-03T13:44:52,2.766,0x77,29018.360,26.78,74.14,100843.20,0xb0,background
DATA,2026-02-03T13:44:53,2.999,0x76,5684.850,27.01,68.21,100838.81,0xb0,background
DATA,2026-02-03T13:44:53,2.999,0x77,32364.100,26.80,74.01,100844.37,0xb0,background
DATA,2026-02-03T13:44:53,3.229,0x76,5684.850,27.03,68.14,100838.69,0xb0,background
DATA,2026-02-03T13:44:53,3.229,0x77,35486.550,26.80,73.94,100845.66,0xb0,background
DATA,2026-02-03T13:44:53,3.460,0x76,5684.850,27.03,68.08,100836.07,0xb0,background
DATA,2026-02-03T13:44:53,3.460,0x77,38705.780,26.82,73.83,100840.03,0xb0,background
DATA,2026-02-03T13:44:53,3.690,0x76,5758.500,27.03,67.98,100830.84,0xb0,background
DATA,2026-02-03T13:44:53,3.690,0x77,41775.460,26.84,73.74,100843.89,0xb0,background
DATA,2026-02-03T13:44:54,3.922,0x76,6090.600,27.03,67.91,100830.84,0xb0,background
DATA,2026-02-03T13:44:54,3.922,0x77,44802.240,26.85,73.68,100843.77,0xb0,background
DATA,2026-02-03T13:44:54,4.152,0x76,6247.560,27.04,67.88,100826.81,0xb0,background
DATA,2026-02-03T13:44:54,4.152,0x77,48120.300,26.86,73.62,100843.66,0xb0,background
DATA,2026-02-03T13:44:54,4.383,0x76,6522.630,27.07,67.81,100824.07,0xb0,background
DATA,2026-02-03T13:44:54,4.383,0x77,51148.850,26.87,73.54,100843.54,0xb0,background
DATA,2026-02-03T13:44:54,4.614,0x76,6805.610,27.06,67.81,100825.41,0xb0,background
DATA,2026-02-03T13:44:54,4.614,0x77,54202.840,26.88,73.48,100846.12,0xb0,background
DATA,2026-02-03T13:44:54,4.844,0x76,7085.920,27.08,67.71,100827.90,0xb0,background
DATA,2026-02-03T13:44:54,4.844,0x77,56914.180,26.89,73.43,100842.02,0xb0,background
DATA,2026-02-03T13:44:55,5.075,0x76,7344.500,27.09,67.71,100826.56,0xb0,background
DATA,2026-02-03T13:44:55,5.075,0x77,59659.750,26.89,73.35,100840.61,0xb0,background
DATA,2026-02-03T13:44:55,5.308,0x76,7633.590,27.09,67.67,100826.56,0xb0,background
DATA,2026-02-03T13:44:55,5.308,0x77,62045.570,26.90,73.32,100847.28,0xb0,background
DATA,2026-02-03T13:44:55,5.540,0x76,7875.950,27.10,67.63,100827.77,0xb0,background
DATA,2026-02-03T13:44:55,5.540,0x77,64337.770,26.90,73.28,100837.79,0xb0,background
DATA,2026-02-03T13:44:55,5.773,0x76,8134.210,27.11,67.59,100830.33,0xb0,background
DATA,2026-02-03T13:44:55,5.773,0x77,66858.190,26.90,73.19,100841.89,0xb0,background
DATA,2026-02-03T13:44:56,6.006,0x76,8409.990,27.11,67.60,100832.95,0xb0,background
DATA,2026-02-03T13:44:56,6.006,0x77,69245.340,26.91,73.16,100844.47,0xb0,background
DATA,2026-02-03T13:44:56,6.238,0x76,8676.790,27.11,67.57,100827.71,0xb0,background
DATA,2026-02-03T13:44:56,6.238,0x77,71388.730,26.92,73.14,100847.05,0xb0,background
DATA,2026-02-03T13:44:56,6.470,0x76,8916.130,27.13,67.55,100828.92,0xb0,background
DATA,2026-02-03T13:44:56,6.470,0x77,73478.760,26.93,73.07,100846.93,0xb0,background
DATA,2026-02-03T13:44:56,6.700,0x76,9137.640,27.14,67.50,100823.62,0xb0,background
DATA,2026-02-03T13:44:56,6.700,0x77,75829.380,26.94,73.03,100841.41,0xb0,background
DATA,2026-02-03T13:44:57,6.933,0x76,9395.180,27.14,67.49,100827.58,0xb0,background
DATA,2026-02-03T13:44:57,6.933,0x77,77764.270,26.95,73.01,100850.79,0xb0,background
DATA,2026-02-03T13:44:57,7.166,0x76,9658.920,27.15,67.46,100828.80,0xb0,background
DATA,2026-02-03T13:44:57,7.166,0x77,79577.240,26.94,72.96,100842.83,0xb0,background
DATA,2026-02-03T13:44:57,7.398,0x76,9882.640,27.16,67.45,100827.45,0xb0,background
DATA,2026-02-03T13:44:57,7.398,0x77,81399.050,26.95,72.91,100846.69,0xb0,background
