row_type,wall_time,time_s,addr,gas_ohm,temp_C,hum_pct,press_Pa,status,label
DATA,2026-02-10T13:57:58,2.537,0x76,36056.340,28.82,53.81,102173.91,0xb0,back
DATA,2026-02-10T13:57:58,2.537,0x77,181689.140,28.43,54.66,102247.05,0xb0,back
DATA,2026-02-10T13:57:59,2.767,0x76,36994.220,28.84,53.76,102172.52,0xb0,back
DATA,2026-02-10T13:57:59,2.767,0x77,192372.720,28.45,54.50,102236.03,0xb0,back
DATA,2026-02-10T13:57:59,2.998,0x76,37580.740,28.85,53.69,102172.46,0xb0,back
DATA,2026-02-10T13:57:59,2.998,0x77,196356.660,28.46,54.34,102264.38,0xb0,back
DATA,2026-02-10T13:57:59,3.228,0x76,38254.630,28.87,53.65,102171.07,0xb0,back
DATA,2026-02-10T13:57:59,3.228,0x77,200744.950,28.46,54.21,102246.74,0xb0,back
DATA,2026-02-10T13:57:59,3.459,0x76,38953.130,28.88,53.61,102172.30,0xb0,back
DATA,2026-02-10T13:57:59,3.459,0x77,204228.160,28.49,54.12,102250.54,0xb0,back
DATA,2026-02-10T13:58:00,3.690,0x76,39640.750,28.89,53.53,102170.96,0xb0,back
DATA,2026-02-10T13:58:00,3.690,0x77,209235.800,28.48,54.04,102257.35,0xb0,back
DATA,2026-02-10T13:58:00,3.920,0x76,40163.160,28.89,53.53,102174.88,0xb0,back
DATA,2026-02-10T13:58:00,3.920,0x77,210786.330,28.48,53.97,102235.71,0xb0,back
DATA,2026-02-10T13:58:00,4.151,0x76,40816.330,28.90,53.48,102173.54,0xb0,back
DATA,2026-02-10T13:58:00,4.151,0x77,212757.110,28.49,53.93,102251.84,0xb0,back
DATA,2026-02-10T13:58:00,4.381,0x76,41170.790,28.90,53.45,102172.20,0xb0,back
DATA,2026-02-10T13:58:00,4.381,0x77,216261.880,28.49,53.83,102243.72,0xb0,back
DATA,2026-02-10T13:58:01,4.612,0x76,41612.480,28.92,53.39,102173.43,0xb0,back
DATA,2026-02-10T13:58:01,4.612,0x77,217640.810,28.50,53.72,102231.49,0xb0,back
DATA,2026-02-10T13:58:01,4.843,0x76,41939.710,28.91,53.40,102166.88,0xb0,back
DATA,2026-02-10T13:58:01,4.843,0x77,218896.970,28.51,53.66,102257.03,0xb0,back
DATA,2026-02-10T13:58:01,5.073,0x76,42314.050,28.93,53.35,102176.01,0xb0,back
DATA,2026-02-10T13:58:01,5.073,0x77,217225.280,28.51,53.54,102235.39,0xb0,back
DATA,2026-02-10T13:58:01,5.304,0x76,42737.900,28.92,53.36,102172.09,0xb0,back
DATA,2026-02-10T13:58:01,5.304,0x77,217225.280,28.52,53.46,102252.92,0xb0,back
DATA,2026-02-10T13:58:01,5.534,0x76,43126.680,28.93,53.35,102176.01,0xb0,back
DATA,2026-02-10T13:58:01,5.534,0x77,216536.270,28.51,53.39,102248.92,0xb0,back
DATA,2026-02-10T13:58:02,5.765,0x76,43301.760,28.94,53.29,102170.70,0xb0,back
DATA,2026-02-10T13:58:02,5.765,0x77,212096.110,28.52,53.30,102233.99,0xb0,back
DATA,2026-02-10T13:58:02,5.996,0x76,43745.730,28.94,53.30,102172.04,0xb0,back
