row_type,wall_time,time_s,addr,gas_ohm,temp_C,hum_pct,press_Pa,status,label
DATA,2026-02-11T10:34:46,2.537,0x76,13013.420,25.31,63.61,101874.07,0xb0,air
DATA,2026-02-11T10:34:46,2.537,0x77,129751.650,26.30,60.01,101942.67,0xb0,air
DATA,2026-02-11T10:34:46,2.767,0x76,13742.750,25.32,63.50,101868.83,0xb0,air
DATA,2026-02-11T10:34:46,2.767,0x77,142420.030,26.33,59.91,101943.80,0xb0,air
DATA,2026-02-11T10:34:47,3.000,0x76,14588.560,25.35,63.42,101870.09,0xb0,air
DATA,2026-02-11T10:34:47,3.000,0x77,152471.700,26.34,59.79,101941.02,0xb0,air
DATA,2026-02-11T10:34:47,3.232,0x76,15191.080,25.37,63.35,101872.66,0xb0,air
DATA,2026-02-11T10:34:47,3.232,0x77,163421.640,26.35,59.70,101936.93,0xb0,air
DATA,2026-02-11T10:34:47,3.463,0x76,15940.220,25.37,63.28,101873.95,0xb0,air
DATA,2026-02-11T10:34:47,3.463,0x77,172158.700,26.35,59.61,101946.31,0xb0,air
DATA,2026-02-11T10:34:47,3.694,0x76,16610.430,25.39,63.23,101867.39,0xb0,air
DATA,2026-02-11T10:34:48,3.694,0x77,181495.920,26.36,59.55,101930.07,0xb0,air
DATA,2026-02-11T10:34:48,3.924,0x76,17213.560,25.40,63.15,101863.45,0xb0,air
DATA,2026-02-11T10:34:48,3.924,0x77,195233.560,26.38,59.47,101939.36,0xb0,air
DATA,2026-02-11T10:34:48,4.155,0x76,18028.170,25.42,63.07,101872.55,0xb0,air
DATA,2026-02-11T10:34:48,4.155,0x77,203013.480,26.38,59.42,101940.66,0xb0,air
DATA,2026-02-11T10:34:48,4.386,0x76,18529.240,25.43,63.05,101866.01,0xb0,air
DATA,2026-02-11T10:34:48,4.386,0x77,211964.390,26.39,59.37,101935.19,0xb0,air
DATA,2026-02-11T10:34:48,4.616,0x76,19144.480,25.44,62.99,101872.51,0xb0,air
DATA,2026-02-11T10:34:48,4.616,0x77,219459.920,26.40,59.32,101949.95,0xb0,air
DATA,2026-02-11T10:34:49,4.847,0x76,19728.730,25.44,62.92,101869.89,0xb0,air
DATA,2026-02-11T10:34:49,4.847,0x77,226298.340,26.41,59.27,101935.02,0xb0,air
DATA,2026-02-11T10:34:49,5.077,0x76,20311.010,25.46,62.90,101871.16,0xb0,air
DATA,2026-02-11T10:34:49,5.077,0x77,233576.640,26.41,59.25,101940.40,0xb0,air
DATA,2026-02-11T10:34:49,5.308,0x76,21011.160,25.46,62.91,101867.24,0xb0,air
DATA,2026-02-11T10:34:49,5.308,0x77,238639.020,26.42,59.18,101940.31,0xb0,air
DATA,2026-02-11T10:34:49,5.539,0x76,21433.360,25.48,62.81,101868.51,0xb0,air
DATA,2026-02-11T10:34:49,5.539,0x77,246925.480,26.42,59.15,101934.92,0xb0,air
DATA,2026-02-11T10:34:49,5.769,0x76,22099.450,25.49,62.77,101872.41,0xb0,air
DATA,2026-02-11T10:34:50,5.769,0x77,252403.250,26.43,59.08,101948.30,0xb0,air
DATA,2026-02-11T10:34:50,6.000,0x76,22543.150,25.49,62.72,101865.88,0xb0,air
DATA,2026-02-11T10:34:50,6.000,0x77,257934.520,26.45,59.08,101937.44,0xb0,air
DATA,2026-02-11T10:34:50,6.231,0x76,23464.710,25.51,62.68,101869.76,0xb0,air
DATA,2026-02-11T10:34:50,6.231,0x77,263306.750,26.44,59.03,101944.22,0xb0,air
