row_type,wall_time,time_s,addr,gas_ohm,temp_C,hum_pct,press_Pa,status,label
DATA,2026-02-11T13:36:12,2.536,0x76,15355.090,27.91,57.71,101734.43,0xb0,back
DATA,2026-02-11T13:36:12,2.536,0x77,144591.920,28.10,56.18,101790.81,0xb0,back
DATA,2026-02-11T13:36:12,2.767,0x76,15964.080,27.94,57.63,101738.23,0xb0,back
DATA,2026-02-11T13:36:12,2.767,0x77,155104.520,28.12,56.14,101778.48,0xb0,back
DATA,2026-02-11T13:36:13,3.001,0x76,16584.610,27.96,57.58,101738.13,0xb0,back
DATA,2026-02-11T13:36:13,3.001,0x77,166125.890,28.13,56.09,101783.77,0xb0,back
DATA,2026-02-11T13:36:13,3.234,0x76,17255.320,27.96,57.52,101738.13,0xb0,back
DATA,2026-02-11T13:36:13,3.234,0x77,175884.580,28.14,56.08,101789.07,0xb0,back
DATA,2026-02-11T13:36:13,3.464,0x76,17832.270,27.98,57.48,101732.78,0xb0,back
DATA,2026-02-11T13:36:13,3.464,0x77,186046.520,28.16,56.02,101779.44,0xb0,back
DATA,2026-02-11T13:36:13,3.695,0x76,18433.180,28.00,57.46,101736.63,0xb0,back
DATA,2026-02-11T13:36:13,3.695,0x77,197264.500,28.17,55.92,101798.25,0xb0,back
DATA,2026-02-11T13:36:14,3.926,0x76,19058.960,28.01,57.43,101728.71,0xb0,back
DATA,2026-02-11T13:36:14,3.926,0x77,207834.380,28.18,55.79,101776.51,0xb0,back
DATA,2026-02-11T13:36:14,4.156,0x76,19601.840,28.02,57.40,101737.81,0xb0,back
DATA,2026-02-11T13:36:14,4.156,0x77,216261.880,28.19,55.65,101791.21,0xb0,back
DATA,2026-02-11T13:36:14,4.387,0x76,20253.160,28.04,57.35,101737.76,0xb0,back
DATA,2026-02-11T13:36:14,4.387,0x77,221741.020,28.20,55.52,101781.70,0xb0,back
DATA,2026-02-11T13:36:14,4.618,0x76,20745.540,28.05,57.31,101740.34,0xb0,back
DATA,2026-02-11T13:36:14,4.618,0x77,228724.590,28.20,55.40,101784.40,0xb0,back
DATA,2026-02-11T13:36:14,4.850,0x76,21498.150,28.04,57.28,101739.05,0xb0,back
DATA,2026-02-11T13:36:14,4.850,0x77,237311.700,28.21,55.27,101777.47,0xb0,back
DATA,2026-02-11T13:36:15,5.083,0x76,22030.980,28.06,57.18,101735.03,0xb0,back
DATA,2026-02-11T13:36:15,5.083,0x77,241680.440,28.20,55.18,101777.58,0xb0,back
DATA,2026-02-11T13:36:15,5.314,0x76,22614.840,28.06,57.15,101732.41,0xb0,back
DATA,2026-02-11T13:36:15,5.314,0x77,248543.690,28.22,55.13,101784.17,0xb0,back
DATA,2026-02-11T13:36:15,5.544,0x76,23464.710,28.08,57.07,101737.55,0xb0,back
DATA,2026-02-11T13:36:15,5.544,0x77,255043.590,28.22,55.04,101773.36,0xb0,back
DATA,2026-02-11T13:36:15,5.775,0x76,24046.590,28.08,57.00,101732.30,0xb0,back
DATA,2026-02-11T13:36:15,5.775,0x77,260493.520,28.24,54.98,101786.65,0xb0,back
DATA,2026-02-11T13:36:16,6.006,0x76,24558.710,28.08,56.95,101736.20,0xb0,back
DATA,2026-02-11T13:36:16,6.006,0x77,262901.160,28.25,54.93,101777.12,0xb0,back
DATA,2026-02-11T13:36:16,6.236,0x76,25078.370,28.10,56.89,101740.06,0xb0,back
DATA,2026-02-11T13:36:16,6.236,0x77,269119.590,28.25,54.86,101775.72,0xb0,back
DATA,2026-02-11T13:36:16,6.467,0x76,25589.760,28.11,56.83,101738.73,0xb0,back
DATA,2026-02-11T13:36:16,6.467,0x77,273431.250,28.25,54.85,101783.83,0xb0,back
DATA,2026-02-11T13:36:16,6.697,0x76,26154.470,28.12,56.77,101738.67,0xb0,back
DATA,2026-02-11T13:36:16,6.697,0x77,275639.310,28.26,54.78,101782.42,0xb0,back
DATA,2026-02-11T13:36:17,6.928,0x76,26578.070,28.12,56.72,101741.30,0xb0,back
DATA,2026-02-11T13:36:17,6.928,0x77,282482.750,28.27,54.75,101782.30,0xb0,back
DATA,2026-02-11T13:36:17,7.159,0x76,27067.030,28.12,56.69,101741.30,0xb0,back
DATA,2026-02-11T13:36:17,7.159,0x77,286754.410,28.26,54.72,101783.72,0xb0,back
DATA,2026-02-11T13:36:17,7.389,0x76,27610.010,28.13,56.63,101738.62,0xb0,back
DATA,2026-02-11T13:36:17,7.389,0x77,286273.410,28.26,54.68,101775.61,0xb0,back
DATA,2026-02-11T13:36:17,7.620,0x76,28008.750,28.13,56.59,101742.52,0xb0,back
DATA,2026-02-11T13:36:17,7.620,0x77,290661.380,28.27,54.65,101776.90,0xb0,back
DATA,2026-02-11T13:36:17,7.851,0x76,28514.150,28.13,56.56,101732.02,0xb0,back
DATA,2026-02-11T13:36:18,7.851,0x77,293409.750,28.27,54.65,101778.20,0xb0,back
DATA,2026-02-11T13:36:18,8.081,0x76,28900.430,28.14,56.52,101741.19,0xb0,back
DATA,2026-02-11T13:36:18,8.081,0x77,295441.440,28.28,54.61,101784.90,0xb0,back
DATA,2026-02-11T13:36:18,8.312,0x76,29337.610,28.15,56.49,101735.88,0xb0,back
DATA,2026-02-11T13:36:18,8.312,0x77,297501.440,28.29,54.56,101779.38,0xb0,back
DATA,2026-02-11T13:36:18,8.544,0x76,29684.600,28.14,56.45,101737.22,0xb0,back
DATA,2026-02-11T13:36:18,8.544,0x77,301176.470,28.29,54.52,101784.78,0xb0,back
DATA,2026-02-11T13:36:18,8.775,0x76,30061.060,28.15,56.42,101733.26,0xb0,back
DATA,2026-02-11T13:36:18,8.775,0x77,303048.250,28.29,54.49,101794.19,0xb0,back
DATA,2026-02-11T13:36:19,9.006,0x76,30468.940,28.16,56.41,101737.11,0xb0,back
DATA,2026-02-11T13:36:19,9.006,0x77,303317.530,28.30,54.48,101781.97,0xb0,back
DATA,2026-02-11T13:36:19,9.236,0x76,30843.370,28.17,56.35,101738.40,0xb0,back
DATA,2026-02-11T13:36:19,9.236,0x77,309646.220,28.30,54.47,101788.67,0xb0,back
DATA,2026-02-11T13:36:19,9.467,0x76,31250.000,28.17,56.31,101742.30,0xb0,back
DATA,2026-02-11T13:36:19,9.467,0x77,310773.910,28.31,54.45,101784.55,0xb0,back
DATA,2026-02-11T13:36:19,9.698,0x76,31691.010,28.17,56.31,101735.77,0xb0,back
DATA,2026-02-11T13:36:19,9.698,0x77,316537.880,28.31,54.42,101791.26,0xb0,back
DATA,2026-02-11T13:36:20,9.928,0x76,32048.070,28.19,56.29,101743.54,0xb0,back
DATA,2026-02-11T13:36:20,9.928,0x77,316537.880,28.32,54.42,101781.74,0xb0,back
DATA,2026-02-11T13:36:20,10.159,0x76,32413.270,28.19,56.26,101737.00,0xb0,back
DATA,2026-02-11T13:36:20,10.159,0x77,318903.780,28.32,54.37,101788.45,0xb0,back
