row_type,wall_time,time_s,addr,gas_ohm,temp_C,hum_pct,press_Pa,status,label
DATA,2026-02-11T12:42:52,2.537,0x76,5684.850,27.90,57.92,101805.34,0xb0,back
DATA,2026-02-11T12:42:52,2.537,0x77,15137.180,27.21,58.19,101799.84,0xb0,back
DATA,2026-02-11T12:42:53,2.768,0x76,5684.850,27.93,57.90,101803.90,0xb0,back
DATA,2026-02-11T12:42:53,2.768,0x77,17743.280,27.23,58.13,101794.24,0xb0,back
DATA,2026-02-11T12:42:53,3.002,0x76,5684.850,27.95,57.84,101803.80,0xb0,back
DATA,2026-02-11T12:42:53,3.002,0x77,20311.010,27.25,58.05,101798.13,0xb0,back
DATA,2026-02-11T12:42:53,3.233,0x76,5684.850,27.96,57.83,101789.34,0xb0,back
DATA,2026-02-11T12:42:53,3.233,0x77,23005.030,27.27,58.04,101795.23,0xb0,back
DATA,2026-02-11T12:42:53,3.463,0x76,5684.850,27.98,57.79,101799.73,0xb0,back
DATA,2026-02-11T12:42:53,3.463,0x77,25947.700,27.29,57.98,101797.73,0xb0,back
DATA,2026-02-11T12:42:54,3.694,0x76,5684.850,27.99,57.74,101793.09,0xb0,back
DATA,2026-02-11T12:42:54,3.694,0x77,28533.210,27.29,57.93,101799.02,0xb0,back
DATA,2026-02-11T12:42:54,3.925,0x76,5684.850,28.00,57.74,101799.62,0xb0,back
DATA,2026-02-11T12:42:54,3.925,0x77,31364.860,27.30,57.90,101798.92,0xb0,back
DATA,2026-02-11T12:42:54,4.155,0x76,5684.850,28.02,57.69,101796.90,0xb0,back
DATA,2026-02-11T12:42:54,4.155,0x77,34069.740,27.32,57.85,101796.02,0xb0,back
DATA,2026-02-11T12:42:54,4.386,0x76,5684.850,28.02,57.63,101795.56,0xb0,back
DATA,2026-02-11T12:42:54,4.386,0x77,36676.220,27.33,57.83,101800.02,0xb0,back
DATA,2026-02-11T12:42:55,4.617,0x76,5684.850,28.04,57.63,101798.13,0xb0,back
DATA,2026-02-11T12:42:55,4.617,0x77,39421.000,27.34,57.80,101791.82,0xb0,back
DATA,2026-02-11T12:42:55,4.847,0x76,5684.850,28.04,57.61,101791.55,0xb0,back
DATA,2026-02-11T12:42:55,4.847,0x77,42105.260,27.35,57.77,101797.12,0xb0,back
DATA,2026-02-11T12:42:55,5.078,0x76,5941.330,28.02,57.60,101792.94,0xb0,back
DATA,2026-02-11T12:42:55,5.078,0x77,44708.350,27.37,57.71,101795.61,0xb0,back
DATA,2026-02-11T12:42:55,5.309,0x76,6052.580,28.04,57.56,101792.88,0xb0,back
DATA,2026-02-11T12:42:55,5.309,0x77,48039.030,27.37,57.68,101795.61,0xb0,back
DATA,2026-02-11T12:42:55,5.539,0x76,6302.930,28.04,57.55,101791.55,0xb0,back
DATA,2026-02-11T12:42:56,5.539,0x77,50813.820,27.37,57.65,101788.81,0xb0,back
DATA,2026-02-11T12:42:56,5.770,0x76,6530.610,28.06,57.46,101795.41,0xb0,back
DATA,2026-02-11T12:42:56,5.770,0x77,53388.950,27.39,57.63,101795.41,0xb0,back
DATA,2026-02-11T12:42:56,6.000,0x76,6775.350,28.06,57.47,101791.44,0xb0,back
DATA,2026-02-11T12:42:56,6.000,0x77,56276.110,27.40,57.58,101798.00,0xb0,back
DATA,2026-02-11T12:42:56,6.231,0x76,7016.010,28.06,57.45,101791.44,0xb0,back
DATA,2026-02-11T12:42:56,6.231,0x77,58837.050,27.41,57.56,101795.20,0xb0,back
DATA,2026-02-11T12:42:56,6.462,0x76,7254.590,28.07,57.40,101794.01,0xb0,back
DATA,2026-02-11T12:42:56,6.462,0x77,61464.590,27.41,57.55,101800.59,0xb0,back
DATA,2026-02-11T12:42:57,6.692,0x76,7483.630,28.07,57.38,101794.01,0xb0,back
DATA,2026-02-11T12:42:57,6.692,0x77,63904.140,27.41,57.50,101799.20,0xb0,back
DATA,2026-02-11T12:42:57,6.923,0x76,7683.070,28.08,57.35,101788.71,0xb0,back
DATA,2026-02-11T12:42:57,6.923,0x77,66235.450,27.42,57.46,101797.80,0xb0,back
DATA,2026-02-11T12:42:57,7.154,0x76,7934.540,28.08,57.34,101791.34,0xb0,back
DATA,2026-02-11T12:42:57,7.154,0x77,68687.950,27.43,57.46,101794.99,0xb0,back
DATA,2026-02-11T12:42:57,7.384,0x76,8171.600,28.09,57.31,101791.28,0xb0,back
DATA,2026-02-11T12:42:57,7.384,0x77,70737.770,27.44,57.43,101797.59,0xb0,back
DATA,2026-02-11T12:42:58,7.615,0x76,8409.990,28.10,57.29,101789.95,0xb0,back
DATA,2026-02-11T12:42:58,7.615,0x77,73101.090,27.44,57.40,101794.89,0xb0,back
DATA,2026-02-11T12:42:58,7.846,0x76,8634.650,28.11,57.24,101789.89,0xb0,back
DATA,2026-02-11T12:42:58,7.846,0x77,75493.950,27.46,57.39,101801.48,0xb0,back
DATA,2026-02-11T12:42:58,8.076,0x76,8864.270,28.12,57.20,101785.92,0xb0,back
DATA,2026-02-11T12:42:58,8.076,0x77,77552.260,27.46,57.38,101801.48,0xb0,back
DATA,2026-02-11T12:42:58,8.307,0x76,9083.170,28.12,57.17,101791.17,0xb0,back
DATA,2026-02-11T12:42:58,8.307,0x77,79875.200,27.46,57.33,101793.38,0xb0,back
DATA,2026-02-11T12:42:58,8.538,0x76,9305.030,28.13,57.16,101788.50,0xb0,back
DATA,2026-02-11T12:42:59,8.538,0x77,82024.990,27.47,57.29,101793.28,0xb0,back
DATA,2026-02-11T12:42:59,8.769,0x76,9538.000,28.13,57.11,101788.50,0xb0,back
DATA,2026-02-11T12:42:59,8.769,0x77,84044.650,27.47,57.28,101797.27,0xb0,back
DATA,2026-02-11T12:42:59,8.999,0x76,9773.980,28.13,57.10,101792.41,0xb0,back
DATA,2026-02-11T12:42:59,8.999,0x77,86253.370,27.47,57.28,101794.58,0xb0,back
DATA,2026-02-11T12:42:59,9.230,0x76,9984.400,28.14,57.09,101789.73,0xb0,back
DATA,2026-02-11T12:42:59,9.230,0x77,88033.020,27.49,57.24,101798.47,0xb0,back
DATA,2026-02-11T12:42:59,9.460,0x76,10165.180,28.15,57.07,101788.39,0xb0,back
DATA,2026-02-11T12:42:59,9.460,0x77,90077.410,27.49,57.22,101798.47,0xb0,back
DATA,2026-02-11T12:43:00,9.691,0x76,10403.120,28.15,57.03,101788.39,0xb0,back
DATA,2026-02-11T12:43:00,9.691,0x77,92119.470,27.49,57.19,101795.77,0xb0,back
DATA,2026-02-11T12:43:00,9.922,0x76,10641.840,28.15,57.01,101794.93,0xb0,back
DATA,2026-02-11T12:43:00,9.922,0x77,95326.760,27.49,57.15,101799.77,0xb0,back
DATA,2026-02-11T12:43:00,10.152,0x76,10858.500,28.16,56.99,101790.96,0xb0,back
DATA,2026-02-11T12:43:00,10.152,0x77,97116.840,27.50,57.16,101795.66,0xb0,back
DATA,2026-02-11T12:43:00,10.383,0x76,11130.430,28.16,56.96,101792.25,0xb0,back
DATA,2026-02-11T12:43:00,10.383,0x77,99205.580,27.50,57.12,101792.97,0xb0,back
DATA,2026-02-11T12:43:01,10.614,0x76,11319.420,28.16,56.97,101794.88,0xb0,back
DATA,2026-02-11T12:43:01,10.614,0x77,100966.280,27.51,57.10,101792.86,0xb0,back
DATA,2026-02-11T12:43:01,10.844,0x76,11539.850,28.19,56.89,101793.42,0xb0,back
DATA,2026-02-11T12:43:01,10.844,0x77,102728.730,27.51,57.10,101791.46,0xb0,back
DATA,2026-02-11T12:43:01,11.075,0x76,11976.050,28.18,56.91,101790.85,0xb0,back
DATA,2026-02-11T12:43:01,11.075,0x77,104617.900,27.51,57.06,101788.76,0xb0,back
DATA,2026-02-11T12:43:01,11.306,0x76,12209.080,28.19,56.87,101790.80,0xb0,back
DATA,2026-02-11T12:43:01,11.306,0x77,106246.110,27.52,57.03,101796.75,0xb0,back
DATA,2026-02-11T12:43:01,11.536,0x76,12379.110,28.20,56.87,101793.38,0xb0,back
DATA,2026-02-11T12:43:02,11.536,0x77,107994.090,27.52,57.04,101794.05,0xb0,back
DATA,2026-02-11T12:43:02,11.767,0x76,12620.790,28.20,56.86,101792.09,0xb0,back
DATA,2026-02-11T12:43:02,11.767,0x77,110012.890,27.53,57.00,101798.05,0xb0,back
DATA,2026-02-11T12:43:02,11.997,0x76,12810.250,28.20,56.83,101793.38,0xb0,back
DATA,2026-02-11T12:43:02,11.997,0x77,111522.550,27.55,57.02,101793.84,0xb0,back
DATA,2026-02-11T12:43:02,12.228,0x76,13077.240,28.21,56.80,101789.41,0xb0,back
DATA,2026-02-11T12:43:02,12.228,0x77,112999.340,27.55,57.00,101791.14,0xb0,back
DATA,2026-02-11T12:43:02,12.459,0x76,13272.500,28.21,56.76,101793.32,0xb0,back
DATA,2026-02-11T12:43:02,12.459,0x77,114746.750,27.55,56.96,101797.84,0xb0,back
DATA,2026-02-11T12:43:03,12.689,0x76,13490.730,28.21,56.77,101786.78,0xb0,back
DATA,2026-02-11T12:43:03,12.689,0x77,116310.770,27.55,56.97,101795.14,0xb0,back
