type,wall_time,time_s,addr,ratio,label
DATA,2026-01-27T16:30:42,0.224,0x76,0.026089,background
DATA,2026-01-27T16:30:42,0.224,0x77,0.018591,background
DATA,2026-01-27T16:30:42,0.403,0x76,0.033343,background
DATA,2026-01-27T16:30:42,0.403,0x77,0.065791,background
DATA,2026-01-27T16:30:42,0.627,0x76,0.035120,background
DATA,2026-01-27T16:30:42,0.627,0x77,0.075071,background
DATA,2026-01-27T16:30:42,0.812,0x76,0.037330,background
DATA,2026-01-27T16:30:42,0.812,0x77,0.076599,background
DATA,2026-01-27T16:30:42,1.041,0x76,0.040354,background
DATA,2026-01-27T16:30:42,1.041,0x77,0.078873,background
DATA,2026-01-27T16:30:43,1.223,0x76,0.043135,background
DATA,2026-01-27T16:30:43,1.223,0x77,0.081561,background
DATA,2026-01-27T16:30:43,1.404,0x76,0.045281,background
DATA,2026-01-27T16:30:43,1.404,0x77,0.083967,background
DATA,2026-01-27T16:30:43,1.631,0x76,0.047646,background
DATA,2026-01-27T16:30:43,1.631,0x77,0.085373,background
DATA,2026-01-27T16:30:43,1.811,0x76,0.051023,background
DATA,2026-01-27T16:30:43,1.811,0x77,0.088872,background
DATA,2026-01-27T16:30:43,2.035,0x76,0.054020,background
DATA,2026-01-27T16:30:43,2.035,0x77,0.092262,background
DATA,2026-01-27T16:30:44,2.214,0x76,0.056571,background
DATA,2026-01-27T16:30:44,2.214,0x77,0.095131,background
DATA,2026-01-27T16:30:44,2.438,0x76,0.060208,background
DATA,2026-01-27T16:30:44,2.438,0x77,0.070867,background
DATA,2026-01-27T16:30:44,2.617,0x76,0.063810,background
DATA,2026-01-27T16:30:44,2.617,0x77,0.060788,background
DATA,2026-01-27T16:30:44,2.841,0x76,0.070005,background
DATA,2026-01-27T16:30:44,2.841,0x77,0.063719,background
DATA,2026-01-27T16:30:44,3.020,0x76,0.077420,background
DATA,2026-01-27T16:30:44,3.020,0x77,0.066674,background
DATA,2026-01-27T16:30:45,3.202,0x76,0.079757,background
DATA,2026-01-27T16:30:45,3.202,0x77,0.064445,background
DATA,2026-01-27T16:30:45,3.427,0x76,0.080737,background
DATA,2026-01-27T16:30:45,3.427,0x77,0.088025,background
DATA,2026-01-27T16:30:45,3.606,0x76,0.083284,background
