row_type,wall_time,time_s,addr,gas_ohm,temp_C,hum_pct,press_Pa,status,label
DATA,2026-02-11T11:15:54,2.536,0x76,5684.850,25.84,63.12,101855.95,0xb0,back
DATA,2026-02-11T11:15:54,2.536,0x77,30146.020,26.97,58.22,101913.96,0xb0,back
DATA,2026-02-11T11:15:54,2.767,0x76,5684.850,25.86,63.02,101854.59,0xb0,back
DATA,2026-02-11T11:15:54,2.767,0x77,34678.950,26.98,58.16,101927.34,0xb0,back
DATA,2026-02-11T11:15:55,3.001,0x76,5944.640,25.86,62.92,101846.76,0xb0,back
DATA,2026-02-11T11:15:55,3.001,0x77,39239.730,26.99,58.07,101927.25,0xb0,back
DATA,2026-02-11T11:15:55,3.232,0x76,6164.520,25.86,62.84,101841.53,0xb0,back
DATA,2026-02-11T11:15:55,3.232,0x77,43880.700,27.01,58.01,101912.27,0xb0,back
DATA,2026-02-11T11:15:55,3.463,0x76,6502.740,25.87,62.76,101848.02,0xb0,back
DATA,2026-02-11T11:15:55,3.463,0x77,48948.380,27.01,57.94,101913.58,0xb0,back
DATA,2026-02-11T11:15:55,3.694,0x76,6844.920,25.89,62.69,101846.68,0xb0,back
DATA,2026-02-11T11:15:55,3.694,0x77,53860.720,27.04,57.92,101926.87,0xb0,back
DATA,2026-02-11T11:15:56,3.924,0x76,7171.670,25.91,62.62,101846.62,0xb0,back
DATA,2026-02-11T11:15:56,3.924,0x77,58837.050,27.05,57.84,101915.98,0xb0,back
DATA,2026-02-11T11:15:56,4.155,0x76,7563.220,25.92,62.57,101845.27,0xb0,back
DATA,2026-02-11T11:15:56,4.155,0x77,63570.890,27.05,57.81,101914.59,0xb0,back
DATA,2026-02-11T11:15:56,4.386,0x76,7875.950,25.93,62.54,101849.18,0xb0,back
DATA,2026-02-11T11:15:56,4.386,0x77,68030.830,27.06,57.78,101918.59,0xb0,back
DATA,2026-02-11T11:15:56,4.616,0x76,8234.690,25.94,62.52,101850.48,0xb0,back
DATA,2026-02-11T11:15:56,4.616,0x77,72173.660,27.06,57.73,101913.20,0xb0,back
DATA,2026-02-11T11:15:56,4.847,0x76,8572.190,25.95,62.42,101849.12,0xb0,back
DATA,2026-02-11T11:15:57,4.847,0x77,76577.920,27.07,57.71,101917.09,0xb0,back
DATA,2026-02-11T11:15:57,5.078,0x76,8938.550,25.96,62.37,101843.87,0xb0,back
DATA,2026-02-11T11:15:57,5.078,0x77,80553.800,27.08,57.65,101922.39,0xb0,back
DATA,2026-02-11T11:15:57,5.309,0x76,9264.620,25.97,62.33,101845.16,0xb0,back
DATA,2026-02-11T11:15:57,5.309,0x77,85049.840,27.09,57.63,101906.11,0xb0,back
DATA,2026-02-11T11:15:57,5.539,0x76,9624.060,25.98,62.29,101847.75,0xb0,back
DATA,2026-02-11T11:15:57,5.539,0x77,88858.040,27.09,57.60,101919.59,0xb0,back
DATA,2026-02-11T11:15:57,5.770,0x76,9965.740,25.99,62.27,101845.11,0xb0,back
DATA,2026-02-11T11:15:57,5.770,0x77,93962.200,27.10,57.58,101919.50,0xb0,back
DATA,2026-02-11T11:15:58,6.000,0x76,10262.990,26.00,62.23,101845.08,0xb0,back
DATA,2026-02-11T11:15:58,6.000,0x77,98234.840,27.10,57.54,101906.02,0xb0,back
DATA,2026-02-11T11:15:58,6.231,0x76,10620.640,26.00,62.15,101845.08,0xb0,back
DATA,2026-02-11T11:15:58,6.231,0x77,102053.020,27.11,57.54,101924.80,0xb0,back
DATA,2026-02-11T11:15:58,6.462,0x76,10947.660,26.01,62.12,101845.05,0xb0,back
DATA,2026-02-11T11:15:58,6.462,0x77,105263.160,27.11,57.49,101907.31,0xb0,back
DATA,2026-02-11T11:15:58,6.692,0x76,11355.570,26.02,62.08,101846.34,0xb0,back
DATA,2026-02-11T11:15:58,6.692,0x77,109518.720,27.12,57.50,101908.52,0xb0,back
DATA,2026-02-11T11:15:59,6.923,0x76,11640.600,26.03,62.02,101846.31,0xb0,back
DATA,2026-02-11T11:15:59,6.923,0x77,113450.030,27.12,57.46,101931.48,0xb0,back
DATA,2026-02-11T11:15:59,7.154,0x76,12223.070,26.04,62.01,101851.52,0xb0,back
DATA,2026-02-11T11:15:59,7.154,0x77,116708.450,27.12,57.43,101911.21,0xb0,back
DATA,2026-02-11T11:15:59,7.384,0x76,12553.940,26.05,61.99,101848.87,0xb0,back
DATA,2026-02-11T11:15:59,7.384,0x77,120669.340,27.13,57.42,101915.21,0xb0,back
DATA,2026-02-11T11:15:59,7.615,0x76,12841.090,26.05,61.94,101850.16,0xb0,back
DATA,2026-02-11T11:15:59,7.615,0x77,123641.630,27.15,57.39,101929.90,0xb0,back
DATA,2026-02-11T11:15:59,7.846,0x76,13174.150,26.05,61.93,101850.16,0xb0,back
DATA,2026-02-11T11:16:00,7.846,0x77,127331.510,27.15,57.37,101911.02,0xb0,back
DATA,2026-02-11T11:16:00,8.076,0x76,13550.710,26.05,61.88,101844.94,0xb0,back
DATA,2026-02-11T11:16:00,8.076,0x77,130645.570,27.14,57.36,101911.12,0xb0,back
