row_type,wall_time,time_s,addr,gas_ohm,temp_C,hum_pct,press_Pa,status,label
DATA,2026-01-28T09:37:01,2.536,0x76,5684.850,24.12,61.09,101785.74,0xb0,background
DATA,2026-01-28T09:37:01,2.536,0x77,30039.900,23.71,61.44,101797.09,0xb0,background
DATA,2026-01-28T09:37:01,2.766,0x76,5684.850,24.14,61.01,101787.03,0xb0,background
DATA,2026-01-28T09:37:01,2.766,0x77,32024.020,23.72,61.35,101794.35,0xb0,background
DATA,2026-01-28T09:37:01,2.998,0x76,5684.850,24.16,60.90,101787.02,0xb0,background
DATA,2026-01-28T09:37:01,2.998,0x77,33534.190,23.74,61.26,101800.95,0xb0,background
DATA,2026-01-28T09:37:01,3.229,0x76,6008.260,24.15,60.83,101783.12,0xb0,background
DATA,2026-01-28T09:37:02,3.229,0x77,35135.880,23.75,61.21,101799.52,0xb0,background
DATA,2026-01-28T09:37:02,3.460,0x76,6042.300,24.17,60.76,101785.71,0xb0,background
DATA,2026-01-28T09:37:02,3.460,0x77,36394.660,23.77,61.12,101792.73,0xb0,background
DATA,2026-01-28T09:37:02,3.691,0x76,6284.370,24.17,60.67,101783.11,0xb0,background
DATA,2026-01-28T09:37:02,3.691,0x77,37746.980,23.79,61.04,101797.97,0xb0,background
DATA,2026-01-28T09:37:02,3.921,0x76,6562.760,24.18,60.62,101779.19,0xb0,background
DATA,2026-01-28T09:37:02,3.921,0x77,38953.130,23.79,60.99,101797.97,0xb0,background
DATA,2026-01-28T09:37:02,4.152,0x76,6766.760,24.20,60.55,101781.77,0xb0,background
DATA,2026-01-28T09:37:02,4.152,0x77,40816.330,23.80,60.95,101796.60,0xb0,background
DATA,2026-01-28T09:37:03,4.383,0x76,7043.800,24.21,60.49,101777.86,0xb0,background
DATA,2026-01-28T09:37:03,4.383,0x77,41330.320,23.81,60.90,101797.84,0xb0,background
DATA,2026-01-28T09:37:03,4.613,0x76,7269.420,24.23,60.46,101784.35,0xb0,background
DATA,2026-01-28T09:37:03,4.613,0x77,42398.140,23.82,60.82,101795.11,0xb0,background
DATA,2026-01-28T09:37:03,4.846,0x76,7525.870,24.23,60.43,101779.15,0xb0,background
DATA,2026-01-28T09:37:03,4.846,0x77,43567.050,23.83,60.79,101797.72,0xb0,background
DATA,2026-01-28T09:37:03,5.078,0x76,7795.370,24.24,60.38,101781.74,0xb0,background
DATA,2026-01-28T09:37:03,5.078,0x77,44429.020,23.84,60.77,101799.03,0xb0,background
DATA,2026-01-28T09:37:04,5.311,0x76,8036.160,24.24,60.34,101779.13,0xb0,background
DATA,2026-01-28T09:37:04,5.311,0x77,45567.820,23.84,60.67,101800.34,0xb0,background
DATA,2026-01-28T09:37:04,5.541,0x76,8273.010,24.26,60.28,101788.23,0xb0,background
DATA,2026-01-28T09:37:04,5.541,0x77,46209.390,23.85,60.65,101800.27,0xb0,background
DATA,2026-01-28T09:37:04,5.775,0x76,8565.310,24.26,60.20,101779.12,0xb0,background
DATA,2026-01-28T09:37:04,5.775,0x77,48039.030,23.87,60.62,101800.21,0xb0,background
DATA,2026-01-28T09:37:04,6.005,0x76,8805.720,24.27,60.19,101779.10,0xb0,background
DATA,2026-01-28T09:37:04,6.005,0x77,49089.160,23.87,60.57,101790.81,0xb0,background
DATA,2026-01-28T09:37:04,6.238,0x76,9037.000,24.27,60.12,101785.61,0xb0,background
DATA,2026-01-28T09:37:05,6.238,0x77,49922.000,23.88,60.56,101801.46,0xb0,background
DATA,2026-01-28T09:37:05,6.470,0x76,9256.580,24.28,60.09,101784.30,0xb0,background
DATA,2026-01-28T09:37:05,6.470,0x77,50542.940,23.89,60.50,101793.36,0xb0,background
DATA,2026-01-28T09:37:05,6.702,0x76,9546.540,24.28,60.12,101780.39,0xb0,background
DATA,2026-01-28T09:37:05,6.702,0x77,51488.340,23.89,60.46,101798.72,0xb0,background
DATA,2026-01-28T09:37:05,6.935,0x76,9800.920,24.30,60.05,101782.98,0xb0,background
DATA,2026-01-28T09:37:05,6.935,0x77,52566.730,23.90,60.45,101800.02,0xb0,background
DATA,2026-01-28T09:37:05,7.167,0x76,10059.730,24.30,60.02,101780.38,0xb0,background
DATA,2026-01-28T09:37:05,7.167,0x77,53255.670,23.90,60.42,101793.30,0xb0,background
DATA,2026-01-28T09:37:06,7.399,0x76,10223.640,24.31,59.99,101782.97,0xb0,background
DATA,2026-01-28T09:37:06,7.399,0x77,53928.800,23.91,60.41,101797.28,0xb0,background
DATA,2026-01-28T09:37:06,7.631,0x76,10464.360,24.32,59.97,101784.26,0xb0,background
DATA,2026-01-28T09:37:06,7.631,0x77,54584.220,23.91,60.36,101793.23,0xb0,background
DATA,2026-01-28T09:37:06,7.863,0x76,10716.680,24.32,59.97,101782.96,0xb0,background
DATA,2026-01-28T09:37:06,7.863,0x77,55615.900,23.93,60.34,101799.84,0xb0,background
DATA,2026-01-28T09:37:06,8.095,0x76,10958.900,24.32,59.92,101780.36,0xb0,background
DATA,2026-01-28T09:37:06,8.095,0x77,56350.430,23.93,60.30,101797.16,0xb0,background
