row_type,wall_time,time_s,addr,gas_ohm,temp_C,hum_pct,press_Pa,status,label
DATA,2026-02-02T11:25:01,2.536,0x76,10547.130,26.37,60.67,101093.34,0xb0,air
DATA,2026-02-02T11:25:01,2.536,0x77,49487.730,26.05,64.28,101102.60,0xb0,air
DATA,2026-02-02T11:25:01,2.766,0x76,11107.250,26.39,60.62,101088.07,0xb0,air
DATA,2026-02-02T11:25:01,2.766,0x77,53657.520,26.08,64.19,101106.38,0xb0,air
DATA,2026-02-02T11:25:01,2.997,0x76,11691.630,26.42,60.55,101093.15,0xb0,air
DATA,2026-02-02T11:25:01,2.997,0x77,57373.380,26.09,64.08,101100.89,0xb0,air
DATA,2026-02-02T11:25:01,3.229,0x76,12487.800,26.43,60.45,101099.61,0xb0,air
DATA,2026-02-02T11:25:01,3.229,0x77,60420.110,26.11,63.97,101103.38,0xb0,air
DATA,2026-02-02T11:25:01,3.463,0x76,12981.740,26.44,60.39,101094.33,0xb0,air
DATA,2026-02-02T11:25:02,3.463,0x77,64192.580,26.11,63.86,101103.38,0xb0,air
DATA,2026-02-02T11:25:02,3.694,0x76,13533.520,26.47,60.34,101100.74,0xb0,air
DATA,2026-02-02T11:25:02,3.694,0x77,66858.190,26.13,63.78,101104.46,0xb0,air
DATA,2026-02-02T11:25:02,3.924,0x76,14059.750,26.48,60.32,101096.80,0xb0,air
DATA,2026-02-02T11:25:02,3.924,0x77,69414.320,26.15,63.68,101104.36,0xb0,air
DATA,2026-02-02T11:25:02,4.155,0x76,14568.630,26.50,60.23,101099.31,0xb0,air
DATA,2026-02-02T11:25:02,4.155,0x77,71809.260,26.15,63.65,101100.27,0xb0,air
DATA,2026-02-02T11:25:02,4.388,0x76,15094.340,26.50,60.21,101097.98,0xb0,air
DATA,2026-02-02T11:25:02,4.388,0x77,74181.400,26.16,63.59,101104.25,0xb0,air
DATA,2026-02-02T11:25:03,4.619,0x76,15602.150,26.50,60.14,101092.74,0xb0,air
DATA,2026-02-02T11:25:03,4.619,0x77,75964.390,26.17,63.59,101100.06,0xb0,air
