row_type,wall_time,time_s,addr,gas_ohm,temp_C,hum_pct,press_Pa,status,label
DATA,2026-02-02T11:48:35,2.536,0x76,7806.780,26.24,59.16,101075.68,0xb0,background
DATA,2026-02-02T11:48:35,2.536,0x77,31928.160,26.08,57.95,101075.38,0xb0,background
DATA,2026-02-02T11:48:35,2.766,0x76,8221.990,26.25,59.02,101070.40,0xb0,background
DATA,2026-02-02T11:48:35,2.766,0x77,34905.920,26.10,57.85,101077.87,0xb0,background
DATA,2026-02-02T11:48:35,3.001,0x76,8676.790,26.27,58.97,101071.59,0xb0,background
DATA,2026-02-02T11:48:35,3.001,0x77,37982.200,26.11,57.80,101077.77,0xb0,background
DATA,2026-02-02T11:48:35,3.232,0x76,9114.210,26.28,58.91,101072.87,0xb0,background
DATA,2026-02-02T11:48:36,3.232,0x77,40816.330,26.13,57.74,101073.57,0xb0,background
DATA,2026-02-02T11:48:36,3.463,0x76,9487.100,26.30,58.85,101070.16,0xb0,background
DATA,2026-02-02T11:48:36,3.463,0x77,43434.000,26.14,57.66,101073.46,0xb0,background
DATA,2026-02-02T11:48:36,3.694,0x76,9891.810,26.32,58.74,101068.77,0xb0,background
DATA,2026-02-02T11:48:36,3.694,0x77,45960.500,26.17,57.58,101077.23,0xb0,background
DATA,2026-02-02T11:48:36,3.924,0x76,10332.580,26.34,58.68,101066.06,0xb0,background
DATA,2026-02-02T11:48:36,3.924,0x77,48920.310,26.18,57.56,101073.05,0xb0,background
DATA,2026-02-02T11:48:36,4.155,0x76,10695.190,26.34,58.65,101072.57,0xb0,background
DATA,2026-02-02T11:48:36,4.155,0x77,51087.610,26.19,57.51,101074.34,0xb0,background
DATA,2026-02-02T11:48:37,4.385,0x76,11118.830,26.35,58.60,101075.14,0xb0,background
DATA,2026-02-02T11:48:37,4.385,0x77,53288.930,26.21,57.48,101074.12,0xb0,background
DATA,2026-02-02T11:48:37,4.616,0x76,11502.520,26.36,58.57,101067.24,0xb0,background
DATA,2026-02-02T11:48:37,4.616,0x77,55255.770,26.21,57.43,101074.12,0xb0,background
DATA,2026-02-02T11:48:37,4.846,0x76,12112.040,26.36,58.48,101069.86,0xb0,background
DATA,2026-02-02T11:48:37,4.846,0x77,57181.150,26.22,57.38,101078.00,0xb0,background
DATA,2026-02-02T11:48:37,5.077,0x76,12480.500,26.38,58.41,101071.09,0xb0,background
DATA,2026-02-02T11:48:37,5.077,0x77,58675.220,26.23,57.35,101080.59,0xb0,background
DATA,2026-02-02T11:48:38,5.308,0x76,12872.080,26.39,58.35,101067.14,0xb0,background
DATA,2026-02-02T11:48:38,5.308,0x77,60164.510,26.23,57.31,101075.20,0xb0,background
DATA,2026-02-02T11:48:38,5.538,0x76,13272.500,26.41,58.34,101072.27,0xb0,background
DATA,2026-02-02T11:48:38,5.538,0x77,61642.190,26.25,57.27,101075.10,0xb0,background
DATA,2026-02-02T11:48:38,5.769,0x76,13619.920,26.40,58.32,101068.38,0xb0,background
DATA,2026-02-02T11:48:38,5.769,0x77,63334.980,26.25,57.25,101072.41,0xb0,background
DATA,2026-02-02T11:48:38,5.999,0x76,14022.790,26.42,58.27,101069.61,0xb0,background
DATA,2026-02-02T11:48:38,5.999,0x77,64777.330,26.27,57.22,101081.56,0xb0,background
DATA,2026-02-02T11:48:38,6.230,0x76,14352.990,26.43,58.24,101072.17,0xb0,background
DATA,2026-02-02T11:48:39,6.230,0x77,65928.410,26.27,57.19,101076.18,0xb0,background
DATA,2026-02-02T11:48:39,6.460,0x76,14658.730,26.43,58.21,101070.84,0xb0,background
DATA,2026-02-02T11:48:39,6.460,0x77,66805.840,26.28,57.16,101076.07,0xb0,background
DATA,2026-02-02T11:48:39,6.691,0x76,15009.380,26.45,58.17,101072.07,0xb0,background
