row_type,wall_time,time_s,addr,gas_ohm,temp_C,hum_pct,press_Pa,status,label
DATA,2026-02-02T13:20:07,2.536,0x76,5684.850,26.81,54.51,100994.36,0xb0,air
DATA,2026-02-02T13:20:07,2.536,0x77,9129.810,26.45,54.67,100993.58,0xb0,air
DATA,2026-02-02T13:20:07,2.767,0x76,5684.850,26.85,54.41,101000.70,0xb0,air
DATA,2026-02-02T13:20:07,2.767,0x77,10433.650,26.48,54.59,100998.63,0xb0,air
DATA,2026-02-02T13:20:08,2.999,0x76,5684.850,26.86,54.37,100999.37,0xb0,air
DATA,2026-02-02T13:20:08,2.999,0x77,12112.040,26.49,54.52,100993.13,0xb0,air
DATA,2026-02-02T13:20:08,3.231,0x76,5684.850,26.88,54.32,101001.87,0xb0,air
DATA,2026-02-02T13:20:08,3.231,0x77,13507.810,26.50,54.46,100990.33,0xb0,air
DATA,2026-02-02T13:20:08,3.461,0x76,5684.850,26.88,54.24,101000.53,0xb0,air
DATA,2026-02-02T13:20:08,3.461,0x77,14894.110,26.53,54.41,100991.40,0xb0,air
DATA,2026-02-02T13:20:08,3.692,0x76,5684.850,26.91,54.20,100992.56,0xb0,air
DATA,2026-02-02T13:20:08,3.692,0x77,16194.330,26.54,54.34,100993.98,0xb0,air
DATA,2026-02-02T13:20:09,3.922,0x76,5684.850,26.92,54.14,101001.64,0xb0,air
DATA,2026-02-02T13:20:09,3.922,0x77,17626.000,26.56,54.29,100984.39,0xb0,air
DATA,2026-02-02T13:20:09,4.153,0x76,5684.850,26.94,54.09,100997.62,0xb0,air
DATA,2026-02-02T13:20:09,4.153,0x77,18906.940,26.57,54.23,100995.05,0xb0,air
DATA,2026-02-02T13:20:09,4.384,0x76,5684.850,26.95,54.01,101002.80,0xb0,air
DATA,2026-02-02T13:20:09,4.384,0x77,20272.410,26.58,54.20,100993.53,0xb0,air
DATA,2026-02-02T13:20:09,4.614,0x76,5684.850,26.95,54.00,100997.57,0xb0,air
DATA,2026-02-02T13:20:09,4.614,0x77,21498.150,26.60,54.17,100998.70,0xb0,air
DATA,2026-02-02T13:20:09,4.845,0x76,5684.850,26.96,53.97,100998.79,0xb0,air
DATA,2026-02-02T13:20:10,4.845,0x77,22759.600,26.60,54.11,100990.62,0xb0,air
DATA,2026-02-02T13:20:10,5.075,0x76,5684.850,26.98,53.94,101000.02,0xb0,air
DATA,2026-02-02T13:20:10,5.075,0x77,24362.390,26.61,54.05,100987.81,0xb0,air
DATA,2026-02-02T13:20:10,5.306,0x76,5684.850,26.99,53.87,101002.57,0xb0,air
DATA,2026-02-02T13:20:10,5.306,0x77,25543.800,26.62,54.02,100994.49,0xb0,air
DATA,2026-02-02T13:20:10,5.536,0x76,5684.850,26.99,53.85,100999.95,0xb0,air
DATA,2026-02-02T13:20:10,5.536,0x77,26711.190,26.63,54.01,100991.68,0xb0,air
DATA,2026-02-02T13:20:10,5.767,0x76,5684.850,27.00,53.78,100996.00,0xb0,air
DATA,2026-02-02T13:20:10,5.767,0x77,27917.120,26.63,53.97,100994.38,0xb0,air
DATA,2026-02-02T13:20:11,5.998,0x76,5684.850,27.02,53.77,101003.73,0xb0,air
DATA,2026-02-02T13:20:11,5.998,0x77,29117.380,26.64,53.95,100988.88,0xb0,air
DATA,2026-02-02T13:20:11,6.228,0x76,5684.850,27.02,53.74,101001.12,0xb0,air
DATA,2026-02-02T13:20:11,6.228,0x77,30295.860,26.65,53.91,100996.84,0xb0,air
DATA,2026-02-02T13:20:11,6.460,0x76,5918.250,26.99,53.69,100992.10,0xb0,air
DATA,2026-02-02T13:20:11,6.460,0x77,31411.040,26.65,53.85,100991.46,0xb0,air
DATA,2026-02-02T13:20:11,6.690,0x76,5971.260,27.01,53.66,100994.60,0xb0,air
DATA,2026-02-02T13:20:11,6.690,0x77,32586.560,26.66,53.86,100991.34,0xb0,air
DATA,2026-02-02T13:20:12,6.921,0x76,6182.380,27.01,53.61,100990.70,0xb0,air
DATA,2026-02-02T13:20:12,6.921,0x77,33534.190,26.67,53.83,100989.94,0xb0,air
DATA,2026-02-02T13:20:12,7.151,0x76,6374.500,27.01,53.60,100989.36,0xb0,air
DATA,2026-02-02T13:20:12,7.151,0x77,34735.410,26.68,53.79,100991.12,0xb0,air
DATA,2026-02-02T13:20:12,7.382,0x76,6587.070,27.02,53.60,100991.92,0xb0,air
DATA,2026-02-02T13:20:12,7.382,0x77,35844.300,26.69,53.77,100997.80,0xb0,air
DATA,2026-02-02T13:20:12,7.612,0x76,6783.970,27.02,53.57,100994.54,0xb0,air
DATA,2026-02-02T13:20:12,7.612,0x77,36930.180,26.70,53.74,100994.99,0xb0,air
DATA,2026-02-02T13:20:12,7.843,0x76,6961.060,27.04,53.55,100998.38,0xb0,air
DATA,2026-02-02T13:20:13,7.843,0x77,37914.690,26.70,53.73,100992.30,0xb0,air
DATA,2026-02-02T13:20:13,8.074,0x76,7166.850,27.04,53.53,100987.91,0xb0,air
DATA,2026-02-02T13:20:13,8.074,0x77,38882.140,26.70,53.69,100993.59,0xb0,air
DATA,2026-02-02T13:20:13,8.304,0x76,7354.630,27.04,53.50,100987.91,0xb0,air
DATA,2026-02-02T13:20:13,8.304,0x77,39937.600,26.71,53.69,100992.18,0xb0,air
DATA,2026-02-02T13:20:13,8.535,0x76,7563.220,27.06,53.48,100989.12,0xb0,air
DATA,2026-02-02T13:20:13,8.535,0x77,40660.740,26.71,53.67,100993.48,0xb0,air
DATA,2026-02-02T13:20:13,8.766,0x76,7761.340,27.05,53.41,100987.84,0xb0,air
DATA,2026-02-02T13:20:13,8.766,0x77,41734.590,26.72,53.64,100994.77,0xb0,air
DATA,2026-02-02T13:20:14,8.996,0x76,7934.540,27.06,53.40,100982.55,0xb0,air
DATA,2026-02-02T13:20:14,8.996,0x77,42567.340,26.74,53.61,100998.63,0xb0,air
DATA,2026-02-02T13:20:14,9.229,0x76,8121.830,27.06,53.42,100983.89,0xb0,air
DATA,2026-02-02T13:20:14,9.229,0x77,43611.590,26.72,53.60,100993.36,0xb0,air
DATA,2026-02-02T13:20:14,9.463,0x76,8311.690,27.07,53.39,100986.45,0xb0,air
DATA,2026-02-02T13:20:14,9.463,0x77,44382.800,26.72,53.58,100993.36,0xb0,air
DATA,2026-02-02T13:20:14,9.694,0x76,8497.080,27.08,53.36,100990.29,0xb0,air
DATA,2026-02-02T13:20:14,9.694,0x77,45277.680,26.74,53.55,100991.84,0xb0,air
DATA,2026-02-02T13:20:15,9.924,0x76,8676.790,27.09,53.36,100990.23,0xb0,air
DATA,2026-02-02T13:20:15,9.924,0x77,46010.070,26.75,53.52,100994.42,0xb0,air
DATA,2026-02-02T13:20:15,10.155,0x76,8901.250,27.10,53.36,100986.27,0xb0,air
DATA,2026-02-02T13:20:15,10.155,0x77,47877.310,26.76,53.52,100993.02,0xb0,air
DATA,2026-02-02T13:20:15,10.386,0x76,9052.330,27.10,53.34,100988.88,0xb0,air
DATA,2026-02-02T13:20:15,10.386,0x77,48669.200,26.76,53.50,100994.30,0xb0,air
DATA,2026-02-02T13:20:15,10.616,0x76,9280.740,27.10,53.30,100986.27,0xb0,air
DATA,2026-02-02T13:20:15,10.616,0x77,49487.730,26.77,53.50,100990.21,0xb0,air
DATA,2026-02-02T13:20:15,10.847,0x76,9436.740,27.11,53.26,100983.59,0xb0,air
DATA,2026-02-02T13:20:16,10.847,0x77,50304.580,26.77,53.49,100990.21,0xb0,air
DATA,2026-02-02T13:20:16,11.080,0x76,9606.720,27.11,53.28,100986.21,0xb0,air
DATA,2026-02-02T13:20:16,11.080,0x77,51179.530,26.77,53.48,100991.50,0xb0,air
DATA,2026-02-02T13:20:16,11.312,0x76,9791.920,27.11,53.24,100986.21,0xb0,air
DATA,2026-02-02T13:20:16,11.312,0x77,51832.360,26.77,53.46,100999.59,0xb0,air
DATA,2026-02-02T13:20:16,11.544,0x76,9937.890,27.11,53.22,100982.25,0xb0,air
DATA,2026-02-02T13:20:16,11.544,0x77,52599.140,26.77,53.44,100991.50,0xb0,air
DATA,2026-02-02T13:20:16,11.777,0x76,10145.850,27.11,53.20,100987.48,0xb0,air
DATA,2026-02-02T13:20:16,11.777,0x77,53322.220,26.78,53.41,100996.77,0xb0,air
DATA,2026-02-02T13:20:17,12.009,0x76,10282.780,27.13,53.21,100986.09,0xb0,air
DATA,2026-02-02T13:20:17,12.009,0x77,54306.320,26.78,53.39,100994.08,0xb0,air
DATA,2026-02-02T13:20:17,12.242,0x76,10454.100,27.13,53.15,100988.70,0xb0,air
DATA,2026-02-02T13:20:17,12.242,0x77,54971.010,26.80,53.40,100995.26,0xb0,air
DATA,2026-02-02T13:20:17,12.472,0x76,10631.230,27.14,53.17,100986.02,0xb0,air
DATA,2026-02-02T13:20:17,12.472,0x77,55797.730,26.79,53.38,100992.68,0xb0,air
DATA,2026-02-02T13:20:17,12.705,0x76,10814.460,27.15,53.12,100995.16,0xb0,air
DATA,2026-02-02T13:20:17,12.705,0x77,56239.020,26.79,53.34,100995.37,0xb0,air
DATA,2026-02-02T13:20:18,12.938,0x76,10981.470,27.15,53.10,100988.59,0xb0,air
