row_type,wall_time,time_s,addr,gas_ohm,temp_C,hum_pct,press_Pa,status,label
DATA,2026-02-03T10:28:29,2.536,0x76,5684.850,26.43,67.03,100879.90,0xb0,background
DATA,2026-02-03T10:28:29,2.536,0x77,19601.840,26.27,72.16,100879.70,0xb0,background
DATA,2026-02-03T10:28:29,2.767,0x76,5684.850,26.46,66.97,100878.45,0xb0,background
DATA,2026-02-03T10:28:29,2.767,0x77,22053.760,26.29,71.98,100884.86,0xb0,background
DATA,2026-02-03T10:28:29,3.003,0x76,5684.850,26.49,66.87,100882.24,0xb0,background
DATA,2026-02-03T10:28:29,3.003,0x77,24888.200,26.29,71.84,100884.86,0xb0,background
DATA,2026-02-03T10:28:29,3.234,0x76,5684.850,26.49,66.80,100886.13,0xb0,background
DATA,2026-02-03T10:28:29,3.234,0x77,27118.640,26.31,71.64,100877.97,0xb0,background
DATA,2026-02-03T10:28:30,3.464,0x76,5684.850,26.50,66.72,100873.00,0xb0,background
DATA,2026-02-03T10:28:30,3.464,0x77,29499.880,26.33,71.50,100885.82,0xb0,background
DATA,2026-02-03T10:28:30,3.695,0x76,5746.090,26.52,66.64,100880.73,0xb0,background
DATA,2026-02-03T10:28:30,3.695,0x77,31785.450,26.34,71.33,100883.02,0xb0,background
DATA,2026-02-03T10:28:30,3.925,0x76,6083.650,26.51,66.60,100875.56,0xb0,background
DATA,2026-02-03T10:28:30,3.925,0x77,34151.550,26.35,71.14,100877.52,0xb0,background
DATA,2026-02-03T10:28:30,4.156,0x76,6225.680,26.52,66.55,100875.51,0xb0,background
DATA,2026-02-03T10:28:30,4.156,0x77,36270.900,26.36,71.01,100880.10,0xb0,background
DATA,2026-02-03T10:28:31,4.387,0x76,6494.820,26.54,66.51,100872.84,0xb0,background
DATA,2026-02-03T10:28:31,4.387,0x77,38288.960,26.37,70.87,100879.99,0xb0,background
DATA,2026-02-03T10:28:31,4.617,0x76,6771.050,26.54,66.47,100876.73,0xb0,background
DATA,2026-02-03T10:28:31,4.617,0x77,40276.900,26.39,70.72,100886.55,0xb0,background
DATA,2026-02-03T10:28:31,4.848,0x76,7039.160,26.55,66.39,100866.21,0xb0,background
DATA,2026-02-03T10:28:31,4.848,0x77,42314.050,26.38,70.57,100874.49,0xb0,background
DATA,2026-02-03T10:28:31,5.080,0x76,7359.710,26.56,66.34,100871.38,0xb0,background
DATA,2026-02-03T10:28:31,5.080,0x77,44107.510,26.40,70.42,100879.66,0xb0,background
DATA,2026-02-03T10:28:31,5.310,0x76,7600.950,26.57,66.28,100868.71,0xb0,background
DATA,2026-02-03T10:28:32,5.310,0x77,45911.050,26.40,70.24,100874.27,0xb0,background
DATA,2026-02-03T10:28:32,5.541,0x76,7841.220,26.58,66.23,100872.61,0xb0,background
DATA,2026-02-03T10:28:32,5.541,0x77,48586.070,26.42,70.12,100878.14,0xb0,background
DATA,2026-02-03T10:28:32,5.771,0x76,8103.320,26.58,66.19,100868.66,0xb0,background
DATA,2026-02-03T10:28:32,5.771,0x77,50068.450,26.41,69.97,100871.46,0xb0,background
DATA,2026-02-03T10:28:32,6.002,0x76,8363.830,26.59,66.16,100865.98,0xb0,background
DATA,2026-02-03T10:28:32,6.002,0x77,51958.590,26.43,69.79,100880.72,0xb0,background
DATA,2026-02-03T10:28:32,6.233,0x76,8613.730,26.60,66.10,100867.26,0xb0,background
DATA,2026-02-03T10:28:32,6.233,0x77,53590.120,26.43,69.72,100886.10,0xb0,background
DATA,2026-02-03T10:28:33,6.464,0x76,8908.690,26.62,66.09,100869.76,0xb0,background
DATA,2026-02-03T10:28:33,6.464,0x77,55113.020,26.43,69.59,100876.62,0xb0,background
DATA,2026-02-03T10:28:33,6.694,0x76,9145.470,26.63,66.01,100865.80,0xb0,background
DATA,2026-02-03T10:28:33,6.694,0x77,56762.750,26.45,69.50,100883.19,0xb0,background
DATA,2026-02-03T10:28:33,6.927,0x76,9386.920,26.63,65.97,100868.42,0xb0,background
DATA,2026-02-03T10:28:33,6.927,0x77,58195.040,26.45,69.37,100880.49,0xb0,background
DATA,2026-02-03T10:28:33,7.160,0x76,9641.460,26.64,65.93,100870.98,0xb0,background
DATA,2026-02-03T10:28:33,7.160,0x77,59576.450,26.45,69.32,100875.11,0xb0,background
DATA,2026-02-03T10:28:34,7.392,0x76,9855.250,26.64,65.90,100868.37,0xb0,background
DATA,2026-02-03T10:28:34,7.392,0x77,60721.060,26.47,69.25,100884.36,0xb0,background
DATA,2026-02-03T10:28:34,7.622,0x76,10136.210,26.66,65.85,100873.48,0xb0,background
DATA,2026-02-03T10:28:34,7.622,0x77,62135.920,26.48,69.28,100881.55,0xb0,background
DATA,2026-02-03T10:28:34,7.853,0x76,10372.770,26.66,65.78,100865.63,0xb0,background
DATA,2026-02-03T10:28:34,7.853,0x77,63618.290,26.48,69.36,100880.16,0xb0,background
DATA,2026-02-03T10:28:34,8.084,0x76,10589.010,26.67,65.79,100868.20,0xb0,background
DATA,2026-02-03T10:28:34,8.084,0x77,64728.190,26.48,69.45,100882.84,0xb0,background
DATA,2026-02-03T10:28:34,8.314,0x76,10770.780,26.68,65.75,100873.37,0xb0,background
DATA,2026-02-03T10:28:35,8.314,0x77,65826.690,26.49,69.50,100881.45,0xb0,background
DATA,2026-02-03T10:28:35,8.547,0x76,11026.880,26.66,65.72,100866.91,0xb0,background
DATA,2026-02-03T10:28:35,8.547,0x77,66805.840,26.49,69.53,100880.04,0xb0,background
DATA,2026-02-03T10:28:35,8.779,0x76,11247.800,26.67,65.68,100869.48,0xb0,background
DATA,2026-02-03T10:28:35,8.779,0x77,67976.630,26.48,69.53,100874.77,0xb0,background
DATA,2026-02-03T10:28:35,9.012,0x76,11465.420,26.68,65.66,100865.52,0xb0,background
DATA,2026-02-03T10:28:35,9.012,0x77,68577.550,26.50,69.54,100878.63,0xb0,background
DATA,2026-02-03T10:28:35,9.244,0x76,11691.630,26.69,65.61,100864.18,0xb0,background
DATA,2026-02-03T10:28:35,9.244,0x77,69983.590,26.50,69.55,100877.23,0xb0,background
DATA,2026-02-03T10:28:36,9.476,0x76,12112.040,26.69,65.60,100869.41,0xb0,background
DATA,2026-02-03T10:28:36,9.476,0x77,71269.480,26.51,69.57,100873.14,0xb0,background
DATA,2026-02-03T10:28:36,9.706,0x76,12321.910,26.70,65.58,100861.51,0xb0,background
DATA,2026-02-03T10:28:36,9.706,0x77,72173.660,26.51,69.55,100877.12,0xb0,background
DATA,2026-02-03T10:28:36,9.939,0x76,12539.180,26.70,65.56,100865.41,0xb0,background
DATA,2026-02-03T10:28:36,9.939,0x77,72789.310,26.52,69.49,100878.41,0xb0,background
DATA,2026-02-03T10:28:36,10.172,0x76,12733.780,26.70,65.50,100868.02,0xb0,background
DATA,2026-02-03T10:28:36,10.172,0x77,73605.520,26.52,69.49,100878.41,0xb0,background
DATA,2026-02-03T10:28:37,10.404,0x76,12950.220,26.72,65.46,100874.48,0xb0,background
DATA,2026-02-03T10:28:37,10.404,0x77,74700.910,26.52,69.45,100874.31,0xb0,background
DATA,2026-02-03T10:28:37,10.634,0x76,13141.680,26.73,65.45,100871.80,0xb0,background
DATA,2026-02-03T10:28:37,10.634,0x77,75762.060,26.53,69.49,100875.60,0xb0,background
DATA,2026-02-03T10:28:37,10.865,0x76,13313.920,26.73,65.45,100874.41,0xb0,background
DATA,2026-02-03T10:28:37,10.865,0x77,76304.020,26.53,69.47,100879.59,0xb0,background
DATA,2026-02-03T10:28:37,11.096,0x76,13499.260,26.73,65.42,100873.08,0xb0,background
DATA,2026-02-03T10:28:37,11.096,0x77,77062.010,26.55,69.44,100876.78,0xb0,background
DATA,2026-02-03T10:28:37,11.328,0x76,13689.840,26.73,65.34,100865.23,0xb0,background
DATA,2026-02-03T10:28:38,11.328,0x77,77835.210,26.55,69.42,100879.47,0xb0,background
DATA,2026-02-03T10:28:38,11.558,0x76,13986.010,26.74,65.36,100873.02,0xb0,background
DATA,2026-02-03T10:28:38,11.558,0x77,78987.970,26.57,69.39,100879.24,0xb0,background
DATA,2026-02-03T10:28:38,11.789,0x76,14078.310,26.75,65.34,100869.06,0xb0,background
DATA,2026-02-03T10:28:38,11.789,0x77,79725.950,26.56,69.37,100886.03,0xb0,background
DATA,2026-02-03T10:28:38,12.020,0x76,14314.470,26.76,65.29,100863.77,0xb0,background
DATA,2026-02-03T10:28:38,12.020,0x77,80326.330,26.56,69.34,100883.34,0xb0,background
DATA,2026-02-03T10:28:38,12.250,0x76,14499.320,26.77,65.30,100872.91,0xb0,background
DATA,2026-02-03T10:28:38,12.250,0x77,81321.480,26.57,69.32,100880.53,0xb0,background
DATA,2026-02-03T10:28:39,12.481,0x76,14678.900,26.78,65.26,100872.84,0xb0,background
DATA,2026-02-03T10:28:39,12.481,0x77,82182.980,26.57,69.25,100880.53,0xb0,background
DATA,2026-02-03T10:28:39,12.711,0x76,14842.300,26.77,65.24,100868.95,0xb0,background
DATA,2026-02-03T10:28:39,12.711,0x77,82740.790,26.58,69.21,100885.80,0xb0,background
DATA,2026-02-03T10:28:39,12.942,0x76,15030.530,26.78,65.24,100868.89,0xb0,background
DATA,2026-02-03T10:28:39,12.942,0x77,83224.970,26.59,69.19,100880.30,0xb0,background
DATA,2026-02-03T10:28:39,13.175,0x76,15158.690,26.78,65.19,100868.89,0xb0,background
DATA,2026-02-03T10:28:39,13.175,0x77,83714.840,26.59,69.14,100881.70,0xb0,background
DATA,2026-02-03T10:28:40,13.407,0x76,15333.010,26.78,65.18,100866.27,0xb0,background
DATA,2026-02-03T10:28:40,13.407,0x77,84377.060,26.60,69.12,100886.98,0xb0,background
DATA,2026-02-03T10:28:40,13.640,0x76,15511.390,26.79,65.19,100872.79,0xb0,background
DATA,2026-02-03T10:28:40,13.640,0x77,85134.690,26.58,69.06,100877.73,0xb0,background
DATA,2026-02-03T10:28:40,13.870,0x76,15590.740,26.79,65.15,100871.45,0xb0,background
DATA,2026-02-03T10:28:40,13.870,0x77,85906.040,26.59,69.03,100880.30,0xb0,background
DATA,2026-02-03T10:28:40,14.103,0x76,15845.510,26.80,65.11,100872.73,0xb0,background
DATA,2026-02-03T10:28:40,14.103,0x77,86779.660,26.60,68.99,100882.88,0xb0,background
DATA,2026-02-03T10:28:40,14.336,0x76,15988.010,26.80,65.11,100874.01,0xb0,background
DATA,2026-02-03T10:28:41,14.336,0x77,87223.170,26.60,68.95,100881.59,0xb0,background
DATA,2026-02-03T10:28:41,14.567,0x76,16108.730,26.80,65.06,100874.01,0xb0,background
DATA,2026-02-03T10:28:41,14.567,0x77,87851.750,26.60,68.89,100878.90,0xb0,background
DATA,2026-02-03T10:28:41,14.798,0x76,16280.840,26.81,65.03,100872.66,0xb0,background
DATA,2026-02-03T10:28:41,14.798,0x77,88397.790,26.62,68.86,100884.05,0xb0,background
DATA,2026-02-03T10:28:41,15.029,0x76,16482.100,26.81,65.05,100871.33,0xb0,background
DATA,2026-02-03T10:28:41,15.029,0x77,89043.480,26.61,68.81,100876.09,0xb0,background
DATA,2026-02-03T10:28:41,15.259,0x76,16546.020,26.83,65.00,100875.16,0xb0,background
DATA,2026-02-03T10:28:41,15.259,0x77,89793.050,26.62,68.78,100888.04,0xb0,background
DATA,2026-02-03T10:28:42,15.492,0x76,16662.330,26.83,64.98,100872.55,0xb0,background
DATA,2026-02-03T10:28:42,15.492,0x77,89982.420,26.61,68.76,100882.77,0xb0,background
DATA,2026-02-03T10:28:42,15.723,0x76,16846.540,26.84,64.99,100873.83,0xb0,background
DATA,2026-02-03T10:28:42,15.723,0x77,90555.360,26.62,68.70,100888.04,0xb0,background
DATA,2026-02-03T10:28:42,15.955,0x76,17048.480,26.84,64.94,100876.45,0xb0,background
DATA,2026-02-03T10:28:42,15.955,0x77,91428.570,26.63,68.70,100881.25,0xb0,background
DATA,2026-02-03T10:28:42,16.188,0x76,17130.620,26.83,64.95,100867.31,0xb0,background
DATA,2026-02-03T10:28:42,16.188,0x77,91921.010,26.64,68.66,100882.54,0xb0,background
DATA,2026-02-03T10:28:43,16.418,0x76,17241.380,26.85,64.94,100875.05,0xb0,background
DATA,2026-02-03T10:28:43,16.418,0x77,93962.200,26.64,68.62,100882.54,0xb0,background
DATA,2026-02-03T10:28:43,16.651,0x76,17283.280,26.85,64.92,100871.15,0xb0,background
DATA,2026-02-03T10:28:43,16.651,0x77,94065.770,26.63,68.59,100878.55,0xb0,background
DATA,2026-02-03T10:28:43,16.884,0x76,17481.560,26.85,64.86,100872.43,0xb0,background
DATA,2026-02-03T10:28:43,16.884,0x77,94169.580,26.64,68.53,100883.83,0xb0,background
DATA,2026-02-03T10:28:43,17.116,0x76,17596.920,26.86,64.90,100877.60,0xb0,background
DATA,2026-02-03T10:28:43,17.116,0x77,95433.370,26.65,68.50,100885.12,0xb0,background
DATA,2026-02-03T10:28:43,17.348,0x76,17713.810,26.87,64.86,100873.65,0xb0,background
DATA,2026-02-03T10:28:44,17.348,0x77,95380.030,26.65,68.44,100879.73,0xb0,background
DATA,2026-02-03T10:28:44,17.578,0x76,17922.150,26.87,64.80,100872.31,0xb0,background
DATA,2026-02-03T10:28:44,17.578,0x77,96567.340,26.66,68.39,100887.70,0xb0,background
DATA,2026-02-03T10:28:44,17.811,0x76,18012.950,26.87,64.83,100876.27,0xb0,background
DATA,2026-02-03T10:28:44,17.811,0x77,96676.730,26.65,68.37,100882.42,0xb0,background
DATA,2026-02-03T10:28:44,18.044,0x76,18089.320,26.87,64.77,100872.31,0xb0,background
DATA,2026-02-03T10:28:44,18.044,0x77,96951.340,26.66,68.34,100879.62,0xb0,background
DATA,2026-02-03T10:28:44,18.276,0x76,18212.860,26.88,64.79,100873.59,0xb0,background
DATA,2026-02-03T10:28:44,18.276,0x77,97282.920,26.66,68.28,100882.30,0xb0,background
DATA,2026-02-03T10:28:45,18.508,0x76,18353.890,26.87,64.75,100872.31,0xb0,background
DATA,2026-02-03T10:28:45,18.508,0x77,98009.190,26.66,68.24,100886.29,0xb0,background
DATA,2026-02-03T10:28:45,18.740,0x76,18433.180,26.88,64.75,100869.63,0xb0,background
DATA,2026-02-03T10:28:45,18.740,0x77,97952.940,26.66,68.19,100883.59,0xb0,background
DATA,2026-02-03T10:28:45,18.970,0x76,18545.350,26.89,64.72,100872.19,0xb0,background
DATA,2026-02-03T10:28:45,18.970,0x77,98975.450,26.67,68.13,100878.09,0xb0,background
DATA,2026-02-03T10:28:45,19.202,0x76,18513.160,26.90,64.73,100873.47,0xb0,background
DATA,2026-02-03T10:28:45,19.202,0x77,99090.380,26.67,68.10,100876.80,0xb0,background
DATA,2026-02-03T10:28:46,19.433,0x76,18740.850,26.89,64.72,100872.19,0xb0,background
DATA,2026-02-03T10:28:46,19.433,0x77,99843.990,26.67,68.06,100878.09,0xb0,background
DATA,2026-02-03T10:28:46,19.664,0x76,18840.150,26.89,64.71,100869.57,0xb0,background
DATA,2026-02-03T10:28:46,19.664,0x77,99843.990,26.68,68.02,100880.67,0xb0,background
DATA,2026-02-03T10:28:46,19.894,0x76,19058.960,26.91,64.69,100869.51,0xb0,background
DATA,2026-02-03T10:28:46,19.894,0x77,100431.540,26.68,67.99,100879.38,0xb0,background
DATA,2026-02-03T10:28:46,20.127,0x76,19127.320,26.89,64.65,100869.57,0xb0,background
DATA,2026-02-03T10:28:46,20.127,0x77,100490.680,26.68,67.97,100880.67,0xb0,background
DATA,2026-02-03T10:28:46,20.360,0x76,19093.080,26.91,64.65,100874.75,0xb0,background
DATA,2026-02-03T10:28:47,20.360,0x77,101386.140,26.68,67.94,100882.08,0xb0,background
DATA,2026-02-03T10:28:47,20.592,0x76,19230.770,26.92,64.61,100872.07,0xb0,background
DATA,2026-02-03T10:28:47,20.592,0x77,101809.510,26.68,67.95,100877.98,0xb0,background
DATA,2026-02-03T10:28:47,20.824,0x76,19476.570,26.92,64.61,100869.45,0xb0,background
DATA,2026-02-03T10:28:47,20.824,0x77,101992.030,26.69,67.94,100876.57,0xb0,background
DATA,2026-02-03T10:28:47,21.056,0x76,19476.570,26.93,64.55,100874.62,0xb0,background
DATA,2026-02-03T10:28:47,21.056,0x77,102297.700,26.69,67.93,100884.66,0xb0,background
DATA,2026-02-03T10:28:47,21.286,0x76,19512.200,26.92,64.55,100868.11,0xb0,background
DATA,2026-02-03T10:28:47,21.286,0x77,102053.020,26.70,67.91,100884.54,0xb0,background
DATA,2026-02-03T10:28:48,21.517,0x76,19583.840,26.93,64.53,100872.01,0xb0,background
DATA,2026-02-03T10:28:48,21.517,0x77,102420.480,26.70,67.91,100883.13,0xb0,background
DATA,2026-02-03T10:28:48,21.747,0x76,19765.290,26.94,64.52,100869.33,0xb0,background
DATA,2026-02-03T10:28:48,21.747,0x77,103038.840,26.70,67.92,100873.77,0xb0,background
DATA,2026-02-03T10:28:48,21.978,0x76,19931.490,26.95,64.49,100869.27,0xb0,background
DATA,2026-02-03T10:28:48,21.978,0x77,103288.280,26.70,67.95,100877.75,0xb0,background
DATA,2026-02-03T10:28:48,22.208,0x76,19894.310,26.94,64.51,100867.99,0xb0,background
DATA,2026-02-03T10:28:48,22.208,0x77,104043.890,26.71,67.97,100884.42,0xb0,background
DATA,2026-02-03T10:28:49,22.440,0x76,19987.510,26.95,64.49,100877.12,0xb0,background
DATA,2026-02-03T10:28:49,22.440,0x77,103727.710,26.71,68.06,100880.33,0xb0,background
DATA,2026-02-03T10:28:49,22.672,0x76,20043.850,26.94,64.46,100866.71,0xb0,background
DATA,2026-02-03T10:28:49,22.672,0x77,103413.450,26.71,68.19,100881.73,0xb0,background
DATA,2026-02-03T10:28:49,22.902,0x76,20195.640,26.95,64.44,100874.50,0xb0,background
DATA,2026-02-03T10:28:49,22.902,0x77,103853.950,26.74,68.34,100888.17,0xb0,background
DATA,2026-02-03T10:28:49,23.135,0x76,20214.780,26.96,64.42,100874.45,0xb0,background
DATA,2026-02-03T10:28:49,23.135,0x77,103664.710,26.72,68.46,100880.21,0xb0,background
DATA,2026-02-03T10:28:49,23.368,0x76,20349.760,26.96,64.41,100870.48,0xb0,background
DATA,2026-02-03T10:28:50,23.368,0x77,104234.530,26.72,68.56,100880.21,0xb0,background
DATA,2026-02-03T10:28:50,23.600,0x76,20408.160,26.96,64.41,100875.72,0xb0,background
DATA,2026-02-03T10:28:50,23.600,0x77,103980.500,26.72,68.62,100885.59,0xb0,background
DATA,2026-02-03T10:28:50,23.830,0x76,20585.400,26.97,64.42,100874.38,0xb0,background
DATA,2026-02-03T10:28:50,23.830,0x77,104875.050,26.74,68.68,100884.08,0xb0,background
DATA,2026-02-03T10:28:50,24.063,0x76,20625.200,26.97,64.35,100871.77,0xb0,background
DATA,2026-02-03T10:28:50,24.063,0x77,104682.070,26.72,68.70,100877.52,0xb0,background
DATA,2026-02-03T10:28:50,24.297,0x76,20625.200,26.97,64.38,100879.62,0xb0,background
DATA,2026-02-03T10:28:50,24.297,0x77,105004.100,26.74,68.68,100890.87,0xb0,background
DATA,2026-02-03T10:28:51,24.530,0x76,20705.270,26.97,64.36,100875.66,0xb0,background
DATA,2026-02-03T10:28:51,24.530,0x77,105719.590,26.74,68.67,100881.38,0xb0,background
DATA,2026-02-03T10:28:51,24.761,0x76,20806.240,26.97,64.31,100873.04,0xb0,background
DATA,2026-02-03T10:28:51,24.761,0x77,105785.120,26.74,68.61,100884.08,0xb0,background
DATA,2026-02-03T10:28:51,24.992,0x76,20887.730,26.99,64.30,100874.26,0xb0,background
DATA,2026-02-03T10:28:51,24.992,0x77,106378.550,26.75,68.64,100885.37,0xb0,background
DATA,2026-02-03T10:28:51,25.222,0x76,20949.260,27.00,64.30,100872.92,0xb0,background
DATA,2026-02-03T10:28:51,25.222,0x77,106511.340,26.75,68.62,100886.66,0xb0,background
DATA,2026-02-03T10:28:52,25.453,0x76,20969.860,27.00,64.27,100872.92,0xb0,background
DATA,2026-02-03T10:28:52,25.453,0x77,106378.550,26.75,68.63,100879.98,0xb0,background
DATA,2026-02-03T10:28:52,25.683,0x76,21115.140,27.00,64.27,100872.92,0xb0,background
DATA,2026-02-03T10:28:52,25.683,0x77,106777.890,26.75,68.72,100881.27,0xb0,background
DATA,2026-02-03T10:28:52,25.914,0x76,21199.070,27.00,64.26,100871.58,0xb0,background
DATA,2026-02-03T10:28:52,25.914,0x77,106312.290,26.77,68.75,100887.83,0xb0,background
DATA,2026-02-03T10:28:52,26.147,0x76,21199.070,27.00,64.24,100871.58,0xb0,background
DATA,2026-02-03T10:28:52,26.147,0x77,106246.110,26.76,68.80,100881.15,0xb0,background
DATA,2026-02-03T10:28:53,26.379,0x76,21241.290,27.00,64.23,100875.54,0xb0,background
DATA,2026-02-03T10:28:53,26.379,0x77,106777.890,26.76,68.88,100881.15,0xb0,background
DATA,2026-02-03T10:28:53,26.612,0x76,21347.560,27.01,64.20,100872.86,0xb0,background
DATA,2026-02-03T10:28:53,26.612,0x77,106711.130,26.76,68.97,100881.15,0xb0,background
DATA,2026-02-03T10:28:53,26.844,0x76,21454.910,27.01,64.19,100878.09,0xb0,background
DATA,2026-02-03T10:28:53,26.844,0x77,107045.790,26.77,68.97,100889.12,0xb0,background
DATA,2026-02-03T10:28:53,27.074,0x76,21476.510,27.01,64.17,100868.90,0xb0,background
