row_type,wall_time,time_s,addr,gas_ohm,temp_C,hum_pct,press_Pa,status,label
DATA,2026-02-03T09:53:59,2.537,0x76,10803.510,26.71,66.30,100857.49,0xb0,background
DATA,2026-02-03T09:53:59,2.537,0x77,57489.330,26.36,68.95,100858.56,0xb0,background
DATA,2026-02-03T09:53:59,2.767,0x76,11379.800,26.74,66.24,100859.94,0xb0,background
DATA,2026-02-03T09:53:59,2.767,0x77,61553.260,26.38,68.87,100866.41,0xb0,background
DATA,2026-02-03T09:53:59,2.998,0x76,12070.920,26.76,66.17,100852.02,0xb0,background
DATA,2026-02-03T09:53:59,2.998,0x77,65322.790,26.40,68.72,100868.88,0xb0,background
DATA,2026-02-03T09:53:59,3.231,0x76,12576.140,26.77,66.08,100851.96,0xb0,background
DATA,2026-02-03T09:54:00,3.231,0x77,68743.290,26.41,68.61,100864.79,0xb0,background
DATA,2026-02-03T09:54:00,3.463,0x76,13045.250,26.79,66.05,100851.84,0xb0,background
DATA,2026-02-03T09:54:00,3.463,0x77,71748.880,26.43,68.53,100867.26,0xb0,background
DATA,2026-02-03T09:54:00,3.693,0x76,13533.520,26.79,65.95,100855.74,0xb0,background
DATA,2026-02-03T09:54:00,3.693,0x77,74505.240,26.44,68.44,100859.06,0xb0,background
DATA,2026-02-03T09:54:00,3.924,0x76,13940.320,26.80,65.87,100855.68,0xb0,background
DATA,2026-02-03T09:54:00,3.924,0x77,77201.450,26.45,68.36,100861.65,0xb0,background
DATA,2026-02-03T09:54:00,4.155,0x76,14469.820,26.82,65.85,100855.56,0xb0,background
DATA,2026-02-03T09:54:00,4.155,0x77,79429.100,26.46,68.29,100860.24,0xb0,background
DATA,2026-02-03T09:54:01,4.385,0x76,14862.980,26.84,65.77,100855.50,0xb0,background
DATA,2026-02-03T09:54:01,4.385,0x77,81399.050,26.47,68.20,100866.80,0xb0,background
DATA,2026-02-03T09:54:01,4.616,0x76,15322.000,26.85,65.74,100858.06,0xb0,background
DATA,2026-02-03T09:54:01,4.616,0x77,83224.970,26.48,68.16,100869.38,0xb0,background
DATA,2026-02-03T09:54:01,4.846,0x76,15740.290,26.85,65.74,100859.34,0xb0,background
DATA,2026-02-03T09:54:01,4.846,0x77,85304.900,26.48,68.11,100872.08,0xb0,background
DATA,2026-02-03T09:54:01,5.077,0x76,16182.050,26.86,65.69,100855.38,0xb0,background
DATA,2026-02-03T09:54:01,5.077,0x77,86428.090,26.49,68.02,100861.19,0xb0,background
DATA,2026-02-03T09:54:02,5.307,0x76,16482.100,26.86,65.61,100854.05,0xb0,background
DATA,2026-02-03T09:54:02,5.307,0x77,88215.020,26.50,67.98,100859.79,0xb0,background
DATA,2026-02-03T09:54:02,5.538,0x76,16833.250,26.88,65.54,100857.88,0xb0,background
DATA,2026-02-03T09:54:02,5.538,0x77,89982.420,26.51,67.94,100863.66,0xb0,background
DATA,2026-02-03T09:54:02,5.769,0x76,17227.460,26.89,65.50,100855.20,0xb0,background
DATA,2026-02-03T09:54:02,5.769,0x77,90747.960,26.51,67.86,100865.06,0xb0,background
DATA,2026-02-03T09:54:02,6.000,0x76,17495.900,26.89,65.47,100855.20,0xb0,background
DATA,2026-02-03T09:54:02,6.000,0x77,92020.130,26.52,67.86,100864.95,0xb0,background
DATA,2026-02-03T09:54:02,6.231,0x76,17847.180,26.90,65.41,100849.91,0xb0,background
DATA,2026-02-03T09:54:02,6.231,0x77,94325.720,26.53,67.80,100867.52,0xb0,background
DATA,2026-02-03T09:54:03,6.461,0x76,18089.320,26.91,65.37,100851.18,0xb0,background
DATA,2026-02-03T09:54:03,6.461,0x77,95326.760,26.53,67.76,100866.12,0xb0,background
DATA,2026-02-03T09:54:03,6.694,0x76,18465.090,26.92,65.36,100856.36,0xb0,background
DATA,2026-02-03T09:54:03,6.694,0x77,95700.940,26.53,67.74,100863.43,0xb0,background
DATA,2026-02-03T09:54:03,6.928,0x76,18790.370,26.91,65.32,100855.08,0xb0,background
DATA,2026-02-03T09:54:03,6.928,0x77,96841.310,26.53,67.68,100863.43,0xb0,background
DATA,2026-02-03T09:54:03,7.159,0x76,19008.020,26.92,65.24,100855.02,0xb0,background
DATA,2026-02-03T09:54:03,7.159,0x77,97784.570,26.54,67.66,100856.64,0xb0,background
DATA,2026-02-03T09:54:04,7.389,0x76,19248.120,26.93,65.26,100853.68,0xb0,background
DATA,2026-02-03T09:54:04,7.389,0x77,98860.780,26.57,67.62,100868.47,0xb0,background
DATA,2026-02-03T09:54:04,7.620,0x76,19476.570,26.94,65.21,100852.28,0xb0,background
DATA,2026-02-03T09:54:04,7.620,0x77,99843.990,26.56,67.59,100864.48,0xb0,background
DATA,2026-02-03T09:54:04,7.850,0x76,19710.500,26.94,65.21,100852.28,0xb0,background
DATA,2026-02-03T09:54:04,7.850,0x77,100136.910,26.57,67.55,100865.77,0xb0,background
DATA,2026-02-03T09:54:04,8.081,0x76,19894.310,26.94,65.18,100852.28,0xb0,background
DATA,2026-02-03T09:54:04,8.081,0x77,100846.950,26.58,67.54,100865.66,0xb0,background
DATA,2026-02-03T09:54:05,8.311,0x76,20272.410,26.96,65.15,100854.77,0xb0,background
DATA,2026-02-03T09:54:05,8.311,0x77,101688.180,26.59,67.50,100870.94,0xb0,background
DATA,2026-02-03T09:54:05,8.542,0x76,20408.160,26.96,65.12,100866.59,0xb0,background
DATA,2026-02-03T09:54:05,8.542,0x77,102359.050,26.58,67.52,100866.95,0xb0,background
DATA,2026-02-03T09:54:05,8.775,0x76,20585.400,26.97,65.09,100858.67,0xb0,background
DATA,2026-02-03T09:54:05,8.775,0x77,102728.730,26.58,67.45,100866.95,0xb0,background
DATA,2026-02-03T09:54:05,9.008,0x76,20725.390,26.97,65.07,100856.05,0xb0,background
DATA,2026-02-03T09:54:05,9.008,0x77,102605.210,26.58,67.44,100864.26,0xb0,background
DATA,2026-02-03T09:54:05,9.241,0x76,20887.730,26.96,65.05,100852.16,0xb0,background
DATA,2026-02-03T09:54:05,9.241,0x77,103980.500,26.59,67.42,100869.53,0xb0,background
DATA,2026-02-03T09:54:06,9.471,0x76,21052.630,26.98,65.02,100855.99,0xb0,background
DATA,2026-02-03T09:54:06,9.471,0x77,104298.230,26.60,67.42,100866.72,0xb0,background
DATA,2026-02-03T09:54:06,9.703,0x76,21347.560,26.97,64.97,100859.95,0xb0,background
