row_type,wall_time,time_s,addr,gas_ohm,temp_C,hum_pct,press_Pa,status,label
DATA,2026-02-03T13:21:25,2.537,0x76,5684.850,27.09,69.15,100825.22,0xb0,background
DATA,2026-02-03T13:21:25,2.537,0x77,10097.820,26.88,68.20,100829.95,0xb0,background
DATA,2026-02-03T13:21:26,2.767,0x76,5684.850,27.11,69.06,100826.43,0xb0,background
DATA,2026-02-03T13:21:26,2.767,0x77,11615.250,26.90,68.11,100827.01,0xb0,background
DATA,2026-02-03T13:21:26,3.000,0x76,5684.850,27.12,68.98,100827.65,0xb0,background
DATA,2026-02-03T13:21:26,3.000,0x77,13355.590,26.91,68.03,100822.91,0xb0,background
DATA,2026-02-03T13:21:26,3.231,0x76,5684.850,27.16,68.90,100832.70,0xb0,background
DATA,2026-02-03T13:21:26,3.231,0x77,14925.370,26.94,67.96,100826.66,0xb0,background
DATA,2026-02-03T13:21:26,3.461,0x76,5684.850,27.16,68.84,100820.88,0xb0,background
DATA,2026-02-03T13:21:26,3.461,0x77,16546.020,26.95,67.89,100822.43,0xb0,background
DATA,2026-02-03T13:21:26,3.692,0x76,5684.850,27.19,68.77,100824.64,0xb0,background
DATA,2026-02-03T13:21:27,3.692,0x77,17952.310,26.96,67.82,100818.33,0xb0,background
DATA,2026-02-03T13:21:27,3.922,0x76,5684.850,27.19,68.75,100816.78,0xb0,background
DATA,2026-02-03T13:21:27,3.922,0x77,19458.800,26.98,67.77,100824.77,0xb0,background
DATA,2026-02-03T13:21:27,4.153,0x76,5684.850,27.20,68.71,100827.20,0xb0,background
DATA,2026-02-03T13:21:27,4.153,0x77,20969.860,26.99,67.71,100826.05,0xb0,background
DATA,2026-02-03T13:21:27,4.383,0x76,5684.850,27.22,68.61,100828.41,0xb0,background
DATA,2026-02-03T13:21:27,4.383,0x77,22448.260,27.00,67.63,100821.83,0xb0,background
DATA,2026-02-03T13:21:27,4.616,0x76,5684.850,27.23,68.58,100828.34,0xb0,background
DATA,2026-02-03T13:21:27,4.616,0x77,24182.880,27.01,67.60,100825.81,0xb0,background
DATA,2026-02-03T13:21:28,4.848,0x76,5684.850,27.22,68.53,100821.83,0xb0,background
DATA,2026-02-03T13:21:28,4.848,0x77,25574.430,27.02,67.57,100817.60,0xb0,background
DATA,2026-02-03T13:21:28,5.081,0x76,5684.850,27.23,68.47,100827.00,0xb0,background
DATA,2026-02-03T13:21:28,5.081,0x77,26930.360,27.01,67.53,100821.71,0xb0,background
DATA,2026-02-03T13:21:28,5.312,0x76,5684.850,27.25,68.45,100822.98,0xb0,background
DATA,2026-02-03T13:21:28,5.312,0x77,28249.830,27.03,67.48,100817.48,0xb0,background
DATA,2026-02-03T13:21:28,5.544,0x76,5684.850,27.26,68.38,100820.29,0xb0,background
DATA,2026-02-03T13:21:28,5.544,0x77,29705.270,27.05,67.45,100829.43,0xb0,background
DATA,2026-02-03T13:21:29,5.776,0x76,5684.850,27.27,68.36,100825.46,0xb0,background
DATA,2026-02-03T13:21:29,5.776,0x77,31045.360,27.05,67.39,100828.02,0xb0,background
DATA,2026-02-03T13:21:29,6.008,0x76,5684.850,27.27,68.33,100821.50,0xb0,background
DATA,2026-02-03T13:21:29,6.008,0x77,32290.620,27.06,67.38,100825.21,0xb0,background
DATA,2026-02-03T13:21:29,6.240,0x76,5684.850,27.28,68.29,100822.78,0xb0,background
DATA,2026-02-03T13:21:29,6.240,0x77,33799.840,27.07,67.33,100825.09,0xb0,background
