type,wall_time,time_s,addr,ratio,label
DATA,2026-01-27T15:48:44,0.225,0x76,0.263822,background
DATA,2026-01-27T15:48:44,0.225,0x77,0.396143,background
DATA,2026-01-27T15:48:45,0.404,0x76,0.209014,background
DATA,2026-01-27T15:48:45,0.404,0x77,0.389396,background
DATA,2026-01-27T15:48:45,0.629,0x76,0.247400,background
DATA,2026-01-27T15:48:45,0.629,0x77,0.384339,background
DATA,2026-01-27T15:48:45,0.810,0x76,0.263749,background
DATA,2026-01-27T15:48:45,0.810,0x77,0.372875,background
DATA,2026-01-27T15:48:45,1.001,0x76,0.276342,background
DATA,2026-01-27T15:48:45,1.001,0x77,0.358775,background
DATA,2026-01-27T15:48:45,1.232,0x76,0.291982,background
DATA,2026-01-27T15:48:45,1.232,0x77,0.337954,background
DATA,2026-01-27T15:48:46,1.416,0x76,0.319042,background
DATA,2026-01-27T15:48:46,1.416,0x77,0.311630,background
DATA,2026-01-27T15:48:46,1.643,0x76,0.324895,background
DATA,2026-01-27T15:48:46,1.643,0x77,0.331988,background
DATA,2026-01-27T15:48:46,1.823,0x76,0.334051,background
DATA,2026-01-27T15:48:46,1.823,0x77,0.359798,background
DATA,2026-01-27T15:48:46,2.005,0x76,0.370574,background
DATA,2026-01-27T15:48:46,2.005,0x77,0.464962,background
DATA,2026-01-27T15:48:46,2.232,0x76,0.462677,background
DATA,2026-01-27T15:48:46,2.232,0x77,0.525644,background
DATA,2026-01-27T15:48:47,2.411,0x76,0.640572,background
DATA,2026-01-27T15:48:47,2.411,0x77,0.568764,background
DATA,2026-01-27T15:48:47,2.637,0x76,0.660494,background
DATA,2026-01-27T15:48:47,2.637,0x77,0.490817,background
DATA,2026-01-27T15:48:47,2.816,0x76,0.671767,background
DATA,2026-01-27T15:48:47,2.816,0x77,0.553760,background
DATA,2026-01-27T15:48:47,3.044,0x76,0.692598,background
DATA,2026-01-27T15:48:47,3.044,0x77,0.593374,background
DATA,2026-01-27T15:48:47,3.224,0x76,0.712198,background
DATA,2026-01-27T15:48:47,3.224,0x77,0.631555,background
DATA,2026-01-27T15:48:48,3.404,0x76,0.727941,background
DATA,2026-01-27T15:48:48,3.404,0x77,0.668398,background
DATA,2026-01-27T15:48:48,3.630,0x76,0.726902,background
DATA,2026-01-27T15:48:48,3.630,0x77,0.655844,background
DATA,2026-01-27T15:48:48,3.817,0x76,0.731303,background
DATA,2026-01-27T15:48:48,3.817,0x77,0.661320,background
DATA,2026-01-27T15:48:48,4.044,0x76,0.734405,background
DATA,2026-01-27T15:48:48,4.044,0x77,0.655524,background
DATA,2026-01-27T15:48:48,4.229,0x76,0.736197,background
DATA,2026-01-27T15:48:48,4.229,0x77,0.659144,background
DATA,2026-01-27T15:48:49,4.409,0x76,0.727892,background
DATA,2026-01-27T15:48:49,4.409,0x77,0.661553,background
DATA,2026-01-27T15:48:49,4.637,0x76,0.729879,background
DATA,2026-01-27T15:48:49,4.637,0x77,0.654391,background
DATA,2026-01-27T15:48:49,4.821,0x76,0.727701,background
DATA,2026-01-27T15:48:49,4.821,0x77,0.659075,background
DATA,2026-01-27T15:48:49,5.003,0x76,0.726461,background
DATA,2026-01-27T15:48:49,5.003,0x77,0.659061,background
DATA,2026-01-27T15:48:49,5.231,0x76,0.725552,background
DATA,2026-01-27T15:48:49,5.231,0x77,0.654814,background
DATA,2026-01-27T15:48:50,5.412,0x76,0.727516,background
DATA,2026-01-27T15:48:50,5.412,0x77,0.650002,background
DATA,2026-01-27T15:48:50,5.639,0x76,0.725978,background
DATA,2026-01-27T15:48:50,5.639,0x77,0.652226,background
DATA,2026-01-27T15:48:50,5.820,0x76,0.726690,background
DATA,2026-01-27T15:48:50,5.820,0x77,0.656987,background
DATA,2026-01-27T15:48:50,6.000,0x76,0.727341,background
DATA,2026-01-27T15:48:50,6.000,0x77,0.658163,background
DATA,2026-01-27T15:48:50,6.225,0x76,0.723693,background
DATA,2026-01-27T15:48:50,6.225,0x77,0.652874,background
DATA,2026-01-27T15:48:51,6.406,0x76,0.726208,background
DATA,2026-01-27T15:48:51,6.406,0x77,0.653134,background
DATA,2026-01-27T15:48:51,6.632,0x76,0.723656,background
DATA,2026-01-27T15:48:51,6.632,0x77,0.653148,background
DATA,2026-01-27T15:48:51,6.813,0x76,0.726397,background
DATA,2026-01-27T15:48:51,6.813,0x77,0.652393,background
DATA,2026-01-27T15:48:51,7.040,0x76,0.722685,background
DATA,2026-01-27T15:48:51,7.040,0x77,0.651275,background
DATA,2026-01-27T15:48:51,7.220,0x76,0.726161,background
DATA,2026-01-27T15:48:51,7.220,0x77,0.656541,background
DATA,2026-01-27T15:48:52,7.400,0x76,0.725953,background
DATA,2026-01-27T15:48:52,7.400,0x77,0.655356,background
DATA,2026-01-27T15:48:52,7.626,0x76,0.721905,background
DATA,2026-01-27T15:48:52,7.626,0x77,0.650983,background
DATA,2026-01-27T15:48:52,7.807,0x76,0.726142,background
DATA,2026-01-27T15:48:52,7.807,0x77,0.647099,background
DATA,2026-01-27T15:48:52,8.033,0x76,0.721469,background
DATA,2026-01-27T15:48:52,8.033,0x77,0.638510,background
DATA,2026-01-27T15:48:52,8.214,0x76,0.725873,background
DATA,2026-01-27T15:48:52,8.214,0x77,0.647183,background
DATA,2026-01-27T15:48:53,8.440,0x76,0.721986,background
DATA,2026-01-27T15:48:53,8.440,0x77,0.650058,background
DATA,2026-01-27T15:48:53,8.620,0x76,0.724610,background
DATA,2026-01-27T15:48:53,8.620,0x77,0.655041,background
DATA,2026-01-27T15:48:53,8.802,0x76,0.724525,background
DATA,2026-01-27T15:48:53,8.802,0x77,0.655435,background
DATA,2026-01-27T15:48:53,9.027,0x76,0.721692,background
DATA,2026-01-27T15:48:53,9.027,0x77,0.648544,background
DATA,2026-01-27T15:48:53,9.207,0x76,0.725479,background
DATA,2026-01-27T15:48:53,9.207,0x77,0.646438,background
DATA,2026-01-27T15:48:54,9.432,0x76,0.721137,background
DATA,2026-01-27T15:48:54,9.432,0x77,0.635047,background
DATA,2026-01-27T15:48:54,9.613,0x76,0.724939,background
DATA,2026-01-27T15:48:54,9.613,0x77,0.647024,background
DATA,2026-01-27T15:48:54,9.840,0x76,0.721608,background
DATA,2026-01-27T15:48:54,9.840,0x77,0.648243,background
DATA,2026-01-27T15:48:54,10.020,0x76,0.725487,background
DATA,2026-01-27T15:48:54,10.020,0x77,0.656761,background
DATA,2026-01-27T15:48:54,10.200,0x76,0.698726,background
DATA,2026-01-27T15:48:54,10.200,0x77,0.654686,background
DATA,2026-01-27T15:48:55,10.428,0x76,0.686573,background
DATA,2026-01-27T15:48:55,10.428,0x77,0.649508,background
DATA,2026-01-27T15:48:55,10.608,0x76,0.699221,background
DATA,2026-01-27T15:48:55,10.608,0x77,0.644640,background
DATA,2026-01-27T15:48:55,10.833,0x76,0.686232,background
DATA,2026-01-27T15:48:55,10.833,0x77,0.636128,background
DATA,2026-01-27T15:48:55,11.014,0x76,0.695833,background
DATA,2026-01-27T15:48:55,11.014,0x77,0.646215,background
DATA,2026-01-27T15:48:55,11.240,0x76,0.694686,background
DATA,2026-01-27T15:48:55,11.240,0x77,0.649374,background
DATA,2026-01-27T15:48:56,11.419,0x76,0.696952,background
DATA,2026-01-27T15:48:56,11.419,0x77,0.653987,background
DATA,2026-01-27T15:48:56,11.601,0x76,0.672097,background
DATA,2026-01-27T15:48:56,11.601,0x77,0.655276,background
DATA,2026-01-27T15:48:56,11.828,0x76,0.669756,background
DATA,2026-01-27T15:48:56,11.828,0x77,0.647399,background
DATA,2026-01-27T15:48:56,12.008,0x76,0.672010,background
DATA,2026-01-27T15:48:56,12.008,0x77,0.645139,background
DATA,2026-01-27T15:48:56,12.234,0x76,0.671162,background
DATA,2026-01-27T15:48:56,12.234,0x77,0.636048,background
DATA,2026-01-27T15:48:57,12.414,0x76,0.672863,background
DATA,2026-01-27T15:48:57,12.414,0x77,0.646314,background
DATA,2026-01-27T15:48:57,12.641,0x76,0.669833,background
DATA,2026-01-27T15:48:57,12.641,0x77,0.649315,background
DATA,2026-01-27T15:48:57,12.821,0x76,0.672421,background
DATA,2026-01-27T15:48:57,12.821,0x77,0.653725,background
DATA,2026-01-27T15:48:57,13.002,0x76,0.671524,background
DATA,2026-01-27T15:48:57,13.002,0x77,0.654319,background
DATA,2026-01-27T15:48:57,13.228,0x76,0.668516,background
DATA,2026-01-27T15:48:57,13.228,0x77,0.649271,background
DATA,2026-01-27T15:48:58,13.411,0x76,0.677838,background
DATA,2026-01-27T15:48:58,13.411,0x77,0.645061,background
DATA,2026-01-27T15:48:58,13.636,0x76,0.669956,background
DATA,2026-01-27T15:48:58,13.636,0x77,0.648740,background
DATA,2026-01-27T15:48:58,13.820,0x76,0.671811,background
DATA,2026-01-27T15:48:58,13.820,0x77,0.653146,background
DATA,2026-01-27T15:48:58,14.000,0x76,0.672163,background
DATA,2026-01-27T15:48:58,14.000,0x77,0.654151,background
DATA,2026-01-27T15:48:58,14.226,0x76,0.668389,background
DATA,2026-01-27T15:48:58,14.226,0x77,0.648144,background
DATA,2026-01-27T15:48:59,14.406,0x76,0.670259,background
DATA,2026-01-27T15:48:59,14.406,0x77,0.646192,background
DATA,2026-01-27T15:48:59,14.634,0x76,0.668965,background
DATA,2026-01-27T15:48:59,14.634,0x77,0.635192,background
DATA,2026-01-27T15:48:59,14.816,0x76,0.671808,background
DATA,2026-01-27T15:48:59,14.816,0x77,0.645586,background
DATA,2026-01-27T15:48:59,15.043,0x76,0.668382,background
DATA,2026-01-27T15:48:59,15.043,0x77,0.647981,background
DATA,2026-01-27T15:48:59,15.223,0x76,0.671664,background
DATA,2026-01-27T15:48:59,15.223,0x77,0.653832,background
DATA,2026-01-27T15:49:00,15.404,0x76,0.670995,background
DATA,2026-01-27T15:49:00,15.404,0x77,0.652280,background
DATA,2026-01-27T15:49:00,15.630,0x76,0.667556,background
DATA,2026-01-27T15:49:00,15.630,0x77,0.650242,background
DATA,2026-01-27T15:49:00,15.812,0x76,0.671466,background
DATA,2026-01-27T15:49:00,15.812,0x77,0.644597,background
DATA,2026-01-27T15:49:00,16.040,0x76,0.668410,background
DATA,2026-01-27T15:49:00,16.040,0x77,0.646975,background
DATA,2026-01-27T15:49:00,16.220,0x76,0.669952,background
DATA,2026-01-27T15:49:00,16.220,0x77,0.652736,background
DATA,2026-01-27T15:49:01,16.400,0x76,0.676653,background
DATA,2026-01-27T15:49:01,16.400,0x77,0.652579,background
DATA,2026-01-27T15:49:01,16.625,0x76,0.668967,background
DATA,2026-01-27T15:49:01,16.625,0x77,0.648318,background
DATA,2026-01-27T15:49:01,16.805,0x76,0.669858,background
DATA,2026-01-27T15:49:01,16.805,0x77,0.643464,background
DATA,2026-01-27T15:49:01,17.030,0x76,0.668096,background
DATA,2026-01-27T15:49:01,17.030,0x77,0.634959,background
DATA,2026-01-27T15:49:01,17.211,0x76,0.670473,background
DATA,2026-01-27T15:49:01,17.211,0x77,0.644341,background
DATA,2026-01-27T15:49:02,17.437,0x76,0.667689,background
DATA,2026-01-27T15:49:02,17.437,0x77,0.640233,background
DATA,2026-01-27T15:49:02,17.617,0x76,0.668998,background
DATA,2026-01-27T15:49:02,17.617,0x77,0.651764,background
DATA,2026-01-27T15:49:02,17.802,0x76,0.670274,background
DATA,2026-01-27T15:49:02,17.802,0x77,0.651402,background
DATA,2026-01-27T15:49:02,18.027,0x76,0.667690,background
DATA,2026-01-27T15:49:02,18.027,0x77,0.647880,background
DATA,2026-01-27T15:49:02,18.209,0x76,0.668554,background
DATA,2026-01-27T15:49:02,18.209,0x77,0.642776,background
DATA,2026-01-27T15:49:03,18.441,0x76,0.667295,background
DATA,2026-01-27T15:49:03,18.441,0x77,0.635021,background
DATA,2026-01-27T15:49:03,18.625,0x76,0.669917,background
DATA,2026-01-27T15:49:03,18.625,0x77,0.652901,background
DATA,2026-01-27T15:49:03,18.806,0x76,0.670030,background
DATA,2026-01-27T15:49:03,18.806,0x77,0.651321,background
DATA,2026-01-27T15:49:03,19.032,0x76,0.666076,background
DATA,2026-01-27T15:49:03,19.032,0x77,0.647404,background
DATA,2026-01-27T15:49:03,19.213,0x76,0.669453,background
DATA,2026-01-27T15:49:03,19.213,0x77,0.645363,background
DATA,2026-01-27T15:49:04,19.440,0x76,0.667983,background
DATA,2026-01-27T15:49:04,19.440,0x77,0.647393,background
DATA,2026-01-27T15:49:04,19.620,0x76,0.669598,background
DATA,2026-01-27T15:49:04,19.620,0x77,0.652860,background
DATA,2026-01-27T15:49:04,19.801,0x76,0.667687,background
DATA,2026-01-27T15:49:04,19.801,0x77,0.651509,background
DATA,2026-01-27T15:49:04,20.026,0x76,0.667284,background
DATA,2026-01-27T15:49:04,20.026,0x77,0.646977,background
DATA,2026-01-27T15:49:04,20.208,0x76,0.669203,background
DATA,2026-01-27T15:49:04,20.208,0x77,0.642607,background
DATA,2026-01-27T15:49:05,20.433,0x76,0.666478,background
DATA,2026-01-27T15:49:05,20.433,0x77,0.632289,background
DATA,2026-01-27T15:49:05,20.615,0x76,0.669511,background
DATA,2026-01-27T15:49:05,20.615,0x77,0.644083,background
DATA,2026-01-27T15:49:05,20.840,0x76,0.667739,background
DATA,2026-01-27T15:49:05,20.840,0x77,0.645033,background
DATA,2026-01-27T15:49:05,21.020,0x76,0.668910,background
DATA,2026-01-27T15:49:05,21.020,0x77,0.650260,background
DATA,2026-01-27T15:49:05,21.200,0x76,0.668997,background
DATA,2026-01-27T15:49:05,21.200,0x77,0.652369,background
DATA,2026-01-27T15:49:06,21.430,0x76,0.666630,background
DATA,2026-01-27T15:49:06,21.430,0x77,0.646517,background
DATA,2026-01-27T15:49:06,21.612,0x76,0.667933,background
