row_type,wall_time,time_s,addr,gas_ohm,temp_C,hum_pct,press_Pa,status,label
DATA,2026-02-04T14:10:14,2.536,0x76,24060.150,27.46,54.33,101389.19,0xb0,background
DATA,2026-02-04T14:10:14,2.536,0x77,174446.340,26.80,52.08,101462.73,0xb0,background
DATA,2026-02-04T14:10:14,2.767,0x76,24830.260,27.48,54.24,101386.45,0xb0,background
DATA,2026-02-04T14:10:14,2.767,0x77,181689.140,26.80,52.02,101457.34,0xb0,background
DATA,2026-02-04T14:10:14,3.000,0x76,25744.170,27.50,54.19,101396.83,0xb0,background
DATA,2026-02-04T14:10:15,3.000,0x77,187271.390,26.82,51.94,101458.53,0xb0,background
DATA,2026-02-04T14:10:15,3.231,0x76,26446.280,27.51,54.12,101391.53,0xb0,background
DATA,2026-02-04T14:10:15,3.231,0x77,196696.120,26.83,51.89,101447.64,0xb0,background
DATA,2026-02-04T14:10:15,3.463,0x76,27239.840,27.52,54.04,101387.57,0xb0,background
DATA,2026-02-04T14:10:15,3.463,0x77,201099.770,26.84,51.83,101458.32,0xb0,background
DATA,2026-02-04T14:10:15,3.694,0x76,28008.750,27.53,54.01,101394.05,0xb0,background
DATA,2026-02-04T14:10:15,3.694,0x77,206701.660,26.85,51.79,101448.84,0xb0,background
DATA,2026-02-04T14:10:15,3.926,0x76,28628.940,27.54,53.98,101384.84,0xb0,background
DATA,2026-02-04T14:10:15,3.926,0x77,209235.800,26.86,51.73,101451.42,0xb0,background
DATA,2026-02-04T14:10:16,4.159,0x76,29197.080,27.55,53.93,101392.65,0xb0,background
DATA,2026-02-04T14:10:16,4.159,0x77,213022.670,26.87,51.71,101467.49,0xb0,background
DATA,2026-02-04T14:10:16,4.391,0x76,29809.040,27.55,53.91,101393.93,0xb0,background
DATA,2026-02-04T14:10:16,4.391,0x77,216261.880,26.88,51.68,101459.30,0xb0,background
DATA,2026-02-04T14:10:16,4.624,0x76,30512.520,27.56,53.86,101384.73,0xb0,background
DATA,2026-02-04T14:10:16,4.624,0x77,217502.120,26.88,51.62,101470.08,0xb0,background
DATA,2026-02-04T14:10:16,4.856,0x76,31135.980,27.57,53.83,101387.30,0xb0,background
DATA,2026-02-04T14:10:16,4.856,0x77,222608.700,26.88,51.62,101459.30,0xb0,background
DATA,2026-02-04T14:10:17,5.086,0x76,31550.410,27.57,53.79,101382.05,0xb0,background
DATA,2026-02-04T14:10:17,5.086,0x77,224807.910,26.90,51.57,101459.09,0xb0,background
DATA,2026-02-04T14:10:17,5.320,0x76,32096.290,27.57,53.77,101393.82,0xb0,background
DATA,2026-02-04T14:10:17,5.320,0x77,226148.410,26.89,51.56,101461.89,0xb0,background
DATA,2026-02-04T14:10:17,5.553,0x76,32437.910,27.59,53.73,101388.52,0xb0,background
DATA,2026-02-04T14:10:17,5.553,0x77,227353.470,26.89,51.54,101451.11,0xb0,background
DATA,2026-02-04T14:10:17,5.784,0x76,32938.750,27.59,53.71,101387.18,0xb0,background
DATA,2026-02-04T14:10:17,5.784,0x77,228877.970,26.91,51.54,101472.46,0xb0,background
DATA,2026-02-04T14:10:18,6.017,0x76,33429.090,27.59,53.70,101387.18,0xb0,background
DATA,2026-02-04T14:10:18,6.017,0x77,231046.940,26.90,51.49,101454.99,0xb0,background
DATA,2026-02-04T14:10:18,6.248,0x76,33853.480,27.60,53.67,101387.12,0xb0,background
