row_type,wall_time,time_s,gas_ohm,temp_C,hum_pct,press_Pa,status,label
DATA,2026-01-20T14:01:25,2.116,5684.850,25.68,55.75,101195.55,0xb0,background
DATA,2026-01-20T14:01:25,2.315,5684.850,25.7,55.69,101196.76,0xb0,background
DATA,2026-01-20T14:01:25,2.516,5684.850,25.72,55.59,101195.4,0xb0,background
DATA,2026-01-20T14:01:25,2.715,5684.850,25.74,55.52,101195.31,0xb0,background
DATA,2026-01-20T14:01:25,2.915,5684.850,25.76,55.52,101191.34,0xb0,background
DATA,2026-01-20T14:01:26,3.116,5684.850,25.77,55.48,101200.41,0xb0,background
DATA,2026-01-20T14:01:26,3.315,5684.850,25.79,55.37,101195.16,0xb0,background
DATA,2026-01-20T14:01:26,3.515,5684.850,25.81,55.35,101195.07,0xb0,background
DATA,2026-01-20T14:01:26,3.716,5684.850,25.81,55.34,101196.36,0xb0,background
DATA,2026-01-20T14:01:26,3.915,5684.850,25.82,55.22,101193.7,0xb0,background
DATA,2026-01-20T14:01:27,4.115,5684.850,25.83,55.14,101198.88,0xb0,background
DATA,2026-01-20T14:01:27,4.316,5684.850,25.84,55.12,101196.23,0xb0,background
DATA,2026-01-20T14:01:31,4.515,5684.850,25.86,55.11,101201.41,0xb0,background
DATA,2026-01-20T14:01:31,4.715,5684.850,25.86,54.99,101200.09,0xb0,background
DATA,2026-01-20T14:01:31,4.916,5684.850,25.87,54.99,101197.44,0xb0,background
DATA,2026-01-20T14:01:31,5.115,5684.850,25.88,54.95,101197.39,0xb0,background
DATA,2026-01-20T14:01:31,5.316,5684.850,25.88,54.96,101197.39,0xb0,background
DATA,2026-01-20T14:01:31,5.515,5684.850,25.91,54.91,101195.98,0xb0,background
DATA,2026-01-20T14:01:31,5.715,5684.850,25.9,54.89,101194.7,0xb0,background
DATA,2026-01-20T14:01:31,5.916,5684.850,25.91,54.84,101201.21,0xb0,background
DATA,2026-01-20T14:01:31,6.115,5684.850,25.92,54.8,101199.84,0xb0,background
DATA,2026-01-20T14:01:31,6.315,5684.850,25.92,54.78,101195.94,0xb0,background
DATA,2026-01-20T14:01:31,6.516,5684.850,25.93,54.75,101193.28,0xb0,background
DATA,2026-01-20T14:01:31,6.715,5684.850,25.93,54.74,101195.9,0xb0,background
DATA,2026-01-20T14:01:31,6.916,5684.850,25.95,54.72,101194.53,0xb0,background
DATA,2026-01-20T14:01:31,7.115,5684.850,25.95,54.7,101194.53,0xb0,background
DATA,2026-01-20T14:01:31,7.315,5684.850,25.96,54.71,101190.55,0xb0,background
DATA,2026-01-20T14:01:31,7.516,5684.850,25.96,54.62,101194.48,0xb0,background
DATA,2026-01-20T14:01:31,7.715,5684.850,25.97,54.67,101191.83,0xb0,background
DATA,2026-01-20T14:01:31,7.915,5684.850,25.98,54.66,101197.02,0xb0,background
DATA,2026-01-20T14:01:31,8.116,5684.850,25.98,54.6,101197.02,0xb0,background
DATA,2026-01-20T14:01:31,8.315,5684.850,25.98,54.57,101200.91,0xb0,background
DATA,2026-01-20T14:01:31,8.516,5684.850,25.99,54.54,101191.74,0xb0,background
DATA,2026-01-20T14:01:31,8.715,5684.850,25.99,54.5,101196.97,0xb0,background
DATA,2026-01-20T14:01:31,8.915,5684.850,26.01,54.51,101195.6,0xb0,background
DATA,2026-01-20T14:01:32,9.116,5684.850,26.01,54.49,101195.6,0xb0,background
DATA,2026-01-20T14:01:32,9.315,5684.850,26.01,54.44,101195.6,0xb0,background
DATA,2026-01-20T14:01:32,9.515,5684.850,26.02,54.42,101195.55,0xb0,background
DATA,2026-01-20T14:01:32,9.716,5684.850,26.02,54.4,101195.55,0xb0,background
DATA,2026-01-20T14:01:32,9.915,5684.850,26.02,54.41,101196.84,0xb0,background
DATA,2026-01-20T14:01:33,10.115,5684.850,26.03,54.36,101192.9,0xb0,background
