row_type,wall_time,time_s,addr,gas_ohm,temp_C,hum_pct,press_Pa,status,label
DATA,2026-01-23T09:57:36,2.535,0x76,11107.250,24.58,65.73,99538.24,0xb0,background
DATA,2026-01-23T09:57:36,2.535,0x77,41131.110,24.48,66.55,99615.37,0xb0,background
DATA,2026-01-23T09:57:37,2.766,0x76,11188.810,24.58,65.65,99531.70,0xb0,background
DATA,2026-01-23T09:57:37,2.766,0x77,43301.760,24.48,66.45,99604.64,0xb0,background
DATA,2026-01-23T09:57:37,2.997,0x76,11283.500,24.61,65.58,99538.05,0xb0,background
DATA,2026-01-23T09:57:37,2.997,0x77,45616.540,24.51,66.38,99585.52,0xb0,background
DATA,2026-01-23T09:57:37,3.228,0x76,11331.440,24.62,65.49,99528.90,0xb0,background
DATA,2026-01-23T09:57:37,3.228,0x77,47985.000,24.52,66.29,99604.16,0xb0,background
DATA,2026-01-23T09:57:37,3.459,0x76,11416.340,24.64,65.47,99535.25,0xb0,background
DATA,2026-01-23T09:57:37,3.459,0x77,50245.340,24.54,66.23,99597.28,0xb0,background
DATA,2026-01-23T09:57:37,3.689,0x76,11527.380,24.65,65.37,99531.30,0xb0,background
DATA,2026-01-23T09:57:37,3.689,0x77,52827.070,24.55,66.12,99594.48,0xb0,background
DATA,2026-01-23T09:57:38,3.920,0x76,11577.420,24.65,65.32,99532.58,0xb0,background
DATA,2026-01-23T09:57:38,3.920,0x77,54375.530,24.56,66.10,99606.48,0xb0,background
DATA,2026-01-23T09:57:38,4.150,0x76,11704.460,24.67,65.27,99531.17,0xb0,background
DATA,2026-01-23T09:57:38,4.150,0x77,56387.660,24.57,66.03,99601.01,0xb0,background
DATA,2026-01-23T09:57:38,4.381,0x76,11996.250,24.68,65.23,99533.71,0xb0,background
DATA,2026-01-23T09:57:38,4.381,0x77,58314.350,24.57,65.95,99604.97,0xb0,background
DATA,2026-01-23T09:57:38,4.611,0x76,12057.270,24.69,65.16,99537.59,0xb0,background
DATA,2026-01-23T09:57:38,4.611,0x77,60334.670,24.58,65.91,99602.16,0xb0,background
DATA,2026-01-23T09:57:39,4.842,0x76,12188.150,24.69,65.17,99528.44,0xb0,background
DATA,2026-01-23T09:57:39,4.842,0x77,62135.920,24.58,65.84,99607.52,0xb0,background
DATA,2026-01-23T09:57:39,5.072,0x76,12279.360,24.70,65.13,99530.98,0xb0,background
DATA,2026-01-23T09:57:39,5.072,0x77,64192.580,24.59,65.84,99587.36,0xb0,background
DATA,2026-01-23T09:57:39,5.303,0x76,12314.800,24.72,65.05,99529.57,0xb0,background
DATA,2026-01-23T09:57:39,5.303,0x77,65523.420,24.60,65.78,99597.96,0xb0,background
DATA,2026-01-23T09:57:39,5.534,0x76,12393.490,24.73,65.02,99534.72,0xb0,background
DATA,2026-01-23T09:57:39,5.534,0x77,67439.410,24.60,65.72,99604.60,0xb0,background
DATA,2026-01-23T09:57:40,5.765,0x76,12590.990,24.74,64.97,99535.98,0xb0,background
DATA,2026-01-23T09:57:40,5.765,0x77,69527.430,24.60,65.69,99595.28,0xb0,background
DATA,2026-01-23T09:57:40,5.995,0x76,12620.790,24.74,64.95,99530.77,0xb0,background
DATA,2026-01-23T09:57:40,5.995,0x77,70737.770,24.61,65.63,99607.16,0xb0,background
DATA,2026-01-23T09:57:40,6.228,0x76,12703.450,24.74,64.91,99530.77,0xb0,background
DATA,2026-01-23T09:57:40,6.228,0x77,71930.320,24.62,65.59,99595.04,0xb0,background
DATA,2026-01-23T09:57:40,6.461,0x76,12825.650,24.75,64.88,99541.13,0xb0,background
DATA,2026-01-23T09:57:40,6.461,0x77,73732.720,24.62,65.54,99590.96,0xb0,background
DATA,2026-01-23T09:57:40,6.693,0x76,12810.250,24.74,64.83,99537.26,0xb0,background
DATA,2026-01-23T09:57:40,6.693,0x77,74700.910,24.62,65.50,99609.73,0xb0,background
